AÑO,MES,DIA,TMAX,TMIN,PREC
2012,12,01,18.4,4.8,0.0
2012,12,02,17.4,7.2,4.3
2012,12,03,16.8,8.7,0.1
2012,12,04,16.0,8.9,0.0
2012,12,05,16.6,7.8,0.0
2012,12,06,18.7,3.2,0.0
2012,12,07,19.8,3.8,0.0
2012,12,08,19.9,7.0,13.8
2012,12,09,20.0,8.7,5.5
2012,12,10,18.4,9.5,0.7
2012,12,11,17.6,9.3,0.1
2012,12,12,19.5,7.1,0.0
2012,12,13,16.7,8.2,0.0
2012,12,14,18.6,3.5,0.0
2012,12,15,19.3,3.1,0.0
2012,12,16,19.8,2.2,0.0
2012,12,17,19.5,2.1,0.0
2012,12,18,18.4,9.6,0.0
2012,12,19,17.8,9.8,1.2
2012,12,20,19.4,9.2,0.0
2012,12,21,20.6,5.1,2.0
2012,12,22,17.4,7.8,8.3
2012,12,23,19.5,9.5,0.0
2012,12,24,21.2,10.0,3.9
2012,12,25,18.9,9.6,7.0
2012,12,26,16.8,8.5,11.0
2012,12,27,17.5,9.4,12.8
2012,12,28,18.1,9.1,5.3
2012,12,29,19.1,10.0,27.3
2012,12,30,16.0,9.2,27.3
2012,12,31,16.3,8.8,3.8
2013,01,01,18.6,9.4,2.1
2013,01,02,18.5,7.4,4.5
2013,01,03,17.8,8.5,1.3
2013,01,04,19.7,9.3,0.0
2013,01,05,20.9,6.7,0.2
2013,01,06,20.6,11.0,0.0
2013,01,07,20.0,10.3,0.0
2013,01,08,19.5,8.9,0.0
2013,01,09,19.4,11.1,0.0
2013,01,10,20.8,9.6,0.7
2013,01,11,21.6,9.9,0.8
2013,01,12,16.9,10.4,2.5
2013,01,13,21.2,8.2,0.0
2013,01,14,21.0,1.6,2.6
2013,01,15,19.4,7.0,0.0
2013,01,16,19.0,7.3,2.2
2013,01,17,20.0,8.5,0.0
2013,01,18,20.5,7.4,0.0
2013,01,19,21.0,7.9,0.0
2013,01,20,20.7,8.4,0.0
2013,01,21,19.6,9.3,0.9
2013,01,22,19.8,8.7,23.0
2013,01,23,19.5,8.9,17.2
2013,01,24,18.2,8.7,1.5
2013,01,25,20.6,8.1,4.8
2013,01,26,20.1,7.6,0.0
2013,01,27,21.0,9.9,0.4
2013,01,28,20.6,11.6,3.0
2013,01,29,21.2,10.6,0.0
2013,01,30,22.4,10.7,0.0
2013,01,31,21.8,10.6,0.0
2013,02,01,22.3,8.4,1.8
2013,02,02,20.6,7.4,18.5
2013,02,03,19.0,7.1,16.8
2013,02,04,15.2,10.4,7.1
2013,02,05,15.5,10.2,24.4
2013,02,06,18.6,8.6,1.4
2013,02,07,18.5,9.9,0.3
2013,02,08,18.4,10.3,1.0
2013,02,09,17.6,8.8,2.9
2013,02,10,18.4,6.4,0.1
2013,02,11,16.4,6.6,1.0
2013,02,12,17.1,5.4,0.0
2013,02,13,18.4,4.3,0.0
2013,02,14,20.3,4.2,0.0
2013,02,15,16.2,5.9,1.1
2013,02,16,18.5,6.8,0.0
2013,02,17,18.8,7.8,4.7
2013,02,18,16.4,5.6,8.2
2013,02,19,18.2,9.0,0.0
2013,02,20,18.1,9.6,3.3
2013,02,21,19.8,7.8,0.6
2013,02,22,17.2,10.2,17.6
2013,02,23,19.4,8.7,0.4
2013,02,24,20.7,7.4,0.0
2013,02,25,19.4,7.3,1.9
2013,02,26,19.2,9.0,0.3
2013,02,27,20.4,10.7,21.0
2013,02,28,18.7,9.4,1.8
2013,03,01,19.2,10.9,21.2
2013,03,02,20.0,9.4,0.1
2013,03,3,18.0,11.0,5.6
2013,03,04,17.8,10.4,9.2
2013,03,05,19.3,8.5,7.7
2013,03,06,17.4,8.8,11.7
2013,03,07,19.2,9.2,7.2
2013,03,08,18.1,10.1,3.0
2013,03,09,17.8,10.0,5.0
2013,03,10,19.1,8.2,14.7
2013,03,11,19.4,8.8,6.5
2013,03,12,17.4,9.6,7.4
2013,03,13,16.6,10.1,6.3
2013,03,14,18.8,9.2,0.0
2013,03,15,18.4,9.4,2.3
2013,03,16,18.0,10.1,16.5
2013,03,17,16.6,9.3,6.0
2013,03,18,17.8,9.7,6.1
2013,03,19,15.6,8.5,0.8
2013,03,20,15.0,9.0,7.4
2013,03,21,13.2,8.9,11.8
2013,03,22,13.4,8.6,2.8
2013,03,23,19.7,8.7,0.0
2013,03,24,19.1,7.3,16.8
2013,03,25,19.6,5.7,5.2
2013,03,26,18.0,9.6,0.0
2013,03,27,16.4,10.0,18.6
2013,03,28,16.2,8.0,2.8
2013,03,29,17.5,9.6,8.2
2013,03,30,19.6,6.9,3.5
2013,03,31,20.0,8.8,0.2
2013,04,01,19.8,10.2,15.1
2013,04,02,16.8,10.0,3.5
2013,04,03,19.2,9.1,0.3
2013,04,04,18.4,10.5,0.6
2013,04,05,16.0,9.7,14.6
2013,04,06,21.0,6.3,8.3
2013,04,07,17.6,10.0,0.2
2013,04,08,19.4,8.8,12.9
2013,04,09,18.2,9.2,0.4
2013,04,10,17.5,9.0,5.8
2013,04,11,19.7,7.7,26.3
2013,04,12,19.6,9.0,3.4
2013,04,13,18.9,10.3,0.0
2013,04,14,20.0,7.2,0.6
2013,04,15,18.8,10.0,1.0
2013,04,16,18.6,9.9,10.4
2013,04,17,17.3,9.1,0.2
2013,04,18,19.2,9.8,1.7
2013,04,19,18.7,9.9,51.3
2013,04,20,18.1,6.0,0.0
2013,04,21,19.2,4.1,0.0
2013,04,22,19.3,6.1,0.0
2013,04,23,19.0,4.9,0.2
2013,04,24,19.4,7.2,0.0
2013,04,25,19.8,3.6,0.0
2013,04,26,20.6,6.1,0.0
2013,04,27,20.8,4.9,0.0
2013,04,28,19.4,7.8,0.0
2013,04,29,19.0,4.8,0.0
2013,04,30,18.2,8.0,0.0
2013,05,01,19.0,7.2,3.6
2013,05,02,18.9,9.0,21.0
2013,05,03,19.2,7.7,1.6
2013,05,04,18.2,7.3,11.0
2013,05,05,18.6,5.9,0.6
2013,05,06,16.4,9.2,5.6
2013,05,07,16.2,9.1,1.7
2013,05,08,15.7,8.6,0.2
2013,05,09,20.4,5.4,0.1
2013,05,10,20.2,6.0,0.0
2013,05,11,20.0,6.1,0.0
2013,05,12,19.9,7.4,1.4
2013,05,13,19.6,6.1,0.0
2013,05,14,17.6,6.2,3.9
2013,05,15,18.7,10.2,0.1
2013,05,16,18.5,9.8,0.0
2013,05,17,19.5,9.4,0.0
2013,05,18,18.9,6.1,2.2
2013,05,19,18.8,9.5,0.4
2013,05,20,16.2,9.8,2.2
2013,05,21,18.5,6.7,0.0
2013,05,22,18.4,5.2,0.3
2013,05,23,19.4,7.2,0.0
2013,05,24,20.0,7.1,0.0
2013,05,25,17.3,8.7,14.0
2013,05,26,17.2,7.1,11.8
2013,05,27,18.6,4.9,0.0
2013,05,28,20.0,6.2,3.5
2013,05,29,19.0,7.7,0.0
2013,05,30,15.8,6.4,1.8
2013,05,31,15.9,7.8,0.7
2013,06,01,17.4,7.7,1.5
2013,06,02,18.5,8.2,0.0
2013,06,03,18.2,6.6,0.0
2013,06,04,18.4,7.9,0.0
2013,06,05,17.3,6.9,0.0
2013,06,06,17.4,6.0,0.0
2013,06,07,16.3,8.5,0.2
2013,06,08,16.9,7.3,0.0
2013,06,09,17.7,9.2,0.0
2013,06,10,17.8,5.4,0.0
2013,06,11,18.5,4.5,0.0
2013,06,12,17.3,6.4,0.0
2013,06,13,18.4,6.3,0.0
2013,06,14,19.6,7.4,0.0
2013,06,15,20.5,5.0,0.0
2013,06,16,18.8,6.7,0.0
2013,06,17,18.6,5.4,0.0
2013,06,18,20.0,5.7,1.7
2013,06,19,16.8,9.8,1.6
2013,06,20,17.6,8.6,0.0
2013,06,21,17.7,8.8,0.0
2013,06,22,17.4,6.6,0.0
2013,06,23,17.8,7.0,0.0
2013,06,24,19.3,4.6,0.0
2013,06,25,20.0,7.2,0.0
2013,06,26,19.8,4.8,0.0
2013,06,27,20.0,9.2,3.8
2013,06,28,19.4,6.8,0.0
2013,06,29,19.3,5.4,0.0
2013,06,30,15.6,8.2,0.0
2013,07,01,18.2,4.3,0.0
2013,07,02,19.0,6.9,1.3
2013,07,03,18.6,6.4,10.1
2013,07,04,17.6,6.8,0.1
2013,07,05,18.1,6.3,0.5
2013,07,06,16.8,8.3,0.0
2013,07,07,16.7,7.0,0.0
2013,07,08,15.4,7.4,0.0
2013,07,09,17.8,5.1,0.0
2013,07,10,19.1,3.2,0.0
2013,07,11,18.9,5.0,0.0
2013,07,12,18.6,2.5,0.0
2013,07,13,17.8,6.6,0.0
2013,07,14,18.2,7.6,0.0
2013,07,15,16.6,9.2,0.0
2013,07,16,18.0,7.8,0.0
2013,07,17,18.1,6.2,0.0
2013,07,18,17.8,6.8,0.0
2013,07,19,19.2,3.6,0.0
2013,07,20,19.3,4.5,0.0
2013,07,21,19.2,5.2,0.0
2013,07,22,19.4,7.0,0.0
2013,07,23,18.5,6.6,0.0
2013,07,24,19.0,5.8,0.0
2013,07,25,17.8,9.7,0.0
2013,07,26,17.3,6.0,0.0
2013,07,27,19.5,6.5,0.0
2013,07,28,17.2,3.4,0.0
2013,07,29,19.0,5.4,0.0
2013,07,30,19.4,2.9,0.0
2013,07,31,20.2,3.9,0.0
2013,08,01,18.0,6.7,0.0
2013,08,02,17.9,4.8,0.0
2013,08,03,17.8,8.3,0.2
2013,08,04,20.1,7.0,0.0
2013,08,05,18.4,7.5,0.0
2013,08,06,18.2,3.9,0.0
2013,08,07,20.8,4.1,0.0
2013,08,08,21.0,2.8,0.0
2013,08,09,21.4,3.4,0.0
2013,08,10,18.8,5.9,0.8
2013,08,11,18.3,8.2,0.3
2013,08,12,19.8,4.0,0.9
2013,08,13,20.2,5.8,0.0
2013,08,14,18.9,7.5,0.0
2013,08,15,17.4,8.8,0.0
2013,08,16,21.2,5.0,0.0
2013,08,17,19.2,8.2,0.0
2013,08,18,20.0,3.0,0.0
2013,08,19,20.8,2.4,0.0
2013,08,20,20.2,4.0,0.0
2013,08,21,17.2,6.7,0.0
2013,08,22,20.5,3.9,2.9
2013,08,23,19.0,4.6,0.0
2013,08,24,19.9,6.4,3.7
2013,08,25,19.0,7.1,6.8
2013,08,26,17.1,8.1,5.9
2013,08,27,16.8,7.5,0.0
2013,08,28,17.7,8.6,0.0
2013,08,29,17.4,7.4,0.0
2013,08,30,19.6,4.6,0.0
2013,08,31,20.0,4.7,0.0
2013,09,01,21.0,3.7,0.0
2013,09,02,19.9,4.3,0.0
2013,09,03,20.9,5.0,0.0
2013,09,04,18.8,2.4,0.0
2013,09,05,20.6,4.1,0.0
2013,09,06,20.8,3.8,0.0
2013,09,07,20.0,4.0,0.0
2013,09,08,19.2,3.7,0.0
2013,09,09,17.6,7.2,0.0
2013,09,10,18.3,4.9,0.0
2013,09,11,19.6,6.6,0.0
2013,09,12,20.5,5.4,0.0
2013,09,13,20.6,6.9,2.8
2013,09,14,21.2,6.5,4.8
2013,09,15,19.1,8.4,0.9
2013,09,16,19.0,9.8,0.1
2013,09,17,20.3,4.8,0.0
2013,09,18,21.1,9.8,0.0
2013,09,19,16.5,10.0,0.6
2013,09,20,19.7,5.2,0.0
2013,09,21,21.2,3.4,0.0
2013,09,22,21.8,7.8,0.0
2013,09,23,20.5,8.7,0.0
2013,09,24,19.6,9.8,0.0
2013,09,25,20.7,8.9,0.0
2013,09,26,20.8,8.5,0.0
2013,09,27,21.8,4.2,0.0
2013,09,28,20.4,6.0,0.0
2013,09,29,21.8,4.0,0.0
2013,09,30,19.6,8.2,0.0
2013,10,01,20.7,5.1,1.3
2013,10,02,20.6,9.1,7.3
2013,10,03,20.2,6.8,2.6
2013,10,04,18.0,9.9,0.8
2013,10,05,16.6,9.6,4.1
2013,10,06,17.7,8.4,0.4
2013,10,07,21.6,7.4,0.3
2013,10,08,19.2,6.6,0.0
2013,10,09,20.4,6.1,0.0
2013,10,10,20.8,9.2,0.0
2013,10,11,18.6,9.1,0.0
2013,10,12,20.6,6.6,2.5
2013,10,13,17.3,9.6,8.4
2013,10,14,18.0,9.3,15.5
2013,10,15,15.7,7.7,4.4
2013,10,16,19.0,8.4,23.0
2013,10,17,17.7,7.4,3.0
2013,10,18,20.7,8.1,0.0
2013,10,19,20.9,8.9,0.0
2013,10,20,19.9,9.4,3.5
2013,10,21,19.0,4.5,5.4
2013,10,22,16.1,7.0,1.5
2013,10,23,20.5,7.2,0.0
2013,10,24,17.6,4.7,7.2
2013,10,25,18.8,7.0,3.3
2013,10,26,16.7,8.9,6.0
2013,10,27,18.8,9.6,13.2
2013,10,28,16.7,8.9,3.4
2013,10,29,19.3,7.6,19.9
2013,10,30,20.1,8.9,1.8
2013,10,31,16.6,8.7,0.0
2013,11,01,17.8,2.9,0.0
2013,11,02,15.8,7.6,0.1
2013,11,03,17.4,7.7,0.1
2013,11,04,18.9,7.3,0.0
2013,11,05,20.4,3.9,0.0
2013,11,06,16.2,7.6,0.0
2013,11,07,20.6,7.1,0.0
2013,11,08,21.4,4.3,0.0
2013,11,09,19.5,4.1,1.2
2013,11,10,20.4,6.3,10.5
2013,11,11,20.7,7.9,4.6
2013,11,12,20.8,5.8,9.0
2013,11,13,15.0,8.2,1.6
2013,11,14,19.6,6.0,4.1
2013,11,15,21.2,6.2,0.0
2013,11,16,21.8,9.0,0.0
2013,11,17,18.7,9.7,4.4
2013,11,18,20.4,6.4,0.0
2013,11,19,18.7,2.5,0.0
2013,11,20,15.9,3.1,0.8
2013,11,21,18.8,5.6,0.0
2013,11,22,19.3,8.1,0.0
2013,11,23,21.0,6.6,0.1
2013,11,24,19.3,4.9,2.9
2013,11,25,18.6,4.0,1.1
2013,11,26,20.5,2.4,0.0
2013,11,27,21.3,3.5,0.0
2013,11,28,23.2,2.7,0.0
2013,11,29,20.8,5.8,0.0
2013,11,30,20.7,7.2,0.0
2013,12,01,19.1,7.8,7.8
2013,12,02,19.5,7.7,3.5
2013,12,03,17.4,8.8,19.3
2013,12,04,18.5,6.9,24.8
2013,12,05,17.3,7.4,11.4
2013,12,06,17.6,5.4,2.8
2013,12,07,17.9,9.4,2.3
2013,12,08,15.7,9.2,4.1
2013,12,09,18.4,8.2,11.6
2013,12,10,17.4,9.0,2.4
2013,12,11,17.6,8.6,0.1
2013,12,12,20.3,7.9,0.0
2013,12,13,19.4,8.0,7.3
2013,12,14,19.5,10.1,10.1
2013,12,15,18.4,9.5,14.4
2013,12,16,17.4,9.0,5.0
2013,12,17,18.7,9.5,4.9
2013,12,18,18.8,8.4,2.7
2013,12,19,19.1,6.0,0.0
2013,12,20,20.3,8.7,0.5
2013,12,21,18.9,8.1,0.0
2013,12,22,20.4,4.7,0.0
2013,12,23,20.8,2.9,0.0
2013,12,24,19.6,2.0,0.0
2013,12,25,19.2,2.8,0.0
2013,12,26,21.6,5.6,0.0
2013,12,27,19.6,8.7,0.0
2013,12,28,19.0,8.4,0.0
2013,12,29,21.5,10.6,0.0
2013,12,30,21.7,7.9,0.0
2013,12,31,20.8,9.1,0.0
