NIVEL;R0;T0;R30;T30;R50;T50;R100;T100;R160;T160
11:57;651;17.5701;713;16.79276;812;17.11003;708;16.65425;807;15.75152
11:57;653;17.49086;705;17.08528;804;1736232;705;16.76375;803;15.87613
11:58;653;17.49086;710;16.90207;809;17.20435;707;16.6907;804;15.84492
11:59;656;17.37247;715;16.72015;813;17.07867;709;16.61786;807;15.75152
12:02;652;17.53045;709;16.93861;805;17.71335;698;17.02107;793;16.19038
12:04:52;646;17.76925;699;17.30685;793;17.71335;692;17.2437;788;16.348
12:06:04;644;17.84934;695;17.45563;788;17.87452;691;17.28099;790;16.28543
12:08:51;647;17.7293;697;17.38114;789;17.8422;690;17.31833;791;16.25371
12:09:11;644;17.84934;700;17.26979;790;17.80993;690;17.31833;790;16.28543
12:09:39;640;18.01028;696;17.41836;787;17.90688;690;17.31833;786;16.41272
12:10:20;642;17.92968;698;17.34397;790;17.80993;694;17.16928;794;16.15858
12:10:51;647;17.7293;698;17.34397;789;17.8422;688;17.39319;787;16.38084
12:11:19;647;17.7293;701;17.23279;794;17.68124;694;17.16928;788;16.349
12:15:19;646;17.76925;694;17.49296;785;17.97171;683;17.58128;782;16.54067
12:16:00;645;17.80926;696;17.41836;783;18.03672;687;17.4307;785;16.44465
12:17:37;640;18.01028;690;17.64281;781;18.10188;686;17.46826;788;16.349
12:18:09;640;18.01028;690;17.64281;781;18.10188;687;17.4307;788;16.349
12:18:50;640;18.01028;686;17.79353;780;18.13453;686;17.46826;788;16.349
12:20:01;639;18.05067;685;17.83135;777;18.23272;686;17.46826;790;16.349
12:20:31;635;18.21287;683;17.90715;776;18.26554;688;17.39319;792;16.28543
12:21:33;638;18.09112;686;17.79353;677;21.74322;687;17.4307;792;16.22202
12:23:30;637;18.13164;681;17.98317;769;18.49644;674;17.92334;772;16.86341
12:24:07;634;18.25358;676;18.17421;676;21.78088;677;17.80881;782;16.54067
12:25:35;633;18.29435;680;18.02127;669;22.04612;678;17.77075;784;16.47661
12:28:18;645;17.80926;697;17.38114;789;17.8422;693;17.20646;793;16.19038
12:33:17;636;18.7222;680;18.02127;765;18.62932;665;18.26999;761;17.2233
12:34:15;636;18.7222;680;18.02127;766;18.59604;670;18.07683;771;16.89592
12:37:13;636;18.7222;672;18.32806;759;18.82996;672;17.99997;779;16.63706
12:41:00;635;18.21287;677;18.13589;758;18.86356;677;17.80881;774;16.79853
12:42:58;638;18.09112;680;18.02127;759;18.82996;673;17.96162;770;16.92847
12:43:48;638;18.09112;682;17.94513;760;18.79641;674;17.92334;767;17.02636
12:44:13;630;18.41706;675;18.21259;754;18.99838;672;17.99997;762;17.19037
12:44:52;629;18.45809;674;18.25102;756;18.93088;673;17.96162;772;16.86341
12:47:06;629;18.45809;669;18.44405;752;19.06606;666;18.23124;765;17.09183
12:48:48;628;18.49919;669;18.44405;747;19.23604;660;18.46461;756;17.388861
12:49:38;629;18.45809;672;18.32806;749;19.16791;665;18.26999;760;17.25627
12:51:59;629;18.45809;670;18.40533;750;19.13391;663;18.34766;753;17.488832
;;;;;;;;;;
