date,temp,wsp,wdir,rh,P,pp
2025-08-01 00:00:00,15.76,1.814,103.8,90.8,988.2442,0.0
2025-08-01 01:00:00,15.82,0.268,74.25,90.4,988.2227,0.0
2025-08-01 02:00:00,15.82,0.657,134.3,90.0,988.2386,0.0
2025-08-01 03:00:00,15.56,2.034,103.4,91.7,987.8403,0.0
2025-08-01 04:00:00,15.23,0.016,130.2,91.6,987.4548,0.0
2025-08-01 05:00:00,13.13,0.0,106.2,95.3,987.2935,0.0
2025-08-01 06:00:00,12.65,0.0,268.7,96.4,987.1942,0.0
2025-08-01 07:00:00,13.88,0.299,22.19,98.5,988.1291,0.0
2025-08-01 08:00:00,15.36,0.0,306.6,94.1,988.5269,0.0
2025-08-01 09:00:00,16.02,0.438,181.1,91.1,989.3692,0.0
2025-08-01 10:00:00,16.75,0.608,312.1,88.1,989.2285,0.0
2025-08-01 11:00:00,17.43,1.201,229.5,85.2,988.6285,0.0
2025-08-01 12:00:00,19.28,0.808,318.9,79.05,987.6216,0.0
2025-08-01 13:00:00,19.01,2.106,297.6,81.0,987.4052,0.0
2025-08-01 14:00:00,18.78,1.829,266.4,82.1,986.8232,0.0
2025-08-01 15:00:00,17.89,1.429,256.0,84.2,986.3076,0.0
2025-08-01 16:00:00,16.69,1.826,203.5,87.4,986.3298,0.0
2025-08-01 17:00:00,16.49,0.708,197.7,87.1,986.648,0.0
2025-08-01 18:00:00,16.32,0.84,232.6,87.5,987.0474,0.0
2025-08-01 19:00:00,15.93,0.703,278.2,89.2,987.6076,0.0
2025-08-01 20:00:00,16.12,1.731,81.1,88.6,987.2736,0.0
2025-08-01 21:00:00,15.22,0.018,279.4,91.6,987.597,0.0
2025-08-01 22:00:00,15.64,0.344,228.5,91.5,988.4429,0.0
2025-08-01 23:00:00,15.6,0.205,0.219,90.7,988.0624,0.0
2025-08-02 00:00:00,15.53,0.864,264.7,91.4,987.5959,0.0
2025-08-02 01:00:00,15.55,0.433,296.6,91.2,986.922,0.0
2025-08-02 02:00:00,15.29,0.141,296.5,92.1,986.4999,0.0
2025-08-02 03:00:00,15.28,0.051,229.9,92.3,985.6769,0.0
2025-08-02 04:00:00,15.29,0.455,226.5,92.0,985.8741,0.0
2025-08-02 05:00:00,15.03,0.421,319.1,93.0,986.5022,0.0
2025-08-02 06:00:00,15.0,0.038,305.9,92.9,986.466,0.0
2025-08-02 07:00:00,15.06,0.0,241.8,92.1,986.8847,0.0
2025-08-02 08:00:00,15.42,0.578,264.4,90.9,987.6902,0.0
2025-08-02 09:00:00,15.68,0.95,284.3,89.8,988.0379,0.0
2025-08-02 10:00:00,16.18,0.943,218.6,88.1,988.4261,0.0
2025-08-02 11:00:00,17.78,0.869,343.5,82.3,987.8099,0.0
2025-08-02 12:00:00,20.26,1.694,288.5,72.48,986.855,0.0
2025-08-02 13:00:00,20.67,2.689,289.6,71.37,985.9459,0.0
2025-08-02 14:00:00,20.81,1.965,288.0,70.74,985.1513,0.0
2025-08-02 15:00:00,20.33,1.958,296.4,72.44,984.2445,0.0
2025-08-02 16:00:00,18.72,2.686,279.0,78.21,984.0703,0.0
2025-08-02 17:00:00,17.63,1.431,299.4,83.1,984.4136,0.0
2025-08-02 18:00:00,16.64,0.553,329.4,86.4,984.666,0.0
2025-08-02 19:00:00,16.34,1.009,269.9,87.0,985.0052,0.0
2025-08-02 20:00:00,16.21,0.401,230.9,88.1,985.8264,0.0
2025-08-02 21:00:00,16.15,0.602,273.9,88.5,986.3527,0.0
2025-08-02 22:00:00,15.91,0.893,242.6,90.7,986.3218,0.0
2025-08-02 23:00:00,15.97,0.457,337.3,90.5,986.2748,0.0
2025-08-03 00:00:00,15.56,1.046,289.6,92.7,986.5231,0.0
2025-08-03 01:00:00,15.05,0.37,223.5,96.0,986.2679,0.0
2025-08-03 02:00:00,14.89,0.082,282.1,97.1,985.823,0.0
2025-08-03 03:00:00,14.85,0.384,309.8,96.9,985.8729,0.1
2025-08-03 04:00:00,14.98,0.551,220.2,96.5,985.8943,0.0
2025-08-03 05:00:00,14.96,0.932,265.5,95.7,985.9473,0.0
2025-08-03 06:00:00,14.94,0.257,254.9,96.4,986.251,0.0
2025-08-03 07:00:00,15.02,1.245,290.0,95.8,986.6939,0.0
2025-08-03 08:00:00,15.18,0.396,296.4,96.4,987.3349,0.0
2025-08-03 09:00:00,15.57,0.53,308.0,94.2,987.7609,0.0
2025-08-03 10:00:00,15.62,0.474,333.9,94.2,987.6859,0.0
2025-08-03 11:00:00,15.71,1.006,286.0,92.7,987.4169,0.0
2025-08-03 12:00:00,16.32,0.345,317.4,89.5,987.0013,0.0
2025-08-03 13:00:00,17.29,0.81,295.4,84.4,986.2228,0.0
2025-08-03 14:00:00,17.6,0.7,200.4,83.7,985.2982,0.0
2025-08-03 15:00:00,18.0,0.66,250.7,82.3,984.6448,0.0
2025-08-03 16:00:00,18.17,0.993,239.9,81.0,984.0124,0.0
2025-08-03 17:00:00,17.17,1.062,244.6,84.2,984.0129,0.0
2025-08-03 18:00:00,16.17,0.734,310.5,88.1,983.878,0.0
2025-08-03 19:00:00,15.97,0.474,249.3,88.7,984.2057,0.0
2025-08-03 20:00:00,15.74,0.043,302.4,89.7,984.6866,0.0
2025-08-03 21:00:00,15.67,0.371,327.2,90.3,985.1194,0.0
2025-08-03 22:00:00,15.65,0.465,256.5,90.5,985.2733,0.0
2025-08-03 23:00:00,15.6,0.565,264.3,91.3,985.4417,0.0
2025-08-04 00:00:00,15.55,0.055,323.7,91.8,985.4854,0.0
2025-08-04 01:00:00,15.39,0.191,286.4,92.9,985.24,0.0
2025-08-04 02:00:00,15.26,0.138,239.6,93.6,985.092,0.0
2025-08-04 03:00:00,15.39,0.068,225.4,92.9,985.0277,0.0
2025-08-04 04:00:00,15.34,0.012,255.8,93.2,985.09,0.0
2025-08-04 05:00:00,15.17,0.013,265.4,94.8,985.3066,0.0
2025-08-04 06:00:00,14.98,0.0,344.1,96.5,985.8575,0.0
2025-08-04 07:00:00,15.01,0.007,332.9,97.4,986.4983,0.0
2025-08-04 08:00:00,15.36,0.215,237.0,96.2,986.9476,0.0
2025-08-04 09:00:00,16.2,0.16,268.8,90.8,987.5637,0.0
2025-08-04 10:00:00,17.05,0.494,251.6,86.9,987.7926,0.0
2025-08-04 11:00:00,17.73,0.855,315.7,85.9,987.4779,0.0
2025-08-04 12:00:00,17.6,1.779,251.8,86.3,987.2048,0.0
2025-08-04 13:00:00,17.38,1.239,276.0,86.8,986.7898,0.0
2025-08-04 14:00:00,18.19,1.072,278.4,84.0,985.9282,0.0
2025-08-04 15:00:00,17.98,1.866,223.1,85.4,985.6848,0.0
2025-08-04 16:00:00,17.86,1.294,295.7,86.0,985.6013,0.0
2025-08-04 17:00:00,17.34,1.314,301.0,87.7,985.7293,0.0
2025-08-04 18:00:00,16.58,1.072,275.4,91.2,986.4752,0.0
2025-08-04 19:00:00,16.25,0.548,274.8,92.6,987.1465,0.0
2025-08-04 20:00:00,16.15,0.243,314.7,93.3,987.5841,0.0
2025-08-04 21:00:00,16.1,0.845,292.5,94.0,987.6719,0.0
2025-08-04 22:00:00,16.04,0.345,255.5,93.9,987.7374,0.0
2025-08-04 23:00:00,16.07,0.093,266.2,93.8,988.028,0.0
2025-08-05 00:00:00,16.04,0.0,332.6,93.4,987.7171,0.0
2025-08-05 01:00:00,15.77,0.419,269.1,94.2,987.4879,0.0
2025-08-05 02:00:00,15.52,0.117,322.1,95.8,987.2442,0.0
2025-08-05 03:00:00,15.3,0.164,265.8,97.4,986.8336,0.0
2025-08-05 04:00:00,15.16,0.514,255.0,97.7,986.939,0.0
2025-08-05 05:00:00,15.11,0.031,303.0,98.1,987.2546,0.1
2025-08-05 06:00:00,14.99,0.0,243.3,97.7,987.707,0.0
2025-08-05 07:00:00,15.1,0.108,276.4,97.6,988.6136,0.0
2025-08-05 08:00:00,15.48,0.0,17.65,96.8,989.1361,0.0
2025-08-05 09:00:00,16.32,0.012,322.8,92.3,989.4265,0.0
2025-08-05 10:00:00,17.14,0.874,278.5,88.4,989.0532,0.0
2025-08-05 11:00:00,18.06,1.343,319.4,85.3,988.8276,0.0
2025-08-05 12:00:00,19.18,1.182,329.9,82.4,988.0881,0.0
2025-08-05 13:00:00,18.82,1.285,318.8,82.8,987.6347,0.0
2025-08-05 14:00:00,18.5,2.204,277.9,83.5,986.8502,0.0
2025-08-05 15:00:00,18.66,0.826,310.1,83.3,986.0646,0.0
2025-08-05 16:00:00,19.6,1.458,296.2,79.98,985.8563,0.0
2025-08-05 17:00:00,18.51,1.313,324.8,82.9,985.9134,0.0
2025-08-05 18:00:00,16.5,0.765,284.0,89.3,986.5204,0.0
2025-08-05 19:00:00,15.36,0.139,311.9,93.4,986.8909,0.0
2025-08-05 20:00:00,14.14,0.0,343.7,94.2,987.2616,0.0
2025-08-05 21:00:00,14.07,0.0,14.1,96.1,987.722,0.0
2025-08-05 22:00:00,15.28,0.0,296.7,95.4,988.2844,0.0
2025-08-05 23:00:00,15.43,0.0,4.734,94.7,988.8417,0.0
2025-08-06 00:00:00,15.4,0.143,286.4,94.8,988.8257,0.0
2025-08-06 01:00:00,15.37,0.0,275.2,95.0,988.4125,0.0
2025-08-06 02:00:00,15.46,0.64,39.53,92.8,987.9753,0.0
2025-08-06 03:00:00,15.4,0.589,139.7,93.0,987.678,0.0
2025-08-06 04:00:00,15.55,0.001,46.68,92.7,987.5817,0.0
2025-08-06 05:00:00,15.44,0.332,101.4,92.7,987.9865,0.0
2025-08-06 06:00:00,15.28,1.07,115.2,92.0,988.5409,0.0
2025-08-06 07:00:00,15.45,0.717,133.7,92.1,989.17,0.0
2025-08-06 08:00:00,16.18,0.715,93.3,90.1,989.727,0.0
2025-08-06 09:00:00,17.14,0.973,295.0,87.5,990.1483,0.0
2025-08-06 10:00:00,17.66,1.798,299.6,85.9,990.2537,0.0
2025-08-06 11:00:00,18.55,1.583,313.0,83.4,989.8285,0.0
2025-08-06 12:00:00,19.55,1.971,284.4,79.72,988.9123,0.0
2025-08-06 13:00:00,20.4,2.166,305.3,76.0,988.1573,0.0
2025-08-06 14:00:00,20.41,2.065,292.1,75.19,987.6182,0.0
2025-08-06 15:00:00,20.08,1.619,309.2,76.55,987.1044,0.0
2025-08-06 16:00:00,19.6,1.569,293.5,77.63,986.8229,0.0
2025-08-06 17:00:00,17.99,1.325,297.4,81.9,987.0255,0.0
2025-08-06 18:00:00,15.99,0.466,316.5,88.8,987.6483,0.0
2025-08-06 19:00:00,15.31,0.046,344.2,92.0,987.9982,0.0
2025-08-06 20:00:00,15.12,0.006,313.7,92.4,988.5729,0.0
2025-08-06 21:00:00,15.57,0.212,297.3,92.3,989.1865,0.0
2025-08-06 22:00:00,15.67,0.009,293.8,92.0,989.5439,0.0
2025-08-06 23:00:00,15.63,0.064,265.6,91.9,989.3347,0.0
2025-08-07 00:00:00,15.31,0.0,321.3,93.1,989.0971,0.0
2025-08-07 01:00:00,15.56,0.294,85.4,92.8,988.5475,0.0
2025-08-07 02:00:00,15.4,0.0,278.1,91.1,987.7355,0.0
2025-08-07 03:00:00,15.29,0.267,255.0,94.0,987.752,0.0
2025-08-07 04:00:00,15.2,0.327,267.9,94.3,987.3179,0.0
2025-08-07 05:00:00,15.27,0.0,192.4,93.8,987.1658,0.0
2025-08-07 06:00:00,15.32,0.096,225.8,94.0,987.1344,0.0
2025-08-07 07:00:00,14.9,0.829,303.3,96.6,987.7617,0.0
2025-08-07 08:00:00,14.74,0.502,304.3,97.8,988.6274,0.0
2025-08-07 09:00:00,15.21,0.148,316.1,97.1,989.112,0.0
2025-08-07 10:00:00,15.8,1.018,298.2,92.8,989.4156,0.0
2025-08-07 11:00:00,17.0,0.605,335.2,89.1,988.9224,0.0
2025-08-07 12:00:00,18.36,1.699,306.9,83.6,988.1793,0.0
2025-08-07 13:00:00,20.77,1.653,346.1,75.21,987.4584,0.0
2025-08-07 14:00:00,20.4,2.691,259.0,74.24,986.9637,0.0
2025-08-07 15:00:00,17.01,2.243,276.9,85.7,987.004,0.0
2025-08-07 16:00:00,16.69,1.203,298.3,87.2,986.8842,0.0
2025-08-07 17:00:00,16.52,1.492,277.0,88.9,986.8781,0.0
2025-08-07 18:00:00,15.68,1.033,269.2,93.2,987.3849,0.0
2025-08-07 19:00:00,15.36,0.705,304.8,94.8,987.9582,0.0
2025-08-07 20:00:00,15.28,0.096,297.9,95.1,988.2402,0.0
2025-08-07 21:00:00,15.25,1.298,295.7,95.4,988.5457,0.0
2025-08-07 22:00:00,15.16,0.61,266.1,96.3,988.8565,0.0
2025-08-07 23:00:00,15.21,0.352,238.6,96.0,988.8427,0.0
2025-08-08 00:00:00,15.03,0.516,272.2,97.0,988.5203,0.0
2025-08-08 01:00:00,14.82,0.978,273.4,97.6,987.9146,0.0
2025-08-08 02:00:00,14.66,0.559,268.8,98.1,987.5843,0.1
