"fecha_hora","Costa_Norte","Costa_Centro","Costa_Sur","Sierra_Norte","Sierra_Centro","Sierra_Sur","Selva_Norte","Selva_Centro","Selva_Sur"
1950-01-16,101029.515625,101049.59375,101113.4296875,101013.578125,100989.7265625,100991.71875,101073.34375,100961.0546875,100948.1484375
1950-02-15,101067.6796875,101080.671875,101194.6875,101056.7890625,101044.828125,101079.734375,101134.7265625,101028.8125,101034.5546875
1950-03-16,101211.0078125,101115.0625,101153.9375,101186.609375,101079,101022.875,101263.40625,101112.65625,101017.828125
1950-04-16,101073.6953125,101167.40625,101397.078125,101059.375,101108.7578125,101213.671875,101135.234375,101067.3359375,101170.4140625
1950-05-16,101028.0078125,101242.96875,101483.90625,101031.2734375,101166.8359375,101297.5546875,101080.5,101071.984375,101227.109375
1950-06-16,101036.234375,101280.6328125,101555.7734375,101065.5703125,101223.375,101362.0703125,101118.0234375,101136.5859375,101306.8125
1950-07-16,100956.3515625,101245.2578125,101587.2109375,100997.2109375,101183.1015625,101341.2578125,101049.8046875,101088.234375,101274.7421875
1950-08-16,101114.125,101411.0859375,101704.4453125,101155.578125,101348.6171875,101506.4921875,101178.2578125,101250.3046875,101438.9765625
1950-09-16,101339.59375,101603.9453125,101895.15625,101363.9140625,101523.0703125,101679.53125,101368.3671875,101422.90625,101601.359375
1950-10-16,101357.46875,101578.90625,101788.7109375,101371.5078125,101499.2265625,101628.609375,101379.5625,101407.875,101558.484375
1950-11-16,101339.9140625,101493.484375,101637.9921875,101332.4296875,101405.578125,101490.2109375,101353.8046875,101320.6015625,101418.6640625
1950-12-16,101267.0390625,101394.2578125,101522.140625,101262.015625,101304.375,101376.0078125,101297.53125,101223.96875,101301.625
1951-01-16,101200.2734375,101136.5390625,101042.828125,101177.3515625,101088.0859375,100987.25,101245.1640625,101102.9765625,100955.890625
1951-02-15,101161.59375,101107.53125,100948.8203125,101150.8046875,101082.5546875,100962.203125,101223.125,101100.8125,100953.0703125
1951-03-16,101117.7734375,101170.8515625,101294.203125,101114.5703125,101131.9609375,101180.9453125,101184.3046875,101099.1796875,101130.3125
1951-04-16,100991.125,101190.453125,101457.8984375,101013.8359375,101147.578125,101286.0078125,101078.25,101070.9609375,101231.984375
1951-05-16,100990.8671875,101230.3203125,101531.140625,101022.15625,101182.3984375,101332.765625,101060.953125,101098.0234375,101274.515625
1951-06-16,101074.1640625,101324.59375,101584.1328125,101116,101294.40625,101425.9609375,101150.4921875,101211.21875,101380.625
1951-07-16,101148.4296875,101402.1875,101685.515625,101186.4609375,101357.7109375,101496.1640625,101205.0234375,101274,101446.2734375
1951-08-16,101265.4609375,101482.09375,101731.7734375,101283.6640625,101424.0234375,101554.1328125,101285.46875,101336.0859375,101492.953125
1951-09-16,101429.3359375,101610.6953125,101824.171875,101434.3515625,101545.8828125,101666.9375,101434.8203125,101463.9140625,101607.484375
1951-10-16,101428.3046875,101606.15625,101803.421875,101428.65625,101538.8359375,101656.5546875,101432.765625,101449.890625,101591.453125
1951-11-16,101324.84375,101488.9140625,101662.7265625,101326.234375,101415.71875,101512.640625,101342.0703125,101329.9609375,101447.7265625
1951-12-16,101280,101399.421875,101536.0625,101276.3046875,101325.03125,101391.421875,101320.8203125,101251.0625,101324.1640625
1952-01-16,101214.4765625,101207.171875,101242.703125,101200.375,101160.28125,101140.203125,101269.953125,101153.4453125,101099.453125
1952-02-15,101213.90625,101145.1875,101091.4453125,101205.0546875,101135.78125,101067.140625,101282.7890625,101167.8203125,101044.7578125
1952-03-16,101117.3984375,101171.59375,101324.5390625,101113.5859375,101133.6796875,101189.8984375,101192.4921875,101105.953125,101146.8671875
1952-04-16,101011.8984375,101148.828125,101379.5703125,101015.515625,101093.21875,101212.671875,101085.4296875,101027.7421875,101153.125
1952-05-16,100987.4140625,101200.0546875,101531.5859375,101010.8203125,101160.3203125,101310.6875,101079.90625,101080.796875,101252.2421875
1952-06-16,100999.5078125,101298.6796875,101618.328125,101037.4140625,101239.6953125,101410.2265625,101086.5078125,101135.109375,101345.265625
1952-07-16,101074.8203125,101354.5,101627.4375,101118.6640625,101304.71875,101452.0703125,101154.28125,101215.296875,101392.7890625
1952-08-16,101064.4453125,101372.3203125,101700.015625,101097.9296875,101288.8046875,101467.5234375,101110.2265625,101171.4140625,101386.828125
1952-09-16,101273.671875,101488.0390625,101720.8125,101288.40625,101421.7578125,101564.609375,101299.6640625,101333.5078125,101499.3671875
1952-10-16,101227.15625,101429.4375,101673.4140625,101234.0859375,101352.8984375,101490.75,101250.890625,101262.1796875,101418.90625
1952-11-16,101119.453125,101290.96875,101505.3203125,101122.796875,101214.2109375,101337.421875,101154.6484375,101124.25,101265.2890625
1952-12-16,100999.4609375,101092.1171875,101248.921875,100988.421875,101003.3828125,101087.2109375,101043.7265625,100942.3125,101008.75
1953-01-16,100895.6953125,100875.2890625,100931.375,100884.7578125,100844.109375,100844.5625,100962.6328125,100844.8125,100808.2890625
1953-02-15,100830.0078125,100695.109375,100795.703125,100801.40625,100712.6015625,100739.953125,100891.796875,100746.2578125,100728.0859375
1953-03-16,100928.4140625,100912.0625,101022.734375,100922.15625,100905.390625,100914.359375,101002.6953125,100906.3828125,100890.046875
1953-04-16,100830.375,100870.96875,101033.0859375,100829.296875,100828.9375,100884.3515625,100899.125,100796.59375,100832.3671875
1953-05-16,100931.421875,100955.65625,101292.484375,100917.21875,100900.4453125,101094.21875,100992.0078125,100916.796875,101058.7890625
1953-06-16,100874.046875,101045.2578125,101369.765625,100899.5390625,101019.3046875,101165.9765625,100972.0625,100964.734375,101121.03125
1953-07-16,100914.3359375,101162.0390625,101539.0234375,100930.2890625,101105.7109375,101311.3828125,100989.4375,101000.6640625,101239.1640625
1953-08-16,100908.0859375,101220.1640625,101564.8515625,100939.96875,101159.6640625,101353.3125,100995.84375,101042.828125,101276.515625
1953-09-16,100994.4453125,101252.34375,101582.3125,101017.1328125,101193.84375,101380.53125,101071.765625,101086.484375,101307.0859375
1953-10-16,101103.2265625,101312.5625,101537.8203125,101109.0625,101241.5390625,101367.9296875,101151.640625,101136.6953125,101297.8671875
1953-11-16,101121.2734375,101217.5703125,101377.140625,101106.0625,101155.5546875,101239.3515625,101158.515625,101089.9296875,101176.265625
1953-12-16,100984.34375,101021.6484375,101192.15625,100966.953125,100969.6796875,101046.203125,101041.09375,100934.5390625,100982.65625
1954-01-16,100922.53125,100806.09375,100824.390625,100895.4296875,100799.546875,100746.0234375,100977.078125,100828.640625,100726.4921875
1954-02-15,101002.1796875,100858.53125,100730.4453125,100966.0390625,100845.65625,100748.765625,101053.046875,100885.8671875,100734.9140625
1954-03-16,101046.0625,101064.6171875,101248.8125,101040.5234375,101046.1171875,101112.140625,101115.1171875,101027.78125,101071.9375
1954-04-16,101079.4453125,101233.578125,101515.296875,101086.5703125,101183.1875,101328.1484375,101150.5546875,101109.0546875,101278.3359375
1954-05-16,100977.296875,101124.9765625,101417.96875,100980.859375,101098.1953125,101256.265625,101057.40625,101038.6328125,101214.453125
1954-06-16,101102.2265625,101381.53125,101731.5390625,101145.9609375,101334.15625,101505.265625,101183.6484375,101242.25,101443.6875
1954-07-16,101195.296875,101438.7578125,101727.5859375,101225.7890625,101382.7578125,101531.8984375,101243.171875,101299.4609375,101473.7109375
1954-08-16,101268.7578125,101530.3359375,101885.90625,101304.5703125,101471.1328125,101664.5078125,101306.0625,101385.6171875,101588.125
1954-09-16,101465.546875,101659.734375,101915,101474.6328125,101595.515625,101739.9375,101476.5625,101514.7421875,101674.0390625
1954-10-16,101432.65625,101610.78125,101815.828125,101436.9765625,101543.5703125,101664.265625,101436.4140625,101463.421875,101602.3671875
1954-11-16,101300.6484375,101442.078125,101574.0234375,101295.3359375,101369.578125,101444.1875,101308.96875,101292.6875,101383.4375
1954-12-16,101275.609375,101346.1796875,101429.9609375,101269.640625,101288.4375,101314,101319.8828125,101241.8125,101264.984375
1955-01-16,101258.890625,101221.2421875,101206.15625,101245.125,101179.640625,101133.546875,101321,101188.359375,101102.03125
1955-02-15,101348.4296875,101300.5078125,101266.6171875,101339.15625,101284.5703125,101251.0703125,101412.9609375,101305.9296875,101236.6015625
1955-03-16,101177.7578125,101183.5390625,101330.4140625,101175.5234375,101171.1796875,101221.734375,101260.046875,101172.78125,101199.140625
1955-04-16,101130.6796875,101237.671875,101469.5234375,101129.6015625,101202.5859375,101320.28125,101197.1953125,101148.6328125,101278.6953125
1955-05-16,101043.5234375,101222.5625,101517.359375,101051.3359375,101177.6640625,101329.390625,101120.5546875,101100.203125,101275
1955-06-16,100992.6484375,101305.5625,101682.9296875,101026.765625,101239.8046875,101432.5078125,101076.390625,101122,101357.1796875
1955-07-16,101077.1484375,101411.5703125,101794.859375,101128.328125,101341.4296875,101539.34375,101163.3046875,101231.3515625,101458.59375
1955-08-16,101195.6953125,101493.40625,101805.171875,101235.59375,101430.5078125,101607.46875,101250.328125,101330.6015625,101537.4609375
1955-09-16,101341.8203125,101560,101775.46875,101359.2265625,101490.8828125,101630.3203125,101368.4609375,101403.40625,101566.8515625
1955-10-16,101342.8125,101541.125,101741.1953125,101350.546875,101469.84375,101589.03125,101356.78125,101382.921875,101515.5625
1955-11-16,101379.59375,101550.4375,101707.296875,101379.46875,101471.65625,101571.34375,101393.484375,101382.6484375,101499.7109375
1955-12-16,101152.515625,101263.28125,101354.6796875,101146.015625,101184.3515625,101225.359375,101188.640625,101116.859375,101163.265625
1956-01-16,101060.75,101094.7265625,101053.484375,101048.578125,101024.15625,100993.1484375,101107,100994.3203125,100942.8125
1956-02-15,101058.7890625,101037.8984375,101161.15625,101036.5390625,101010.7109375,101040.8203125,101112.7890625,101001.3515625,101008.65625
1956-03-16,101027.6484375,101011.6015625,100959.1953125,101007.3046875,100966.1328125,100914.375,101087.28125,100965.1875,100897.7734375
1956-04-16,100920.5546875,100880.8359375,101203.8203125,100899.0703125,100889.9765625,101012.3203125,100985.953125,100886.6953125,100976.9921875
1956-05-16,100880.125,101087.078125,101398.1875,100894.5,101022.609375,101188.5390625,100962.296875,100937.4921875,101124.6875
1956-06-16,100996.578125,101298.8671875,101604.96875,101030.6015625,101231.2109375,101411.578125,101081.1953125,101120.59375,101345.9296875
1956-07-16,101005.34375,101315.96875,101677.515625,101052.1328125,101263.828125,101466.2890625,101094.765625,101158.8828125,101395.546875
1956-08-16,101122.8828125,101370.8515625,101705.6015625,101155.640625,101315.5234375,101491.609375,101172,101225.6015625,101421.34375
1956-09-16,101253.4609375,101470.28125,101714.7109375,101273.8125,101410.125,101550.3359375,101289.21875,101322.078125,101484.8828125
1956-10-16,101314.46875,101494.8359375,101729.59375,101318.4609375,101422.125,101548.203125,101332.671875,101335.265625,101471.7734375
1956-11-16,101141.4609375,101310.53125,101475.234375,101147.3359375,101241.515625,101345.1484375,101173.8984375,101156.1796875,101279.625
1956-12-16,101024.9140625,101102.7578125,101217.3203125,101018.53125,101033.390625,101071.421875,101066.984375,100979.6015625,101007.078125
1957-01-16,100897.3984375,100809.7421875,100887.53125,100874.75,100807.625,100793.015625,100957.546875,100831.5546875,100769.6796875
1957-02-15,100982.0859375,100800.21875,100542.515625,100953.984375,100811.90625,100653.5078125,101037.359375,100885.5859375,100677.546875
1957-03-16,101085.8046875,100999.703125,101072.96875,101057.34375,100981.890625,100980.28125,101145.34375,101014.5703125,100966.9453125
1957-04-16,100947.5546875,101002.4140625,101316.09375,100942.546875,100981.6015625,101121.9765625,101027.796875,100943.34375,101070.0625
1957-05-16,100992.375,101179.2578125,101411.8046875,101003.8671875,101126.4140625,101264.8828125,101059.2265625,101042.3984375,101211.78125
1957-06-16,100977.40625,101271.96875,101603.8359375,101016.6484375,101209.1640625,101386.453125,101068.625,101109.7109375,101316.7734375
1957-07-16,101136.0625,101407.6875,101712.0859375,101172.234375,101343.6015625,101490.828125,101199.75,101249.1015625,101418.921875
1957-08-16,101219.1015625,101508.8203125,101811.078125,101250.7734375,101431.5234375,101611.75,101264.046875,101323.8203125,101533.421875
1957-09-16,101331.96875,101568.34375,101837.5390625,101350.2734375,101498.53125,101659.5546875,101361.9140625,101407.0859375,101590.4921875
1957-10-16,101414.28125,101601.671875,101744.9296875,101424.9765625,101531.6328125,101623.8203125,101438.84375,101445.90625,101561.2109375
1957-11-16,101390.3828125,101563.9921875,101712.2890625,101387.203125,101475.6953125,101567.1171875,101407.4609375,101388.40625,101498.6328125
1957-12-16,101282.6484375,101365.6171875,101488.5078125,101273.6015625,101294.7265625,101343.453125,101320.109375,101235.0625,101277.9921875
1958-01-16,101260.6953125,101255.7421875,101272.984375,101243.59375,101208.3046875,101181.8359375,101316.6875,101197.140625,101141.109375
1958-02-15,101160.8515625,101174.3125,101171.671875,101155.109375,101147.3671875,101129.4453125,101230.9375,101137.171875,101096.8046875
1958-03-16,101149.6640625,101199.765625,101413.4140625,101142.7734375,101176.4609375,101273.1640625,101221.8359375,101142.5625,101222.609375
1958-04-16,101146.125,101145.4765625,101379.6328125,101132.8984375,101123.7734375,101210.40625,101223.6875,101124.703125,101188.203125
1958-05-16,101071.65625,101268.703125,101625.625,101087.765625,101231.2109375,101415.75,101160.3984375,101153.4765625,101361.9765625
1958-06-16,101045.1171875,101337.0859375,101624.03125,101081.8984375,101280.3203125,101440.5859375,101128.0234375,101181.734375,101380.078125
1958-07-16,101083,101408.4609375,101726.796875,101129.7890625,101343.546875,101521.234375,101159.7734375,101235.046875,101450.484375
1958-08-16,101207.8984375,101475.5546875,101736.59375,101234.71875,101397.5,101558.53125,101243.40625,101292.2578125,101489.9609375
1958-09-16,101378.4140625,101609.578125,101789.859375,101397.1484375,101532.234375,101652.8203125,101406.0703125,101434.28125,101588.7265625
1958-10-16,101280.71875,101486.515625,101670.0390625,101288.9140625,101406.6015625,101530.5078125,101300.7890625,101312.921875,101455
1958-11-16,101256.5859375,101447.7265625,101584.59375,101258.1171875,101364.4140625,101472.2109375,101283.7109375,101268.65625,101404.625
1958-12-16,101290.5,101442.1484375,101550.21875,101294.265625,101360.578125,101425.0234375,101334.640625,101278.171875,101353.5390625
1959-01-16,101128.7421875,101162.65625,101185.9921875,101111.5546875,101092.828125,101092.4921875,101179.03125,101062.375,101035.5234375
1959-02-15,101047.46875,101027.2890625,101043.0546875,101034.6171875,100979.828125,100954.046875,101110.984375,100976.15625,100915.609375
1959-03-16,101109.875,101172.546875,101221.890625,101106.6796875,101119.6875,101126.921875,101178.7734375,101091.078125,101086.3828125
1959-04-16,101051.3515625,101166.8671875,101433.125,101054.625,101144.21875,101277.1640625,101129.296875,101095.1328125,101231.2734375
1959-05-16,101067.3125,101317.015625,101634.1796875,101097.4296875,101265.96875,101427.703125,101139.859375,101177.671875,101364.125
1959-06-16,101049.8515625,101314.4296875,101614.4296875,101087.7265625,101257.25,101410.9375,101122.65625,101169.7109375,101348.3671875
1959-07-16,101061.75,101328.578125,101606.8203125,101095.5,101260.9609375,101417.2421875,101119.5703125,101167.46875,101342.640625
1959-08-16,101210.15625,101446.828125,101699.84375,101227.2578125,101376.3671875,101524.4453125,101236.65625,101279.4453125,101451.3984375
1959-09-16,101338.21875,101559.953125,101806.3359375,101351.2109375,101478.4453125,101635.203125,101354.75,101385.984375,101554.375
1959-10-16,101333.09375,101535.0703125,101734.140625,101339.5859375,101450.9140625,101567.0703125,101347.1171875,101355.7890625,101490.5390625
1959-11-16,101274.03125,101442.1171875,101603.109375,101276.1484375,101364.0234375,101453.921875,101295.5,101276.2890625,101380.765625
1959-12-16,101128.1640625,101264.546875,101394.4921875,101125.875,101180.734375,101247.7890625,101159.1171875,101101.9375,101172.484375
1960-01-16,101010.3984375,101055.875,101016.7421875,101006.109375,100998.3828125,100980.515625,101071.546875,100971.625,100939.625
1960-02-15,101061.8671875,101024.59375,101071.40625,101045.015625,100998.4921875,101013.9609375,101123.8828125,101006.2578125,100990.484375
1960-03-16,100963.7890625,101014.2734375,101146.953125,100961.34375,100969.84375,100993.421875,101035.625,100936.796875,100949.703125
1960-04-16,100923.6875,101081.2109375,101419.5,100933.5078125,101026.5,101175.625,101006.234375,100963.4921875,101102.3203125
1960-05-16,100894.734375,101131.1484375,101444.515625,100913.7890625,101079.265625,101243.234375,101002.3515625,100994.1875,101189.0390625
1960-06-16,100881.3203125,101164.8046875,101511.734375,100908.390625,101094.7578125,101277.1328125,100958.7421875,100985.5625,101205.5625
1960-07-16,101042.484375,101336.4375,101693.1171875,101081.234375,101278.9296875,101456.2578125,101116.453125,101170.6484375,101382.4375
1960-08-16,101121.03125,101407.171875,101703.296875,101158.1328125,101330.6875,101493.4375,101182,101227.7734375,101416.2734375
1960-09-16,101176.734375,101403.53125,101642.4296875,101192.5234375,101326.4921875,101475.3046875,101207.65625,101233.203125,101400.921875
1960-10-16,101311.296875,101499.0546875,101660.8046875,101321.328125,101429.578125,101535.3515625,101337.1484375,101344.203125,101471.046875
1960-11-16,101097.8671875,101282.359375,101398.7265625,101102.9765625,101199.015625,101271.390625,101128.703125,101106.546875,101207.9140625
1960-12-16,101074.2265625,101166,101200.4296875,101064.7734375,101082.1953125,101101.2578125,101108.2421875,101021.9609375,101039.265625
1961-01-16,100902.359375,100892.5234375,100887.453125,100872.765625,100830.9609375,100788.484375,100935.0703125,100808.6640625,100733.09375
1961-02-15,101000.9765625,100973.4296875,101106.1640625,100980.0703125,100938.390625,100979.4375,101063.5703125,100935.46875,100945.4765625
1961-03-16,101066.671875,100989.4453125,100957.96875,101038.5078125,100949.203125,100889.5078125,101116.2734375,100967.6953125,100862.6484375
1961-04-16,100980.3671875,101085.7421875,101276.2265625,100980.1015625,101038.0078125,101114.53125,101048.734375,100987.8203125,101058.046875
1961-05-16,100882.7421875,101028.390625,101357.2109375,100885.0703125,100980.078125,101141.3046875,100956.703125,100908.40625,101082.75
1961-06-16,100942.6640625,101227.2890625,101557.234375,100980.71875,101176.078125,101352.1640625,101046.0546875,101077.046875,101290.859375
1961-07-16,101007.8046875,101303.2734375,101660.6953125,101044.625,101252.1640625,101431.859375,101091.0078125,101146.6640625,101361.9921875
1961-08-16,101037.453125,101299.0625,101596.84375,101072.71875,101251.9765625,101393.9609375,101121.2578125,101157.9765625,101330.4296875
1961-09-16,101085.7890625,101416.375,101717.9375,101117.8125,101333.9296875,101514.9375,101161.5703125,101210.1171875,101433.5390625
1961-10-16,101247.875,101474.09375,101689.34375,101258.0390625,101389.390625,101513.2734375,101275.8203125,101287.640625,101439.984375
1961-11-16,101176.3359375,101356.84375,101470.609375,101186.359375,101278.6875,101343.21875,101225.7421875,101197.296875,101281.5390625
