Código	Mes	CWD	Estación	Departamento	Provincia	Distrito	Longitud	Latitud	Altitud (msnm)	Sector
100007	1	6	BOCATOMA	TACNA	TACNA	PALCA	-69.62672	-17.5802	4266	SIERRA SUR OCCIDENTAL
100007	2	7	BOCATOMA	TACNA	TACNA	PALCA	-69.62672	-17.5802	4266	SIERRA SUR OCCIDENTAL
100007	3	3	BOCATOMA	TACNA	TACNA	PALCA	-69.62672	-17.5802	4266	SIERRA SUR OCCIDENTAL
100007	4	2	BOCATOMA	TACNA	TACNA	PALCA	-69.62672	-17.5802	4266	SIERRA SUR OCCIDENTAL
100007	5	1	BOCATOMA	TACNA	TACNA	PALCA	-69.62672	-17.5802	4266	SIERRA SUR OCCIDENTAL
100007	6	2	BOCATOMA	TACNA	TACNA	PALCA	-69.62672	-17.5802	4266	SIERRA SUR OCCIDENTAL
100007	7	0	BOCATOMA	TACNA	TACNA	PALCA	-69.62672	-17.5802	4266	SIERRA SUR OCCIDENTAL
100007	8	1	BOCATOMA	TACNA	TACNA	PALCA	-69.62672	-17.5802	4266	SIERRA SUR OCCIDENTAL
100007	9	0	BOCATOMA	TACNA	TACNA	PALCA	-69.62672	-17.5802	4266	SIERRA SUR OCCIDENTAL
100007	10	1	BOCATOMA	TACNA	TACNA	PALCA	-69.62672	-17.5802	4266	SIERRA SUR OCCIDENTAL
100007	11	1	BOCATOMA	TACNA	TACNA	PALCA	-69.62672	-17.5802	4266	SIERRA SUR OCCIDENTAL
100007	12	3	BOCATOMA	TACNA	TACNA	PALCA	-69.62672	-17.5802	4266	SIERRA SUR OCCIDENTAL
100015	1	4	BAMBAMARCA	CAJAMARCA	HUALGAYOC	BAMBAMARCA	-78.51833611	-6.67655	2495	SIERRA NORTE ORIENTAL
100015	2	6	BAMBAMARCA	CAJAMARCA	HUALGAYOC	BAMBAMARCA	-78.51833611	-6.67655	2495	SIERRA NORTE ORIENTAL
100015	3	7	BAMBAMARCA	CAJAMARCA	HUALGAYOC	BAMBAMARCA	-78.51833611	-6.67655	2495	SIERRA NORTE ORIENTAL
100015	4	4	BAMBAMARCA	CAJAMARCA	HUALGAYOC	BAMBAMARCA	-78.51833611	-6.67655	2495	SIERRA NORTE ORIENTAL
100015	5	3	BAMBAMARCA	CAJAMARCA	HUALGAYOC	BAMBAMARCA	-78.51833611	-6.67655	2495	SIERRA NORTE ORIENTAL
100015	6	2	BAMBAMARCA	CAJAMARCA	HUALGAYOC	BAMBAMARCA	-78.51833611	-6.67655	2495	SIERRA NORTE ORIENTAL
100015	7	1	BAMBAMARCA	CAJAMARCA	HUALGAYOC	BAMBAMARCA	-78.51833611	-6.67655	2495	SIERRA NORTE ORIENTAL
100015	8	1	BAMBAMARCA	CAJAMARCA	HUALGAYOC	BAMBAMARCA	-78.51833611	-6.67655	2495	SIERRA NORTE ORIENTAL
100015	9	3	BAMBAMARCA	CAJAMARCA	HUALGAYOC	BAMBAMARCA	-78.51833611	-6.67655	2495	SIERRA NORTE ORIENTAL
100015	10	5	BAMBAMARCA	CAJAMARCA	HUALGAYOC	BAMBAMARCA	-78.51833611	-6.67655	2495	SIERRA NORTE ORIENTAL
100015	11	5	BAMBAMARCA	CAJAMARCA	HUALGAYOC	BAMBAMARCA	-78.51833611	-6.67655	2495	SIERRA NORTE ORIENTAL
100015	12	5	BAMBAMARCA	CAJAMARCA	HUALGAYOC	BAMBAMARCA	-78.51833611	-6.67655	2495	SIERRA NORTE ORIENTAL
100019	1	3	CAMPANILLA	SAN MARTIN	MARISCAL CACERES	CAMPANILLA	-76.65311111	-7.484344444	316	SELVA NORTE BAJA
100019	2	4	CAMPANILLA	SAN MARTIN	MARISCAL CACERES	CAMPANILLA	-76.65311111	-7.484344444	316	SELVA NORTE BAJA
100019	3	5	CAMPANILLA	SAN MARTIN	MARISCAL CACERES	CAMPANILLA	-76.65311111	-7.484344444	316	SELVA NORTE BAJA
100019	4	4	CAMPANILLA	SAN MARTIN	MARISCAL CACERES	CAMPANILLA	-76.65311111	-7.484344444	316	SELVA NORTE BAJA
100019	5	4	CAMPANILLA	SAN MARTIN	MARISCAL CACERES	CAMPANILLA	-76.65311111	-7.484344444	316	SELVA NORTE BAJA
100019	6	3	CAMPANILLA	SAN MARTIN	MARISCAL CACERES	CAMPANILLA	-76.65311111	-7.484344444	316	SELVA NORTE BAJA
100019	7	2	CAMPANILLA	SAN MARTIN	MARISCAL CACERES	CAMPANILLA	-76.65311111	-7.484344444	316	SELVA NORTE BAJA
100019	8	2	CAMPANILLA	SAN MARTIN	MARISCAL CACERES	CAMPANILLA	-76.65311111	-7.484344444	316	SELVA NORTE BAJA
100019	9	3	CAMPANILLA	SAN MARTIN	MARISCAL CACERES	CAMPANILLA	-76.65311111	-7.484344444	316	SELVA NORTE BAJA
100019	10	4	CAMPANILLA	SAN MARTIN	MARISCAL CACERES	CAMPANILLA	-76.65311111	-7.484344444	316	SELVA NORTE BAJA
100019	11	4	CAMPANILLA	SAN MARTIN	MARISCAL CACERES	CAMPANILLA	-76.65311111	-7.484344444	316	SELVA NORTE BAJA
100019	12	4	CAMPANILLA	SAN MARTIN	MARISCAL CACERES	CAMPANILLA	-76.65311111	-7.484344444	316	SELVA NORTE BAJA
100020	1	3	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	2	4	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	3	4	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	4	2	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	5	1	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	6	1	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	7	1	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	8	1	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	9	1	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	10	3	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	11	3	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100020	12	4	CANCHAN	HUANUCO	HUANUCO	HUANUCO	-76.1834	-9.9515	1986	SIERRA CENTRAL ORIENTAL
100021	1	7	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	2	9	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	3	7	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	4	3	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	5	1	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	6	1	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	7	1	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	8	2	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	9	2	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	10	3	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	11	3	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100021	12	5	CAPACHICA	PUNO	PUNO	CAPACHICA	-69.84222222	-15.61344444	3822	SIERRA SUR ORIENTAL
100024	1	9	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	2	10	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	3	7	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	4	3	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	5	1	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	6	1	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
100024	7	1	CHALLABAMBA	CUSCO	PAUCARTAMBO	CHALLABAMBA	-71.64938	-13.21754	2803	SIERRA SUR ORIENTAL
