T0S;R0S;T30S;R30S;T50S;R50S;T100S;R100S;T160S;R160S;T0H;R0H;T30H;R30H;T50H;R50H;T100H;R100H;T160H;R160H
56.4;709;59;727;57;739;59;696;54;191;57;176;55.9;165;56;170;56;168;56;193
55.1;721;56;760;55;755;56.5;720;52.8;201;56;181;53.5;185;54;178;55;186;54;203
53.3;741;54.7;774;52;791;54.9;738;51.8;211;55;183;52.5;192;51.7;198;54;208;52.9;210
51;765;52;805;50.1;814;52.5;762;50.8;217;54;192;50.1;207;50.4;205;53;224;51.9;214
50;775;50.1;827;47.2;840;50.5;783;49;226;53;201;49;216;48.8;221;52;239;51;221
48;791;47;855;45.9;851;48.2;799;47.8;237;52;208;47.1;228;47.2;228;51;248;50;229
46.8;800;45;872;43.5;862;46.3;813;46.8;240;51;212;46.2;235;46;239;50;258;48.5;239
45.6;807;42.9;892;42;881;44.1;829;46;245;50;218;44.5;247;45;247;49;266;47;246
44;822;40;918;41;892;42.4;845;45;254;49;223;43;260;42.8;265;48;269;46;254
42.4;834;38.3;943;39;912;40.2;866;44;262;48;233;41;276;41.4;275;47;272;45;265
41;845;36.4;970;37.8;929;39;881;43;268;46.5;248;39;292;39;295;46;278;44;274
40;856;34.5;999;36;954;37.9;896;41.8;278;45;260;37.2;312;37.9;309;45.8;279;43;281
38.9;872;32.9;1023;34.4;977;36;923;40.5;291;44.3;267;36.3;323;36.1;327;43;287;42;288
38;883;31.2;1049;33.1;996;34;952;39.5;318;43.5;274;34.7;345;35;344;42;295;41;296
36.5;904;29.8;1072;32.1;1012;33;968;38.3;322;42.5;278;33.4;359;33;362;41;302;39.8;316
35.9;912;29;1086;31.1;1027;32.2;978;37.8;327;41;296;31.9;379;31.9;380;40;311;39;326
34.6;930;28;1103;29.5;1051;31.5;988;37;330;39.5;306;30.5;397;30.9;397;38.8;317;38;331
34;939;27.2;1116;28.3;1071;30;1010;36;338;38.5;318;29.4;413;29;419;37.5;325;37;337
33;953;26;1138;26.4;1101;29.4;1020;35.1;343;37.8;324;28;432;28.1;431;35.8;333;35.5;352
32;969;25;1155;25;1125;28.4;1035;34;353;36.5;337;26.9;451;26.9;453;34.5;342;35;362
31.3;979;23.9;1176;24;1143;26.8;1060;33.1;364;36;348;25.6;470;25.6;472;33.5;360;34;387
30.1;998;23;1192;23.1;1159;25.8;1075;31.9;381;35;361;24.1;495;24.5;496;32.5;365;33;384
29.1;1013;22;1211;22;1177;24.3;1101;31;394;34;374;23.9;503;23.9;504;31.5;377;31.8;405
28;1032;21;1229;21.2;1192;23.4;1117;30.1;402;33.2;381;23;522;23;524;30.5;387;30.5;421
26.3;1058;19.3;1262;20.1;1212;22.2;1137;29;420;32.8;385;22;541;22;541;29.8;398;29.8;430
25;1081;18.4;1280;19.5;1223;21.7;1146;28;441;32;299;20.6;568;20.7;566;28.8;414;28.2;461
23.8;1101;17.1;1306;18.9;1231;21.1;1156;27;455;31;410;20;582;20;581;27.5;425;27;481
22;1131;16.1;1327;18;1251;19.2;1190;26.3;464;30;432;19;604;18.9;603;27;438;26;488
21;1149;15;1350;17.3;1267;18.4;1205;25.5;476;29;442;18;623;18;624;25.8;467;25;515
20.4;1160;14;1382;16.8;1282;17.3;1229;24.3;501;28;451;17.2;643;17.1;641;24;493;23.8;540
19.5;1176;13.1;1403;15.9;1305;16.3;1253;23.5;516;27;466;15.9;680;16;680;23;514;22;576
18;1213;12;1427;15;1327;15.6;1271;22.5;538;26.5;476;15;698;15;696;22.1;526;21.3;588
17;1239;11.1;1444;13.9;1347;14.1;1293;21.5;555;25.2;501;13.8;744;13.6;739;21;559;20.3;603
15.9;1265;10.6;1455;12.9;1365;13.1;1320;20;604;24.5;517;13;710;13;761;20;587;19.2;630
15;1282;10;1471;12.2;1380;11.8;1350;19;632;23.2;538;12;792;12;787;19;608;17.8;668
14;1311;8.5;1526;11.8;1390;10;1410;18;646;22;559;10.5;834;11;834;18;623;17;690
13;1330;8;1546;11.1;1403;9.1;1434;17;668;21;576;9.2;874;9.3;866;17;646;16;719
11.9;1357;6.9;1613;10;1453;8.8;1452;16.2;686;19.8;611;8;935;7.9;939;16.2;669;15;752
11.3;1384;6.1;1634;9.3;1485;8;1480;16;696;19;624;7;962;6.9;963;15.2;706;14;775
10;1421;5.9;1637;8.1;1520;7;1504;15;726;17.8;678;6.3;981;6.3;987;13.8;745;12.8;815
9;1454;;;;;;;14.1;748;16.5;694;5.1;1038;5.1;1023;12.9;768;10.8;877
