V_COD_ESTA,V_ANO,V_MES,V_DIA,N_VI101,N_VI102,N_VI103,V_VT101,N_VT102,V_VT103,N_VT104,V_VT105,N_VT106,V_NB104,N_NB105,N_NB106,V_NB107,N_NB108,V_NB109,N_NB110,V_NB111,N_NB112,N_NB113,V_NB114,N_NB115,V_NB116,N_NB117,V_NB118,N_NB119,N_NB120,V_NB121,N_NB122,V_NB123,N_NB124,N_TM102,N_TM103,N_TM104,N_TM105,N_TM106,N_TM107,N_TM108,N_TM109,N_PT101,N_PT102,N_PT103,N_EV103,N_EV104,N_EV109
374,2012,12,1,45,42,1,E,2,W,7,W,9,,,,AS,5,CI,3,CU,1,1400,AS,2,CI,5,SC,8,800,,,,,18.4,4.8,8.4,18,11.9,7,11.6,9.5,0,0,0,0.3,1.8,2.1
374,2012,12,2,38,36,1,E,2,E,4,W,4,CU,8,1200,,,,,CU,7,1300,AC,1,,,ST,8,300,,,,,17.4,7.2,8.9,16,10.1,8.2,10.8,9.2,4.3,0,4.2,0.3,1.4,1.6
374,2012,12,3,10,35,1,W,2,W,4,W,7,ST,8,400,,,,,CU,8,1200,,,,,ST,8,200,,,,,16.8,8.7,9,15.6,10,8.4,9.8,8.2,0.1,0.1,0.1,0.2,1.2,1.6
374,2012,12,4,40,40,1,E,1,W,7,W,9,CU,7,1300,AC,1,,,CU,8,1300,,,,,ST,8,100,,,,,16,8.9,9.6,15.2,10.8,8.2,8.8,7.6,0,0,0,0.4,2.2,3.2
374,2012,12,5,40,42,2,W,2,W,4,W,7,CU,2,1300,AS,6,,,CU,7,1300,AC,1,,,,,,,,,,16.6,7.8,8,15.6,9.8,5.2,8.8,5.6,0,0,0,1,2.3,4.6
374,2012,12,6,50,45,2,E,2,W,4,W,2,,,,,,,,,,,,,CI,2,CU,4,1200,AC,2,,,18.7,3.2,6.4,17.6,12.2,3.9,9.2,7.6,0,0,0,2.3,1.5,2.7
374,2012,12,7,38,40,4,W,2,W,2,W,4.2,CU,2,1400,,,CI,4,CU,4,1300,AC,1,CI,1,CU,5,1200,AC,3,,,19.8,3.8,6,17.6,13.2,5,10,8.2,0,0,0,1.2,2.5,3.1
374,2012,12,8,38,41,1,E,2,W,4,E,7,CU,8,1300,,,,,CU,3,1400,AC,2,,,ST,8,200,,,,,19.9,7,10,17.4,11.2,7.2,11.6,9.8,13.8,0,13.4,0.6,1.7,2.2
374,2012,12,9,20,40,1,W,2,W,4,W,7,CU,8,1300,,,,,CU,2,1400,AC,1,CI,1,SC,8,1000,,,,,20,8.7,10.4,18.4,14.6,8.8,11.6,10.6,5.5,0.4,0,0.5,2.2,2.4
374,2012,12,10,20,34,4,E,2,W,4,W,7,ST,8,600,,,,,CU,7,1300,AS,1,,,CU,6,1200,AC,2,,,18.4,9.5,9.6,17.6,12.8,8.7,12.3,10.9,0.7,5.5,0.7,0.2,1.2,1.7
374,2012,12,11,40,30,1,E,2,W,7,W,7,CU,8,1200,,,,,CU,8,1200,,,,,SC,8,700,,,,,17.6,9.3,10.4,15.5,11,8.4,11.8,10,0.1,0,0.1,0.5,1.2,1.6
374,2012,12,12,40,42,4,E,2,W,4,W,9,CU,1,1400,AC,1,CS,6,CU,2,1400,AC,2,CI,1,CU,1,1300,AC,1,CI,2,19.5,7.1,8.2,19.4,11.6,7.2,14,9,0,0,0,0.4,2.2,3
374,2012,12,13,42,40,10,W,4,W,4,W,7,,,,AS,4,CI,4,CU,7,1300,AC,1,,,CU,1,1300,AC,3,CI,3,16.7,8.2,9,15.3,10.2,6.6,9.9,7.2,0,0,0,0.8,2.2,2.5
374,2012,12,14,42,45,20,E,1,W,7,NW,9,CU,1,1400,,,CI,2,CU,2,1500,AC,1,,,CU,1,1400,AC,1,,,18.6,3.5,4.9,18.3,11.9,4.9,10.5,8.1,0,0,0,0.3,2.4,2.7
374,2012,12,15,45,42,15,W,1,W,4,NW,9,CU,1,1400,AC,2,CI,5,,,,AS,4,CS,4,,,,AS,3,CI,4,19.3,3.1,4.8,17.8,12.6,4.6,10.2,6.4,0,0,0,0.3,3.2,3.8
374,2012,12,16,40,46,20,E,2,E,4,W,4,CU,2,1400,AC,2,CI,4,CU,1,1500,,,CI,7,,,,AC,1,CI,1,19.8,2.2,3.4,17.8,12.5,2.2,7.5,6.5,0,0,0,0.6,3.6,4.2
374,2012,12,17,45,44,4,E,1,W,4,W,9,,,,,,CI,3,CU,1,1500,,,CS,7,,,,AS,4,CI,4,19.5,2.1,3.8,18.3,12.7,3.6,7.7,8.8,0,0,0,0.6,2.8,4.1
374,2012,12,18,42,40,10,W,2,W,4,W,9,CU,8,1300,,,,,CU,6,1400,AC,2,,,CU,5,1300,AC,2,,,18.4,9.6,10,18.4,11.5,5.6,8.1,8,0,0,0,1.3,3.2,3.9
374,2012,12,19,40,38,1,W,2,W,4,W,4,CU,7,1200,,,,,CU,8,1300,,,,,CU,8,1200,,,,,17.8,9.8,10.6,17.3,10.4,8.1,11,8.2,1.2,0,1.2,0.7,1.6,2.3
374,2012,12,20,41,40,8,E,2,W,4,W,4,CU,8,1300,,,,,CU,5,1400,AC,3,,,CU,8,1200,,,,,19.4,9.2,9.8,18.7,14,7.2,11.8,9.4,0,0,0,0.7,2.6,3.1
374,2012,12,21,45,42,6,W,2,W,4,E,4,,,,AC,1,,,CU,4,1400,AC,3,,,CU,3,1200,AS,5,,,20.6,5.1,6.8,20.6,11.6,6.4,11.8,10,2,0,1.5,0.5,2,2.5
374,2012,12,22,30,35,1,W,1,W,4,E,2,SC,8,1000,,,,,CU,7,1200,AC,1,,,ST,6,800,AC,2,,,17.4,7.8,8.8,15.7,10.7,7.3,11.5,9.6,8.3,0.5,8.3,0.5,0.8,1.1
