ano;mes ;lat;lon;maxh20
1998;12;-13.48999977;-69.77999878;2
1998;12;-13.21000004;-69.05000305;2
1998;12;-13.34000015;-69.58999634;2.25
1998;12;-13.25;-69.27999878;2.25
1998;11;-13.30000019;-70.01999664;2.5
1998;11;-13.35000038;-69.11000061;2.5
1998;11;-13.31000042;-68.91000366;2.5
1998;11;-13.23999977;-69.12999725;2.5
1998;12;-13.51000023;-69.5;2.5
1998;12;-13.28999996;-69.08999634;2.5
1998;12;-13.57999992;-69.88999939;2.5
1998;12;-13.75;-69.43000031;2.75
1998;12;-13.35999966;-69.16000366;2.75
1998;11;-13.18999958;-69.26000214;3
1998;12;-13.56999969;-69.81999969;3
1998;12;-13.86999989;-68.98000336;3
1998;12;-13.26000023;-69.33999634;3
1998;11;-13.88000011;-69.01000214;3.25
1998;12;-13.69999981;-69.77999878;3.25
1998;12;-13.82999992;-69.69000244;3.25
1998;12;-13.34000015;-69.83000183;3.25
1998;12;-13.80000019;-69.58000183;3.25
1998;12;-13.64000034;-69.41000366;3.25
1998;12;-13.68999958;-69.33000183;3.25
1998;12;-14.07999992;-69.06999969;3.25
1998;12;-13.47000027;-69.66000366;3.5
1998;12;-13.56999969;-69.58999634;3.5
1998;12;-13.51000023;-69.36000061;3.5
1998;12;-13.51000023;-70.22000122;3.5
1998;11;-13.60999966;-69.58000183;3.75
1998;12;-14.27000046;-69.05000305;3.75
1998;11;-13.52000046;-69.16999817;4
1998;12;-13.80000019;-69.47000122;4
1998;12;-14.43000031;-69.11000061;4
1998;12;-13.47999954;-70.05999756;4
1998;11;-13.72999954;-70.01000214;4.25
1998;11;-13.19999981;-68.88999939;4.25
1998;11;-13.52000046;-70.04000092;4.5
1998;12;-13.72999954;-69.88999939;4.5
1998;12;-13.47000027;-69.69000244;4.5
1998;12;-13.53999996;-69.26999664;4.5
1998;11;-14.09000015;-69.55000305;4.75
1998;12;-14.01000023;-69.65000153;4.75
1998;12;-14.32999992;-69.22000122;4.75
1998;12;-13.71000004;-69.29000092;4.75
1998;12;-13.40999985;-68.91999817;4.75
1998;11;-13.56000042;-70.48000336;5
1998;11;-13.64999962;-70.09999847;5
1998;12;-13.72999954;-70.15000153;5
1998;12;-13.40999985;-69.36000061;5
1998;12;-13.72999954;-69.04000092;5
1998;11;-14.40999985;-69.05999756;5.25
1998;11;-13.18999958;-70.22000122;5.25
1998;12;-14.43000031;-69.19000244;5.25
1998;12;-13.02999973;-68.91000366;5.25
1998;11;-13.64000034;-70.30000305;5.5
1998;11;-16.98999977;-69.5;5.5
1998;11;-14.39999962;-70.91999817;5.75
1998;11;-15.38000011;-69.63999939;5.75
1998;11;-16.13999939;-69.65000153;5.75
1998;11;-13.76000023;-70.37999725;5.75
1998;11;-15.26000023;-69.33999634;5.75
1998;11;-16.21999931;-69.88999939;6
1998;12;-16.60000038;-69.80999756;6
1998;12;-14.26000023;-69.76999664;6
1998;11;-14.40999985;-69.66000366;6.25
1998;11;-16.79999924;-69.41999817;6.25
1998;11;-15.06999969;-69.5;6.25
1998;11;-14.64999962;-69.90000153;6.25
1998;12;-14.14999962;-69.83000183;6.25
1998;12;-15.63000011;-70.20999908;6.25
1998;12;-15.77000046;-70.83000183;6.25
1998;12;-13.82999992;-70.73999786;6.25
1998;12;-13.68000031;-70.56999969;6.25
1998;11;-16.86000061;-69.90000153;6.5
1998;11;-15.39000034;-70.70999908;6.5
1998;11;-13.63000011;-70.56999969;6.5
1998;11;-14.80000019;-70.62000275;6.5
1998;11;-14.28999996;-70.76000214;6.5
1998;11;-15.27000046;-69.25;6.5
1998;12;-13.86999989;-70.45999908;6.5
1998;11;-16.29999924;-69.62000275;6.75
1998;11;-14.06000042;-69.80000305;6.75
1998;11;-14.47999954;-70.01999664;6.75
