ano;mes;LAT;LON;maxh40
1998;12;-13.40999985;-69.36000061;5
1998;12;-13.31999969;-69.93000031;8.25
1998;11;-13.52000046;-70.41000366;9.75
1998;12;-15.21000004;-69.30000305;10
1998;11;-16.32999992;-68.88999939;11.75
1998;11;-13.75;-69.40000153;12.25
1998;12;-14.39999962;-70.41000366;13.5
1998;11;-13.46000004;-70.31999969;14
1998;11;-15.46000004;-70.26999664;15.75
1999;12;-13.43999958;-70.11000061;5.5
1999;12;-13.52999973;-70.33999634;6.5
1999;12;-13.84000015;-69.68000031;6.5
1999;12;-13.14000034;-69.05000305;6.5
1999;11;-13.72000027;-70.19000244;8.25
1999;12;-15.23999977;-70.93000031;12.5
1999;11;-13.65999985;-69.68000031;12.75
1999;12;-14.43999958;-69.83000183;13.25
2000;3;-14.09000015;-68.91999817;4.5
2000;3;-13.35000038;-69.22000122;5
2000;12;-13.35000038;-69.27999878;5.25
2000;12;-13.21000004;-70.08000183;6
2000;3;-13.23999977;-69.05999756;6.5
2000;3;-13.76000023;-68.98000336;6.75
2000;1;-13.57999992;-69.94999695;7
2000;3;-14.39000034;-69.12999725;7
2000;2;-14.35999966;-69.16999817;8
2000;1;-13.28999996;-69.5;8.25
2000;2;-13.17000008;-69.22000122;8.5
2000;3;-13.93999958;-69.51000214;8.5
2000;2;-13.68000031;-69.65000153;9
2000;3;-13.51000023;-69.87999725;9
2000;12;-14.42000008;-69.98000336;9
2000;1;-13.38000011;-69.73999786;9.25
2000;11;-13.94999981;-69.44000244;9.25
2000;2;-14.02999973;-69.51000214;9.5
2000;4;-16.12999916;-69.88999939;9.5
2000;11;-15.77000046;-70.18000031;9.5
2000;12;-13.51000023;-69.22000122;9.75
2000;1;-13.68000031;-69.06999969;10
2000;2;-15.81999969;-70.15000153;10.25
2000;11;-13.48999977;-69.87000275;10.25
2000;12;-14.18000031;-70.55000305;10.25
2000;12;-16.55999947;-69.37999725;10.5
2000;3;-17.07999992;-69.80000305;11
2000;3;-14.52999973;-70.45999908;11
2000;2;-14.72000027;-69.33999634;11.25
2000;2;-15.72999954;-70.36000061;11.25
2000;2;-14.06999969;-70.41000366;11.5
2000;12;-14.76000023;-70.45999908;11.5
2000;12;-16.40999985;-69.18000031;11.5
2000;1;-17.15999985;-69.77999878;11.75
2000;3;-13.36999989;-70.44000244;11.75
2000;3;-16.85000038;-69.26000214;11.75
2000;12;-14.98999977;-70.79000092;11.75
2000;1;-14.42000008;-70.56999969;12
2000;2;-14.40999985;-70.72000122;12
2000;4;-15.13000011;-69.26000214;12
2000;12;-15.14999962;-70.44000244;12
2000;12;-13.56999969;-69.72000122;12
2000;2;-15.22999954;-70.23000336;12.25
2000;12;-16.15999985;-69.98999786;12.5
2000;3;-15.73999977;-70.76999664;13.25
2000;1;-16.62999916;-69.56999969;13.5
2000;2;-15.11999989;-70.55999756;13.5
2000;12;-13.31000042;-70.05999756;13.75
2000;2;-16.23999977;-69.41999817;14
2000;2;-14.75;-70.48999786;14.5
2000;3;-14.86999989;-70.04000092;14.5
2000;3;-13.31999969;-69.87999725;15.25
2000;12;-13.40999985;-70.06999969;16.25
2001;3;-13.27000046;-69.15000153;4.25
2001;3;-13.59000015;-69.43000031;4.75
2001;3;-13.17000008;-68.98000336;5.25
2001;1;-13.30000019;-69.48000336;5.5
2001;2;-13.52000046;-69.73000336;5.5
2001;2;-13.63000011;-69.26999664;5.75
2001;2;-13.61999989;-70.25;6
2001;4;-13.32999992;-70.33000183;6
2001;4;-13.67000008;-70.05000305;6
2001;3;-13.39000034;-69.44000244;6.25
2001;1;-13.14999962;-69.13999939;6.5
2001;4;-13.90999985;-69.70999908;6.75
2001;12;-14.17000008;-69.52999878;6.75
2001;1;-13.30000019;-69.02999878;7.25
2001;2;-13.76000023;-69.80000305;7.5
2001;3;-14.31999969;-69.19000244;7.5
2001;1;-13.28999996;-69.18000031;7.75
2001;2;-13.43000031;-69.73000336;8
2001;1;-13.43999958;-68.97000122;8.5
2001;12;-14.31999969;-69.26000214;8.5
2001;12;-13.18999958;-70.26999664;9
2001;4;-13.31000042;-69.79000092;9.5
2001;3;-14.84000015;-70.66999817;9.75
2001;12;-16.29000092;-69.94999695;9.75
2001;12;-14.73999977;-70.51000214;10
2001;4;-16.44000053;-69.05999756;10.75
2001;3;-16.32999992;-69.69000244;11.25
2001;1;-16.65999985;-69;11.5
2001;2;-13.5;-70.47000122;11.5
2001;3;-16.25;-70.23999786;12.5
2001;3;-14.42000008;-70.41000366;12.5
2001;4;-16.31999969;-69.81999969;12.5
