O CM;;30 CM;;50 CM;;100 CM;;160 CM;;O CM;;30 CM;;50 CM;;100 CM;;160 CM;
57.8;814;58.3;810;57.7;838;59.5;793;54;191;57;176;56.5;151;52;364;56;168;56;193
55.9;818;56.3;835;55.6;848;58.5;802;52.8;201;56;181;55;159;52.5;370;55;186;54;203
54.6;819;56;838;49.7;869;56.8;806;51.8;211;55;183;54;166;51;381;54;208;52.9;210
54.2;825;54.2;841;49.1;877;55.2;817;50.8;217;54;192;53;170;49.8;403;53;224;51.9;214
53.4;829;53;846;47.8;888;54;820;49;226;53;201;52.5;174;48.6;422;52;239;51;221
52.8;840;50.4;851;46.9;893;53.4;827;47.8;237;52;208;51;183;46.3;449;51;248;50;229
52.2;840;49;860;46;900;52;832;46.8;240;51;212;49.5;191;45.8;463;50;258;48.5;239
51.2;848;48.3;868;44.5;911;50.5;838;46;245;50;218;48.5;199;45.4;478;49;266;47;246
50.4;860;47;880;44.1;917;49.7;843;45;254;49;223;47.8;206;45;501;48;269;46;254
49.9;864;45.8;891;43.4;921;48.5;852;44;262;48;233;46.4;212;44.4;516;47;272;45;265
49.1;873;45.4;897;43;928;47.2;862;43;268;46.5;248;44.5;226;43.1;530;46;278;44;274
48.7;882;44.7;902;42.1;931;46.4;870;41.8;278;45;260;43.5;238;42.2;540;45.8;279;43;281
47.6;890;43.9;908;40.7;948;45.3;875;40.5;291;44.3;267;41.8;246;41.5;552;43;287;42;288
47;892;43;915;39.6;957;42.9;893;39.5;318;43.5;274;40.5;260;40.5;563;42;295;41;296
46.5;898;42.3;922;38;973;42.1;900;38.3;322;42.5;278;39.2;273;39.5;578;41;302;39.8;316
45.9;905;41.3;932;37;982;41;909;37.8;327;41;296;38.3;284;38.3;579;40;311;39;326
44.5;916;40.8;937;36;997;39.9;921;37;330;39.5;306;37.3;296;37.8;590;38.8;317;38;331
43.8;923;39;954;35;1006;39;930;36;338;38.5;318;36.5;306;36.8;615;37.5;325;37;337
42.5;934;37.9;967;34.3;1017;38;936;35.1;343;37.8;324;35.2;317;35.3;636;35.8;333;35.5;352
40.6;937;36.5;988;33;1031;37;944;34;353;36.5;337;34;330;34.5;644;34.5;342;35;362
39.1;950;34.5;1009;32;1044;36.2;955;33.1;364;36;348;33;341;33.5;657;33.5;360;34;387
38.4;975;33;1030;30.8;1066;35.2;969;31.9;381;35;361;32.2;348;32;670;32.5;365;33;384
37.5;986;31.8;1042;29.2;1088;34.9;976;31;394;34;374;31.5;361;31.5;675;31.5;377;31.8;405
36.5;1000;30.8;1054;28.5;1118;33.5;998;30.1;402;33.2;381;30.2;381;30.2;692;30.5;387;30.5;421
35.5;1010;29.8;1066;26.1;1136;32.5;1032;29;420;32.8;385;29;395;29;704;29.8;398;29.8;430
34.4;1021;29;1080;25;1158;32;1101;28;441;32;299;28.2;404;28.5;715;28.8;414;28.2;461
33.5;1035;28.4;1108;22.9;1195;31;1127;27;455;31;410;27.4;415;27.5;724;27.5;425;27;481
32.7;1049;26.6;1121;22.1;1225;30.5;1140;26.3;464;30;432;26.8;433;27;740;27;438;26;488
31.8;1059;25.8;1140;20.8;1263;29.8;1162;25.5;476;29;442;25.7;450;26;764;25.8;467;25;515
30.2;1082;24.3;1157;19.3;1300;28.8;1172;24.3;501;28;451;24.3;474;24.9;779;24;493;23.8;540
28.7;1099;23.4;1171;17.8;1337;27.9;1189;23.5;516;27;466;23;499;24;791;23;514;22;576
27.8;1115;22.7;1197;17;1348;27;1199;22.5;538;26.5;476;22.1;519;22.9;814;22.1;526;21.3;588
26.3;1139;21.9;1236;16;1368;26;1219;21.5;555;25.2;501;21.5;537;21.9;841;21;559;20.3;603
24.8;1164;21;1255;15;1414;25.5;1230;20;604;24.5;517;20.5;555;20.8;868;20;587;19.2;630
23.7;1184;20;1277;14;1429;24.5;1247;19;632;23.2;538;19.5;571;19.9;879;19;608;17.8;668
22.6;1199;19;1298;13;1473;23.3;1263;18;646;22;559;18.8;592;19;902;18;623;17;690
22;1217;17.8;1319;12;1504;22.9;1271;17;668;21;576;18;613;18;921;17;646;16;719
20.5;1250;16.5;1361;11.1;1517;22;1280;16.2;686;19.8;611;17;634;17;950;16.2;669;15;752
18.5;1280;15.5;1402;10;1551;21;1307;16;696;19;624;16.1;665;16;988;15.2;706;14;775
17;1324;14.2;1438;9.1;1602;19.9;1330;15;726;17.8;678;14.5;707;15;998;13.8;745;12.8;815
15.5;1357;13.4;1462;8;1634;18.8;1359;14.1;748;16.5;694;13.8;726;13.8;1045;12.9;768;10.8;877
14.5;1394;12.7;1487;7;1650;18;1372;13.5;768;15.5;718;12.8;753;12.5;1079;11.9;810;10;904
13.5;1407;11.8;1524;6;1674;17.1;1391;12.5;798;14.5;753;11.8;794;11.5;1113;10.5;842;9.2;942
11.9;1439;11;1546;5.5;1678;16.4;1417;11.5;831;13.4;790;10.8;837;10.5;1143;10;878;8.6;966
11;1467;10.5;1563;;;15.5;1432;11;848;12.6;804;10;853;9.5;1178;9.5;916;8;972
10;1478;9.8;1579;;;14.5;1458;10.3;884;11.8;839;9.3;880;9;1194;;;;
9;1489;9;1602;;;13.6;1486;9.2;921;11;853;9;882;8.5;1230;;;;
;;;;;;12.5;1571;;;10;909;;;8;1250;;;;
;;;;;;11;1557;;;9;932;;;;;;;;
;;;;;;10.2;1583;;;8;980;;;;;;;;
;;;;;;9.3;1613;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
