;Bulbo Seco (Ts);Bulbo Húmedo (Th);Tiempo de Saturación;Hora;Bulbo Seco (Ts);Bulbo Húmedo (Th);Tiempo de Saturación;Hora
0;1253;726;02:39;10:32;1471;673;03:57;09:50
30;1298;706;;;1490;710;;
50;1316;708;;;1517;710;;
100;1285;744;;;1489;730;;
160;640;796;;;823;767;;
0;1257;718;02:23;10:36;1730;671;02:01;09:55
30;1277;650;;;1328;692;;
50;1306;699;;;1349;695;;
100;1278;721;;;1330;730;;
160;643;751;;;668;764;;
0;1268;730;02:48;10:42;1311;656;02:23;10:01
30;1286;688;;;1303;688;;
50;1317;703;;;1322;686;;
100;1288;728;;;1301;721;;
160;647;759;;;656;755;;
0;1246;722;02:46;10:50;1303;642;02:06;10:05
30;1287;710;;;1309;680;;
50;1317;713;;;1310;692;;
100;1300;730;;;1288;720;;
160;655;761;;;640;743;;
0;1277;738;03:10;10:55;1278;648;02:08;10:10
30;1295;739;;;1269;682;;
50;1328;728;;;1284;684;;
100;1299;774;;;1259;715;;
160;653;771;;;637;748;;
0;1265;756;02:55;11:00;1246;645;02:18;10:14
30;1285;752;;;1225;673;;
50;1307;739;;;1244;677;;
100;1267;768;;;1217;709;;
160;645;794;;;608;738;;
0;1282;753;02:21;11:03;1229;660;01:57;10:18
30;1323;722;;;1246;687;;
50;1329;722;;;1265;683;;
100;1308;763;;;1260;719;;
160;660;808;;;631;755;;
0;1256;765;03:19;11:08;1219;656;02:21;10:22
30;1282;751;;;1236;685;;
50;1310;767;;;1265;683;;
100;1296;796;;;1237;716;;
160;648;767;;;614;746;;
;;;;;;;;
