JULIO DE 1966(+kt);8-Jul;9-Jul;11-Jul;12-Jul;17-Jul;24-Jul;;JULIO DE 1966(-kt);3-Jul;6-Jul;14-Jul;26-Jul;27-Jul;30-Jul;;
07:00;0;0;0;0;0;0;;07:00;0;0;0;0;0;0;;
07:10;0.5;0;0.8;0;0.3;0.2;;07:10;0;0;1;1;0;0;;
07:20;0.1;0.7;0.9;0.5;0.5;0.5;;07:20;2;1;1;0;1;1;;
07:30;0.9;0.8;1;0.2;0.7;0.4;;07:30;2;1;1;2;1;1;;
07:40;0.6;0.5;1;0.4;1;0.1;;07:40;3;2;1;1;1;1;;
07:50;0.1;0.6;0.9;0.4;0.8;0.5;;07:50;1;1;1;1;1;1;;
08:00;0.1;0.6;0.9;0.8;0.8;0.7;;08:00;1;1;1;2;1;1;;
08:10;0.1;0.5;1;0.8;1;0.3;;08:10;2;1;1;1;1;1;;
08:20;0.5;1;1;0.5;0.5;0.5;;08:20;1;2;1;1;1;1;;
08:30;0.5;1;0.5;0.9;0.5;0.1;;08:30;2;1;1;1;1;1;;
08:40;1;0.7;1;0.5;0.8;0.4;;08:40;2;1;1;2;1;1;;
08:50;0.8;1.3;1.1;0.7;0.7;0.8;;08:50;1;1;1;2;1;1;;
09:00;0.1;0.8;1.3;0.5;0.9;0.8;;09:00;2;1;2;1;1;1;;
09:10;0.2;0.8;1;0.7;1;0.6;;09:10;3;2;1;2;1;1;;
09:20;0.2;0.8;1;0.7;0.5;1;;09:20;2;1;1;1;1;1;;
09:30;0.1;1;0.9;2.5;2;0.3;;09:30;2;1;1;1;1;1;;
09:40;0.4;0.7;0.5;0.5;1;1;;09:40;1;1;1;1;1;2;;
09:50;0.3;0.7;0.8;0.5;0.3;0.5;;09:50;1;2;1;1;2;2;;
10:00;0.1;0.8;1;0.6;1;3;;10:00;2;1;1;1;2;2;;
10:10;1.8;0.9;0.9;0.4;2;3;;10:10;1;2;2;1;1;2;;
10:20;1;2.7;1;0.8;2.9;2.5;;10:20;1;1;2;1;2;1;;
10:30;0.9;2;2;1;3;3;;10:30;1;1;2;2;1;1;;
10:40;3.1;1;1;2;2.5;2;;10:40;2;1;1;1;1;1;;
10:50;2.5;4.7;0.9;1;1;4.7;;10:50;3;2;1;1;1;1;;
11:00;0.8;7;0.9;1;2;1;;11:00;2;1;1;2;2;2;;
11:10;1;0.9;1;0.8;4;9;;11:10;3;1;3;2;2;2;;
11:20;1.1;3;0.5;3;5;5;;11:20;4;1;2;1;1;2;;
11:30;0.1;1;0.5;2.7;6;1;;11:30;2;1;2;2;2;2;;
11:40;1;3;2.8;4;7;10;;11:40;2;3;2;3;2;1;;
11:50;3;7;0.5;3;5;5;;11:50;2;2;2;2;2;2;;
12:00;2.8;4.5;3;7;2;5;;12:00;1;2;1;3;3;2;;
12:10;5;2;1;8;5;4.9;;12:10;2;2;2;2;1;3;;
12:20;6;5;7;6.7;5.2;4.7;;12:20;3;3;2;3;2;3;;
12:30;4;1;8;4.9;5;6.8;;12:30;2;2;3;3;1;2;;
12:40;1;4;5;5;5;7;;12:40;2;2;3;3;2;3;;
12:50;5;4.8;1;3;6.8;6;;12:50;2;3;1;5;2;2;;
13:00;9;2;0.9;5;3;7;;13:00;6;1;2;3;3;4;;
13:10;3;4.5;3;5;5;6;;13:10;3;2;3;4;4;3;;
13:20;7;5;2;4.8;5;4;;13:20;5;1;1;3;3;3;;
13:30;6;4;2.7;7;7;6;;13:30;4;4;2;4;3;4;;
13:40;2.9;4;2;7;7;6;;13:40;3;3;3;2;3;3;;
13:50;1.1;5;3;4.9;1;5;;13:50;2;3;2;3;3;6;;
14:00;2.9;2;6;1;4.7;7;;14:00;2;5;2;3;3;3;;
