KT;Z1=1.16;Z2=2.16;Z3=3.06;Z4=4.06
11:57;0;10;16;21
11:57;0;12;15;18
11:58;0;9;16;18
11:59;0;15;15;15
12:02;0;6;9;11
12:04;0;15;15;20
12:05;0;9;10;10
12:06;0;3;12;13
12:08;0;14;18;18
12:09;0;14;23;26
12:09;0;9;17;19
12:10;0;8;14;19
12:10;0;6;16;13
12:14;0;5;15;19
12:15;0;5;14;19
12:16;0;16;19;20
12:17;0;19;20;29
12:18;0;17;21;22
12:19;0;9;11;13
12:20;0;15;22;22
12:20;0;10;14;14
12:22;0;17;18;18
12:23;0;18;20;23
12:24;0;16;19;20
12:27;0;7;19;24
12:32;0;14;18;19
12:33;0;9;11;12
12:33;0;10;15;16
12:40;0;15;21;22
12:41;0;11;18;18
12:42;0;8;14;19
12:43;0;24;24;24
12:44;0;13;17;19
12:46;0;3;11;14
12:47;0;4;11;14
12:49;0;9;13;14
12:51;0;16;22;22
