tiempo;pp
00Z01JAN1981;0.00455756
00Z01FEB1981;0.0110085
00Z01MAR1981;0.00844233
00Z01APR1981;0.007107
00Z01MAY1981;0.00373338
00Z01JUN1981;0.00333895
00Z01JUL1981;0.00160403
00Z01AUG1981;0.0027498
00Z01SEP1981;0.00329344
00Z01OCT1981;0.00536357
00Z01NOV1981;0.00495926
00Z01DEC1981;0.00635034
00Z01JAN1982;0.00551883
00Z01FEB1982;0.00848888
00Z01MAR1982;0.00858187
00Z01APR1982;0.00654198
00Z01MAY1982;0.00406041
00Z01JUN1982;0.0023551
00Z01JUL1982;0.00193567
00Z01AUG1982;0.00217317
00Z01SEP1982;0.00382904
00Z01OCT1982;0.00665255
00Z01NOV1982;0.00644036
00Z01DEC1982;0.00983963
00Z01JAN1983;0.0113913
00Z01FEB1983;0.00934864
00Z01MAR1983;0.0116027
00Z01APR1983;0.0115126
00Z01MAY1983;0.00623099
00Z01JUN1983;0.0026171
00Z01JUL1983;0.00167512
00Z01AUG1983;0.00235383
00Z01SEP1983;0.00345043
00Z01OCT1983;0.00611544
00Z01NOV1983;0.00550251
00Z01DEC1983;0.00692179
00Z01JAN1984;0.00558392
00Z01FEB1984;0.0113255
00Z01MAR1984;0.00876468
00Z01APR1984;0.00805612
00Z01MAY1984;0.00477024
00Z01JUN1984;0.0034524
00Z01JUL1984;0.00255078
00Z01AUG1984;0.00270919
00Z01SEP1984;0.00404187
00Z01OCT1984;0.00456444
00Z01NOV1984;0.00530261
00Z01DEC1984;0.00585117
00Z01JAN1985;0.00496702
00Z01FEB1985;0.00631385
00Z01MAR1985;0.00644265
00Z01APR1985;0.00682228
00Z01MAY1985;0.00560651
00Z01JUN1985;0.00271094
00Z01JUL1985;0.00224956
00Z01AUG1985;0.00295832
00Z01SEP1985;0.00431859
00Z01OCT1985;0.0044856
00Z01NOV1985;0.00535459
00Z01DEC1985;0.00554552
00Z01JAN1986;0.00899124
00Z01FEB1986;0.00915177
00Z01MAR1986;0.007835
00Z01APR1986;0.00839181
00Z01MAY1986;0.00387779
00Z01JUN1986;0.00233297
00Z01JUL1986;0.00242235
00Z01AUG1986;0.0028224
00Z01SEP1986;0.00444325
00Z01OCT1986;0.00621567
00Z01NOV1986;0.00486114
00Z01DEC1986;0.00610098
00Z01JAN1987;0.00926936
00Z01FEB1987;0.00911508
00Z01MAR1987;0.00850713
00Z01APR1987;0.00637519
00Z01MAY1987;0.00413278
00Z01JUN1987;0.0022903
00Z01JUL1987;0.00233434
00Z01AUG1987;0.00268122
00Z01SEP1987;0.003982
00Z01OCT1987;0.00570302
00Z01NOV1987;0.00671228
00Z01DEC1987;0.00535222
00Z01JAN1988;0.00830282
00Z01FEB1988;0.00873694
00Z01MAR1988;0.00589118
00Z01APR1988;0.00721855
00Z01MAY1988;0.00482653
00Z01JUN1988;0.00251489
00Z01JUL1988;0.00213133
00Z01AUG1988;0.00213581
00Z01SEP1988;0.00382918
00Z01OCT1988;0.00531581
00Z01NOV1988;0.00712023
00Z01DEC1988;0.00617527
00Z01JAN1989;0.00851386
00Z01FEB1989;0.0111636
00Z01MAR1989;0.00906149
00Z01APR1989;0.0076462
00Z01MAY1989;0.00380659
00Z01JUN1989;0.00329553
00Z01JUL1989;0.002025
00Z01AUG1989;0.00289772
00Z01SEP1989;0.00446137
00Z01OCT1989;0.00643504
00Z01NOV1989;0.00404698
00Z01DEC1989;0.00229434
00Z01JAN1990;0.00683827
00Z01FEB1990;0.00761524
00Z01MAR1990;0.0064074
00Z01APR1990;0.00704219
00Z01MAY1990;0.00342236
00Z01JUN1990;0.00359484
00Z01JUL1990;0.00233363
00Z01AUG1990;0.00213981
00Z01SEP1990;0.00294424
00Z01OCT1990;0.00561477
00Z01NOV1990;0.00648564
00Z01DEC1990;0.00546803
00Z01JAN1991;0.00571125
00Z01FEB1991;0.00733509
00Z01MAR1991;0.00988748
00Z01APR1991;0.00665036
00Z01MAY1991;0.0044727
00Z01JUN1991;0.00271311
00Z01JUL1991;0.00172477
00Z01AUG1991;0.00197918
00Z01SEP1991;0.00382099
00Z01OCT1991;0.00468403
00Z01NOV1991;0.00517125
00Z01DEC1991;0.00579954
00Z01JAN1992;0.00643743
00Z01FEB1992;0.00750221
00Z01MAR1992;0.00888697
00Z01APR1992;0.00859011
00Z01MAY1992;0.00317975
00Z01JUN1992;0.00252972
00Z01JUL1992;0.00232486
00Z01AUG1992;0.00238765
00Z01SEP1992;0.00400847
00Z01OCT1992;0.00418386
00Z01NOV1992;0.00530652
00Z01DEC1992;0.00536701
00Z01JAN1993;0.00704267
00Z01FEB1993;0.0106745
00Z01MAR1993;0.012454
00Z01APR1993;0.00800683
