,x,y,2000-01-01,2000-02-01,2000-03-01,2000-04-01,2000-05-01,2000-06-01,2000-07-01,2000-08-01,2000-09-01,2000-10-01,2000-11-01,2000-12-01,2001-01-01,2001-02-01,2001-03-01,2001-04-01,2001-05-01,2001-06-01,2001-07-01,2001-08-01,2001-09-01,2001-10-01,2001-11-01,2001-12-01,2002-01-01,2002-02-01,2002-03-01,2002-04-01,2002-05-01,2002-06-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01
1,280.25,-5,202.010238647461,139.046203613281,490.009490966797,378.081420898438,180.114959716797,78.5961456298828,62.5028114318848,126.678466796875,186.018981933594,164.347717285156,142.343887329102,261.323913574219,300.144409179688,246.098754882812,481.691101074219,319.134826660156,391.939636230469,54.9770393371582,80.8605575561523,202.597808837891,197.683578491211,258.160278320312,276.225219726562,310.042175292969,250.633911132812,550.794799804688,503.06201171875,459.779388427734,268.931671142578,108.141258239746,107.450592041016,157.436874389648,208.282104492188,226.375900268555,161.326187133789,249.332641601562,243.507461547852,450.0849609375,623.725952148438,471.462615966797,284.924835205078,137.318130493164,55.3986778259277,158.215713500977,155.554885864258,163.230239868164,75.5420074462891,100.444961547852,162.563995361328,282.01220703125,237.485473632812,718.620788574219,88.1076965332031,55.1975059509277,25.8232707977295,85.0110931396484,154.236526489258,257.657989501953,182.433044433594,269.559661865234,311.008575439453,311.936889648438,458.608245849609,484.433624267578,444.634429931641,106.983619689941,44.9907035827637,125.088623046875,305.655914306641,169.017242431641,124.694526672363,142.40901184082,245.353424072266,287.191284179688,558.445922851562,587.998291015625,122.261344909668,100.379776000977,68.2606353759766,108.599426269531,206.646011352539,188.568267822266,161.808578491211,158.689559936523,180.57763671875,272.197021484375,565.347534179688,345.514709472656,116.12818145752,60.0604705810547,25.7755451202393,202.573425292969,222.033020019531,124.356323242188,198.878173828125,261.83544921875,157.847076416016,324.022430419922,440.286834716797,475.2607421875,242.20735168457,108.692481994629,123.244926452637,199.679306030273,131.263214111328,123.790084838867,205.053756713867,159.997253417969,261.127838134766,398.269653320312,297.662475585938,248.181716918945,121.319381713867,67.6460647583008,77.2005996704102,187.991088867188,144.982391357422,166.555374145508,340.602508544922,109.514663696289,190.324951171875,164.878860473633,203.03010559082,419.503784179688,84.6667327880859,92.6025619506836,35.5104637145996,176.603500366211,282.730712890625,238.715942382812,175.290756225586,183.989974975586
2,280.5,-5,210.745529174805,146.281112670898,468.496398925781,368.310119628906,161.406677246094,73.5643463134766,51.7595138549805,114.897613525391,182.984024047852,161.544876098633,178.18879699707,259.929534912109,304.238861083984,246.871627807617,449.535125732422,304.805267333984,403.572448730469,52.9065818786621,75.1166229248047,195.578277587891,204.668014526367,285.615783691406,314.431304931641,311.652740478516,244.919281005859,524.836486816406,510.706085205078,432.167358398438,270.428619384766,103.471374511719,97.7804489135742,142.191314697266,211.866638183594,218.487930297852,173.43408203125,264.877471923828,226.696746826172,465.445892333984,549.0322265625,439.030670166016,284.443969726562,130.295715332031,49.7728576660156,153.076858520508,154.979064941406,156.847015380859,91.9471740722656,127.652626037598,184.746444702148,283.255279541016,225.092407226562,668.135070800781,81.5615463256836,52.5313415527344,27.0757942199707,80.2523345947266,149.324295043945,277.800262451172,203.806045532227,281.437103271484,310.285949707031,296.453063964844,449.973571777344,454.057769775391,426.772094726562,119.896179199219,40.3448448181152,115.785316467285,289.5986328125,180.816711425781,131.419082641602,164.528610229492,251.958038330078,285.510955810547,499.835418701172,544.636901855469,114.906143188477,90.3593597412109,60.5799446105957,95.8207168579102,207.555908203125,183.732711791992,165.442321777344,171.566040039062,186.274597167969,261.171661376953,581.511413574219,315.188415527344,111.041786193848,57.2682418823242,22.8314647674561,188.229949951172,221.415435791016,141.128143310547,209.269439697266,267.027923583984,164.086608886719,337.000762939453,417.291412353516,474.235107421875,228.428604125977,98.0659484863281,107.538269042969,192.974960327148,134.078765869141,137.983154296875,226.058654785156,184.113296508789,238.554138183594,405.673522949219,303.114227294922,254.091842651367,113.781967163086,65.3567123413086,74.4611129760742,176.605865478516,138.16130065918,172.457809448242,344.019256591797,127.311050415039,198.792953491211,184.146530151367,216.852691650391,406.053955078125,80.095100402832,97.2738342285156,33.1962776184082,168.844757080078,286.292846679688,234.929702758789,191.061935424805,182.650726318359
3,280.75,-5,219.480819702148,153.516021728516,446.983337402344,358.538818359375,142.698379516602,68.5325393676758,41.0162162780762,103.116752624512,179.949066162109,158.742050170898,214.033706665039,258.53515625,308.333343505859,247.644500732422,417.379119873047,290.475708007812,415.205291748047,50.836124420166,69.3726806640625,188.55876159668,211.652435302734,313.071258544922,352.637420654297,313.263305664062,239.204650878906,498.878143310547,518.350158691406,404.555358886719,271.925537109375,98.8014907836914,88.1102981567383,126.945747375488,215.451171875,210.599960327148,185.5419921875,280.422271728516,209.886047363281,480.806793212891,474.338470458984,406.598724365234,283.963073730469,123.273307800293,44.1470336914062,147.938003540039,154.403244018555,150.463806152344,108.352348327637,154.860275268555,206.92887878418,284.498352050781,212.699340820312,617.649291992188,75.0154037475586,49.8651809692383,28.3283176422119,75.4935760498047,144.412063598633,297.942535400391,225.179046630859,293.314544677734,309.563354492188,280.969207763672,441.338897705078,423.681945800781,408.909790039062,132.808746337891,35.6989860534668,106.482002258301,273.541320800781,192.616180419922,138.143630981445,186.648208618164,258.562652587891,283.830657958984,441.224914550781,501.275451660156,107.550933837891,80.3389511108398,52.8992538452148,83.0419998168945,208.465789794922,178.897155761719,169.076065063477,184.442520141602,191.971557617188,250.146270751953,597.675231933594,284.862121582031,105.955383300781,54.4760131835938,19.8873844146729,173.886474609375,220.7978515625,157.899963378906,219.660690307617,272.220367431641,170.326156616211,349.979125976562,394.295959472656,473.20947265625,214.649841308594,87.4394073486328,91.8316116333008,186.270629882812,136.894332885742,152.176223754883,247.063552856445,208.22932434082,215.980438232422,413.077423095703,308.566009521484,260.001983642578,106.24454498291,63.0673561096191,71.7216339111328,165.220642089844,131.340194702148,178.360244750977,347.435974121094,145.107421875,207.260955810547,203.414215087891,230.675262451172,392.604156494141,75.5234680175781,101.945114135742,30.8820877075195,161.085998535156,289.85498046875,231.143478393555,206.833129882812,181.311492919922
4,281,-5,228.216110229492,160.750930786133,425.470245361328,348.767517089844,123.990097045898,63.5007400512695,30.2729167938232,91.3358917236328,176.914108276367,155.939208984375,249.878616333008,257.140777587891,312.427795410156,248.417373657227,385.22314453125,276.146179199219,426.838134765625,48.7656669616699,63.6287422180176,181.53923034668,218.636871337891,340.526733398438,390.843536376953,314.873870849609,233.490005493164,472.919830322266,525.994262695312,376.943328857422,273.422485351562,94.1316070556641,78.4401473999023,111.700187683105,219.035720825195,202.711990356445,197.649887084961,295.967102050781,193.075347900391,496.167724609375,399.644683837891,374.166809082031,283.482208251953,116.25089263916,38.5212135314941,142.799133300781,153.827423095703,144.080581665039,124.757514953613,182.067932128906,229.111328125,285.741424560547,200.306289672852,567.16357421875,68.4692535400391,47.1990165710449,29.5808410644531,70.7348175048828,139.49983215332,318.084808349609,246.552032470703,305.191986083984,308.840759277344,265.485382080078,432.704223632812,393.306091308594,391.047454833984,145.721298217773,31.053129196167,97.1786880493164,257.484039306641,204.415649414062,144.868179321289,208.767807006836,265.167266845703,282.150329589844,382.614410400391,457.9140625,100.195732116699,70.3185348510742,45.2185668945312,70.2632827758789,209.375671386719,174.061599731445,172.709808349609,197.319000244141,197.668518066406,239.120880126953,613.839050292969,254.535842895508,100.868980407715,51.6837844848633,16.9433040618896,159.542999267578,220.180267333984,174.671783447266,230.051940917969,277.412841796875,176.565689086914,362.957458496094,371.300506591797,472.183868408203,200.87109375,76.812873840332,76.1249465942383,179.566284179688,139.709884643555,166.369277954102,268.068450927734,232.345367431641,193.40673828125,420.481323242188,314.017791748047,265.912109375,98.7071228027344,60.778003692627,68.9821472167969,153.835418701172,124.519096374512,184.262680053711,350.852722167969,162.90380859375,215.728973388672,222.681900024414,244.497848510742,379.154327392578,70.9518356323242,106.616386413574,28.5679016113281,153.327255249023,293.417114257812,227.357238769531,222.604309082031,179.972244262695
5,281.25,-5,236.951400756836,167.98583984375,403.957153320312,338.996185302734,105.281806945801,58.468936920166,19.5296192169189,79.5550384521484,173.879150390625,153.136383056641,285.723510742188,255.746398925781,316.522277832031,249.190246582031,353.067169189453,261.816619873047,438.470947265625,46.6952095031738,57.8847999572754,174.51969909668,225.621307373047,367.982208251953,429.049621582031,316.484436035156,227.775375366211,446.961517333984,533.638305664062,349.331298828125,274.919403076172,89.4617233276367,68.7700042724609,96.4546279907227,222.620254516602,194.824005126953,209.757781982422,311.511901855469,176.2646484375,511.528656005859,324.950927734375,341.73486328125,283.001342773438,109.228477478027,32.8953895568848,137.660278320312,153.251602172852,137.697357177734,141.162689208984,209.275604248047,251.29377746582,286.984497070312,187.913223266602,516.677795410156,61.9230995178223,44.5328559875488,30.8333644866943,65.9760589599609,134.587600708008,338.227081298828,267.925048828125,317.069427490234,308.118133544922,250.001525878906,424.069549560547,362.930267333984,373.185119628906,158.633850097656,26.4072723388672,87.8753814697266,241.426742553711,216.215118408203,151.592727661133,230.887390136719,271.771911621094,280.470001220703,324.00390625,414.552642822266,92.8405227661133,60.2981224060059,37.5378761291504,57.4845695495605,210.285568237305,169.226043701172,176.343551635742,210.195465087891,203.365478515625,228.095504760742,630.002868652344,224.209564208984,95.7825775146484,48.8915557861328,13.9992237091064,145.199523925781,219.562683105469,191.443603515625,240.443206787109,282.605316162109,182.805221557617,375.935821533203,348.305053710938,471.158233642578,187.092330932617,66.1863403320312,60.4182891845703,172.861953735352,142.525451660156,180.562347412109,289.073333740234,256.461395263672,170.833053588867,427.885192871094,319.469543457031,271.822235107422,91.1697082519531,58.4886512756348,66.2426605224609,142.450180053711,117.697998046875,190.165115356445,354.269439697266,180.700180053711,224.196975708008,241.949584960938,258.320434570312,365.704528808594,66.3802032470703,111.287658691406,26.2537136077881,145.568496704102,296.979248046875,223.571014404297,238.375503540039,178.632995605469
6,281.5,-5,221.978622436523,194.391342163086,403.155731201172,338.429016113281,124.819396972656,70.5963821411133,22.9814414978027,81.0181121826172,162.270462036133,152.283416748047,288.977172851562,247.939239501953,285.086456298828,242.341354370117,346.534332275391,242.666198730469,462.088775634766,51.824634552002,58.1866836547852,162.927398681641,228.046081542969,385.789764404297,457.297607421875,293.926177978516,217.860641479492,394.905914306641,548.294311523438,350.986145019531,316.047302246094,92.4526443481445,70.7137451171875,80.9963607788086,217.241104125977,192.159515380859,217.594055175781,305.222991943359,169.529174804688,521.082824707031,307.546905517578,313.943603515625,283.127655029297,122.009963989258,33.3744010925293,132.124801635742,151.646987915039,146.154052734375,147.227478027344,198.335159301758,258.181732177734,266.213592529297,203.26545715332,469.4462890625,82.7680740356445,50.9014892578125,28.868522644043,67.6079406738281,128.587417602539,319.809906005859,272.300964355469,302.431182861328,310.481567382812,248.248184204102,415.427764892578,380.439331054688,384.579254150391,176.493499755859,27.2417259216309,85.1073455810547,240.849578857422,218.396209716797,155.450469970703,224.955749511719,250.872787475586,273.776794433594,305.225524902344,398.587677001953,100.203353881836,68.8379211425781,34.8295135498047,51.7792472839355,193.331466674805,166.777984619141,185.109344482422,202.994445800781,196.946990966797,220.056671142578,626.531188964844,216.486679077148,103.702224731445,50.3833999633789,17.1438751220703,131.452911376953,212.415634155273,200.056457519531,245.601654052734,263.115173339844,175.782348632812,360.905212402344,336.920501708984,449.452880859375,201.455108642578,76.3940505981445,60.105354309082,162.6611328125,137.649841308594,192.85026550293,297.125427246094,254.962921142578,156.700378417969,413.029113769531,299.927642822266,270.065185546875,96.9767227172852,58.0354652404785,64.1456985473633,131.638549804688,104.22013092041,197.71110534668,344.562652587891,184.090576171875,209.121536254883,226.190719604492,277.36669921875,353.87109375,84.2842712402344,140.487716674805,27.45068359375,136.879241943359,291.019134521484,230.098754882812,226.383453369141,194.435836791992
7,281.75,-5,207.005828857422,220.796859741211,402.354309082031,337.861877441406,144.356994628906,82.7238235473633,26.4332656860352,82.4811859130859,150.66178894043,151.430450439453,292.230834960938,240.132080078125,253.650650024414,235.492477416992,340.001525878906,223.515777587891,485.706573486328,56.9540596008301,58.4885635375977,151.335113525391,230.47087097168,403.597351074219,485.545562744141,271.367950439453,207.945907592773,342.850311279297,562.950378417969,352.640960693359,357.175201416016,95.4435729980469,72.6574859619141,65.5380859375,211.861953735352,189.495025634766,225.43034362793,298.93408203125,162.793701171875,530.636962890625,290.142852783203,286.15234375,283.253997802734,134.791442871094,33.8534126281738,126.589324951172,150.042373657227,154.610748291016,153.292282104492,187.394714355469,265.069702148438,245.44270324707,218.617691040039,422.214721679688,103.613052368164,57.2701263427734,26.9036808013916,69.2398147583008,122.587226867676,301.392761230469,276.676879882812,287.792938232422,312.844970703125,246.494842529297,406.785980224609,397.948394775391,395.973358154297,194.353149414062,28.0761795043945,82.3393096923828,240.272415161133,220.577301025391,159.308197021484,219.024108886719,229.973663330078,267.083557128906,286.447113037109,382.622680664062,107.566184997559,77.3777236938477,32.1211471557617,46.0739250183105,176.377365112305,164.32991027832,193.875152587891,195.793426513672,190.52848815918,212.017837524414,623.059448242188,208.763809204102,111.621871948242,51.8752479553223,20.2885284423828,117.70629119873,205.268600463867,208.669311523438,250.760116577148,243.625030517578,168.759475708008,345.874633789062,325.535919189453,427.747497558594,215.81787109375,86.6017684936523,59.7924156188965,152.460327148438,132.774230957031,205.138168334961,305.177490234375,253.464447021484,142.567687988281,398.173034667969,280.385711669922,268.308135986328,102.783737182617,57.5822792053223,62.0487289428711,120.826919555664,90.7422714233398,205.257110595703,334.855895996094,187.48095703125,194.046096801758,210.431854248047,296.412963867188,342.037658691406,102.188339233398,169.687789916992,28.6476516723633,128.189971923828,285.059020996094,236.626495361328,214.391418457031,210.238677978516
8,282,-5,192.03303527832,247.202362060547,401.552886962891,337.294708251953,163.894577026367,94.8512573242188,29.8850879669189,83.9442520141602,139.053100585938,150.577484130859,295.484497070312,232.324920654297,222.21484375,228.643585205078,333.468688964844,204.365356445312,509.324401855469,62.0834846496582,58.7904434204102,139.742813110352,232.895645141602,421.404937744141,513.793518066406,248.809722900391,198.031173706055,290.794738769531,577.606384277344,354.295776367188,398.303100585938,98.4345016479492,74.6012191772461,50.0798187255859,206.482803344727,186.830520629883,233.266632080078,292.645172119141,156.058212280273,540.191162109375,272.738800048828,258.361083984375,283.380310058594,147.57292175293,34.3324241638184,121.053848266602,148.437759399414,163.067443847656,159.357086181641,176.45426940918,271.957641601562,224.671798706055,233.969924926758,374.983184814453,124.458023071289,63.6387634277344,24.9388370513916,70.871696472168,116.587043762207,282.975616455078,281.052795410156,273.154693603516,315.208374023438,244.741500854492,398.144195556641,415.457458496094,407.367462158203,212.212799072266,28.9106349945068,79.5712738037109,239.695236206055,222.758407592773,163.165939331055,213.092468261719,209.07453918457,260.390350341797,267.668701171875,366.65771484375,114.929008483887,85.9175262451172,29.4127807617188,40.3686027526855,159.423248291016,161.8818359375,202.64094543457,188.592407226562,184.110000610352,203.97900390625,619.587768554688,201.040939331055,119.541511535645,53.3670921325684,23.4331817626953,103.959678649902,198.121566772461,217.282150268555,255.918563842773,224.134902954102,161.736602783203,330.844024658203,314.151336669922,406.042144775391,230.180648803711,96.8094787597656,59.4794769287109,142.259521484375,127.898620605469,217.426086425781,313.229553222656,251.965972900391,128.435012817383,383.316955566406,260.843780517578,266.551055908203,108.590751647949,57.129093170166,59.9517631530762,110.015289306641,77.264404296875,212.803115844727,325.149108886719,190.871353149414,178.970657348633,194.672988891602,315.459228515625,330.204223632812,120.092407226562,198.887847900391,29.8446216583252,119.500717163086,279.098937988281,243.154251098633,202.399383544922,226.041519165039
9,282.25,-5,177.060241699219,273.607879638672,400.751434326172,336.7275390625,183.432174682617,106.978698730469,33.3369102478027,85.4073257446289,127.44441986084,149.724533081055,298.738159179688,224.517761230469,190.779022216797,221.794708251953,326.935852050781,185.214935302734,532.942199707031,67.2129058837891,59.0923233032227,128.150512695312,235.320419311523,439.212493896484,542.04150390625,226.251495361328,188.116439819336,238.739151000977,592.262390136719,355.950592041016,439.430969238281,101.425422668457,76.5449600219727,34.6215476989746,201.103652954102,184.166030883789,241.102905273438,286.356262207031,149.322738647461,549.745300292969,255.334777832031,230.569808959961,283.506622314453,160.354400634766,34.8114356994629,115.518371582031,146.833145141602,171.524139404297,165.421890258789,165.51383972168,278.845611572266,203.900909423828,249.322158813477,327.751647949219,145.302993774414,70.0074005126953,22.9739952087402,72.5035781860352,110.586853027344,264.558441162109,285.4287109375,258.516479492188,317.57177734375,242.988174438477,389.502410888672,432.966522216797,418.761596679688,230.072448730469,29.7450885772705,76.8032379150391,239.118072509766,224.939498901367,167.023666381836,207.160827636719,188.175415039062,253.697113037109,248.89030456543,350.692749023438,122.291839599609,94.4573287963867,26.7044162750244,34.6632804870605,142.469146728516,159.43376159668,211.40673828125,181.391372680664,177.691513061523,195.940170288086,616.116027832031,193.318069458008,127.461158752441,54.8589401245117,26.5778350830078,90.2130584716797,190.974517822266,225.895004272461,261.077026367188,204.644760131836,154.713729858398,315.813446044922,302.766784667969,384.336761474609,244.543426513672,107.017196655273,59.1665420532227,132.058715820312,123.023017883301,229.714004516602,321.281616210938,250.467498779297,114.302337646484,368.460876464844,241.301864624023,264.794006347656,114.397766113281,56.6759071350098,57.8547973632812,99.2036514282227,63.7865409851074,220.349105834961,315.442321777344,194.261734008789,163.895217895508,178.914123535156,334.505523681641,318.370788574219,137.996475219727,228.087905883789,31.0415897369385,110.811454772949,273.138824462891,249.681991577148,190.407348632812,241.844360351562
10,282.5,-5,160.209564208984,298.432647705078,400.702362060547,354.666473388672,200.377136230469,112.273490905762,38.4105453491211,85.6709060668945,125.025329589844,146.924133300781,294.208129882812,212.465393066406,164.034378051758,212.049606323242,314.690704345703,168.451202392578,530.511840820312,72.7444076538086,57.464485168457,122.128555297852,227.055816650391,448.688354492188,550.255676269531,207.186416625977,174.736770629883,206.289306640625,594.591674804688,355.152374267578,446.503234863281,104.213233947754,79.147575378418,27.4126529693604,195.358215332031,185.27783203125,245.056259155273,274.867034912109,136.949981689453,556.804321289062,251.383010864258,213.878128051758,282.279022216797,162.798751831055,33.4891242980957,107.8408203125,147.132171630859,170.053192138672,168.321243286133,158.303207397461,270.735809326172,188.829177856445,261.716156005859,289.230926513672,156.729385375977,77.8682861328125,22.3532123565674,72.3643112182617,114.213806152344,241.811553955078,284.785888671875,246.662292480469,324.220886230469,240.712341308594,380.359252929688,444.401611328125,429.063629150391,243.843292236328,33.0712051391602,73.3557586669922,231.993240356445,231.551773071289,166.992004394531,202.857635498047,170.089492797852,255.589431762695,230.884658813477,351.64453125,133.718475341797,100.133033752441,26.4630947113037,32.6477699279785,130.72233581543,161.042999267578,216.329666137695,176.61100769043,182.145355224609,192.446441650391,604.389770507812,185.70671081543,140.449295043945,58.4630279541016,31.080451965332,81.7956390380859,176.136917114258,232.590072631836,264.506378173828,185.183227539062,152.88981628418,306.596130371094,290.434967041016,364.237426757812,250.848358154297,114.792991638184,55.4903869628906,124.22883605957,120.649757385254,243.611511230469,339.621459960938,241.881393432617,111.362648010254,352.883544921875,233.08171081543,259.433410644531,118.478378295898,56.7232856750488,54.2803535461426,100.349533081055,56.4019508361816,214.013259887695,315.8896484375,190.306396484375,148.935760498047,165.500579833984,342.612457275391,296.036865234375,158.134674072266,239.053924560547,31.1472187042236,103.279907226562,259.359252929688,256.221221923828,194.075592041016,253.268417358398
