,x,y,2000-01-01,2000-02-01,2000-03-01,2000-04-01,2000-05-01,2000-06-01,2000-07-01,2000-08-01,2000-09-01,2000-10-01,2000-11-01,2000-12-01,2001-01-01,2001-02-01,2001-03-01,2001-04-01,2001-05-01,2001-06-01,2001-07-01,2001-08-01,2001-09-01,2001-10-01,2001-11-01,2001-12-01,2002-01-01,2002-02-01,2002-03-01,2002-04-01,2002-05-01,2002-06-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01
1,280.25,-5,408.936401367188,425.263458251953,492.811004638672,221.669372558594,175.943908691406,33.8432235717773,24.5938129425049,50.8292465209961,116.24690246582,164.899566650391,180.31201171875,331.004608154297,428.988647460938,552.458251953125,518.855834960938,211.372406005859,166.826782226562,74.2248840332031,31.0920467376709,57.1610107421875,115.644981384277,166.469024658203,114.010345458984,312.563354492188,431.052429199219,338.725402832031,483.342620849609,283.296875,169.069946289062,88.2927398681641,29.1340160369873,64.0621643066406,102.491912841797,153.013168334961,176.42546081543,371.060028076172,367.68798828125,239.84553527832,261.733520507812,226.040466308594,205.560516357422,72.603759765625,38.0733871459961,42.528678894043,61.4871635437012,140.164291381836,143.560546875,300.12451171875,319.272979736328,426.471923828125,540.426818847656,331.601928710938,190.153518676758,103.772682189941,18.8976516723633,37.153881072998,57.7648849487305,163.368469238281,192.796173095703,264.149261474609,517.982238769531,312.581176757812,453.857482910156,259.645172119141,215.379608154297,100.105316162109,35.105884552002,49.577278137207,72.6535110473633,120.105133056641,173.263259887695,247.390502929688,407.981811523438,341.621826171875,522.667236328125,444.031433105469,142.437133789062,101.955177307129,24.6890106201172,34.4625854492188,51.7434539794922,142.680938720703,173.916870117188,338.043884277344,403.182281494141,303.784698486328,401.673461914062,308.555206298828,199.697875976562,73.3168716430664,27.2293815612793,53.9874000549316,74.7888031005859,110.270278930664,140.526596069336,373.885406494141,367.495758056641,330.193115234375,349.800354003906,278.634918212891,150.411056518555,51.1254272460938,52.0190849304199,40.4887619018555,98.0971145629883,126.600761413574,129.382415771484,358.696594238281,340.902526855469,259.586456298828,463.832275390625,166.246765136719,152.261611938477,96.9383010864258,27.308952331543,30.0733737945557,117.245895385742,96.3870620727539,149.712875366211,261.878509521484,310.083984375,391.490844726562,511.032440185547,330.906982421875,150.497650146484,80.7925415039062,18.3653812408447,40.1610565185547,70.6904907226562,71.1713714599609,186.320129394531,413.737365722656
2,280.5,-5,403.731750488281,407.077270507812,443.941101074219,195.499588012695,162.095657348633,32.9511756896973,23.342679977417,48.7812271118164,107.300682067871,159.089477539062,190.927154541016,321.07666015625,404.991546630859,500.187316894531,471.566101074219,185.054489135742,155.002807617188,70.3547744750977,29.299467086792,54.0106811523438,112.237342834473,159.461578369141,119.442115783691,302.7275390625,385.21044921875,307.459106445312,438.158721923828,250.391632080078,152.180511474609,83.2749633789062,28.467679977417,59.6607551574707,96.145637512207,148.714096069336,173.842132568359,335.382537841797,340.54248046875,216.150573730469,238.224594116211,209.25715637207,188.584106445312,66.2360229492188,36.3071365356445,39.704833984375,60.814998626709,145.758499145508,157.568115234375,305.522247314453,313.482391357422,395.262481689453,477.742523193359,290.618804931641,174.392166137695,91.9585189819336,17.912410736084,36.8939247131348,57.0711669921875,165.972869873047,197.937026977539,268.586181640625,484.3017578125,304.221069335938,435.511932373047,236.38020324707,194.404556274414,96.7932510375977,32.4043006896973,47.7384872436523,71.2099914550781,123.553283691406,178.773086547852,254.826904296875,378.644348144531,312.407958984375,480.243682861328,404.5205078125,130.220672607422,93.0805969238281,23.4325580596924,35.0503311157227,48.3045768737793,144.053680419922,180.572204589844,305.207641601562,373.083282470703,284.913330078125,371.828338623047,282.149963378906,183.751602172852,68.8716583251953,24.5907154083252,49.8025016784668,72.3887405395508,110.425788879395,135.584808349609,341.948425292969,335.497985839844,308.015838623047,346.072875976562,251.762817382812,138.035202026367,49.7033615112305,49.297550201416,39.0549430847168,92.6237716674805,126.158409118652,138.24934387207,340.500793457031,323.476776123047,250.535629272461,418.995422363281,164.254440307617,137.63346862793,87.7568283081055,25.5059757232666,31.371431350708,117.444152832031,101.278656005859,158.084426879883,261.334533691406,294.624603271484,360.478485107422,475.673767089844,299.779571533203,139.01838684082,75.7029418945312,17.4454021453857,39.6384353637695,69.510139465332,76.7544021606445,196.342422485352,396.969909667969
3,280.75,-5,398.527099609375,388.891082763672,395.071166992188,169.329803466797,148.247406005859,32.0591278076172,22.0915470123291,46.7332077026367,98.3544616699219,153.279403686523,201.542297363281,311.148712158203,380.994445800781,447.916381835938,424.2763671875,158.736587524414,143.178848266602,66.4846725463867,27.5068874359131,50.8603553771973,108.829711914062,152.454116821289,124.873886108398,292.891754150391,339.368499755859,276.192779541016,392.974792480469,217.486389160156,135.291091918945,78.2571868896484,27.8013458251953,55.2593460083008,89.7993621826172,144.415008544922,171.258804321289,299.705047607422,313.396942138672,192.455612182617,214.715667724609,192.473846435547,171.607696533203,59.8682823181152,34.540885925293,36.8809928894043,60.1428337097168,151.35270690918,171.57568359375,310.920013427734,307.691772460938,364.053039550781,415.058227539062,249.635696411133,158.630813598633,80.1443481445312,16.9271678924561,36.6339721679688,56.3774452209473,168.577255249023,203.077880859375,273.023101806641,450.621276855469,295.860931396484,417.166412353516,213.115219116211,173.42951965332,93.4811859130859,29.7027130126953,45.8996963500977,69.7664642333984,127.001434326172,184.282913208008,262.263305664062,349.306884765625,283.194091796875,437.820129394531,365.009552001953,118.004219055176,84.2060241699219,22.1761035919189,35.6380805969238,44.8657035827637,145.426422119141,187.2275390625,272.371368408203,342.984283447266,266.0419921875,341.983215332031,255.744705200195,167.805313110352,64.4264450073242,21.9520492553711,45.6175994873047,69.9886703491211,110.581298828125,130.643005371094,310.011474609375,303.500213623047,285.838531494141,342.345428466797,224.890731811523,125.659370422363,48.2812957763672,46.5760116577148,37.6211204528809,87.1504287719727,125.716064453125,147.116256713867,322.304962158203,306.050994873047,241.484832763672,374.158569335938,162.262130737305,123.005325317383,78.5753555297852,23.7030010223389,32.669490814209,117.642417907715,106.170249938965,166.455978393555,260.790557861328,279.165222167969,329.466094970703,440.315093994141,268.652160644531,127.539115905762,70.6133346557617,16.5254211425781,39.1158103942871,68.3297882080078,82.3374328613281,206.364700317383,380.202484130859
4,281,-5,393.322448730469,370.704864501953,346.201263427734,143.160018920898,134.399154663086,31.1670799255371,20.8404140472412,44.685188293457,89.4082336425781,147.469314575195,212.157440185547,301.220794677734,356.997344970703,395.645416259766,376.986633300781,132.418670654297,131.354873657227,62.6145706176758,25.7143077850342,47.7100257873535,105.422073364258,145.446655273438,130.3056640625,283.055938720703,293.526519775391,244.926467895508,347.790863037109,184.581146240234,118.401664733887,73.2394104003906,27.1350116729736,50.8579406738281,83.4530868530273,140.115921020508,168.675476074219,264.027557373047,286.251434326172,168.760665893555,191.206741333008,175.690536499023,154.631286621094,53.5005416870117,32.7746353149414,34.0571517944336,59.4706687927246,156.946914672852,185.583251953125,316.317779541016,301.901184082031,332.843627929688,352.373931884766,208.652587890625,142.869445800781,68.3301773071289,15.9419269561768,36.3740158081055,55.6837272644043,171.181655883789,208.218734741211,277.460052490234,416.940795898438,287.500793457031,398.820861816406,189.850234985352,152.454467773438,90.1691207885742,27.0011291503906,44.0609016418457,68.3229446411133,130.449584960938,189.792739868164,269.699676513672,319.969451904297,253.980239868164,395.396545410156,325.498626708984,105.78776550293,75.3314437866211,20.9196510314941,36.2258262634277,41.426830291748,146.799163818359,193.882858276367,239.535095214844,312.885284423828,247.170623779297,312.138092041016,229.339447021484,151.859024047852,59.9812393188477,19.3133811950684,41.4327011108398,67.5886077880859,110.736808776855,125.701217651367,278.074523925781,271.50244140625,263.661224365234,338.617950439453,198.018646240234,113.283531188965,46.8592300415039,43.8544769287109,36.1872978210449,81.6770858764648,125.273719787598,155.983184814453,304.109161376953,288.625213623047,232.434020996094,329.321716308594,160.269805908203,108.377182006836,69.3938827514648,21.9000244140625,33.9675483703613,117.840682983398,111.06184387207,174.827529907227,260.246551513672,263.705841064453,298.453735351562,404.956451416016,237.524749755859,116.059852600098,65.5237350463867,15.6054401397705,38.5931854248047,67.1494369506836,87.9204559326172,216.386993408203,363.435028076172
5,281.25,-5,388.117797851562,352.518676757812,297.331359863281,116.990242004395,120.550903320312,30.275032043457,19.5892810821533,42.6371726989746,80.4620132446289,141.659240722656,222.772583007812,291.292846679688,333.000244140625,343.374481201172,329.696868896484,106.10075378418,119.530899047852,58.7444686889648,23.9217281341553,44.559700012207,102.014442443848,138.439208984375,135.737442016602,273.220153808594,247.684555053711,213.66015625,302.60693359375,151.675903320312,101.512245178223,68.2216339111328,26.4686756134033,46.4565315246582,77.1068115234375,135.816848754883,166.092132568359,228.350051879883,259.105895996094,145.065704345703,167.697814941406,158.907211303711,137.654876708984,47.1328010559082,31.0083866119385,31.2333068847656,58.7985076904297,162.541107177734,199.590835571289,321.715515136719,296.110565185547,301.634185791016,289.689666748047,167.669479370117,127.108093261719,56.5160102844238,14.9566850662231,36.1140632629395,54.9900093078613,173.786056518555,213.359588623047,281.89697265625,383.260314941406,279.140686035156,380.475311279297,166.585250854492,131.479431152344,86.8570556640625,24.2995433807373,42.222110748291,66.8794174194336,133.897735595703,195.30256652832,277.136077880859,290.631988525391,224.766387939453,352.972991943359,285.987670898438,93.5713119506836,66.4568634033203,19.6631965637207,36.8135757446289,37.9879570007324,148.171890258789,200.538192749023,206.698837280273,282.786285400391,228.299255371094,282.292938232422,202.934204101562,135.912734985352,55.5360260009766,16.6747150421143,37.2477989196777,65.1885375976562,110.89232635498,120.759429931641,246.137557983398,239.504684448242,241.483917236328,334.890502929688,171.146560668945,100.907684326172,45.4371643066406,41.132942199707,34.7534790039062,76.203742980957,124.83137512207,164.85009765625,285.913330078125,271.199432373047,223.383209228516,284.48486328125,158.277496337891,93.7490386962891,60.2124061584473,20.0970478057861,35.2656059265137,118.038940429688,115.953437805176,183.199066162109,259.702575683594,248.246444702148,267.441375732422,369.597778320312,206.397354125977,104.580589294434,60.4341354370117,14.6854600906372,38.0705604553223,65.9690856933594,93.5034866333008,226.409271240234,346.667602539062
6,281.5,-5,365.543914794922,331.274139404297,284.989196777344,117.627075195312,122.894859313965,31.1481380462646,19.745174407959,45.1918411254883,77.059211730957,132.367141723633,229.011123657227,287.832214355469,324.064636230469,319.952056884766,301.934967041016,105.820022583008,123.617637634277,60.8576202392578,25.403938293457,44.6078414916992,99.0619583129883,129.866714477539,132.703918457031,265.195953369141,239.349090576172,203.713607788086,289.036102294922,143.790390014648,109.131469726562,70.552604675293,27.0724086761475,45.4790534973145,72.052864074707,131.305160522461,163.190811157227,220.433258056641,245.899993896484,136.214019775391,161.666259765625,157.896560668945,137.832824707031,50.4230346679688,32.0729713439941,31.7729606628418,59.3059921264648,152.044921875,201.730804443359,310.503265380859,285.333648681641,279.814910888672,268.358032226562,160.85400390625,130.267532348633,58.1172943115234,15.7113447189331,36.9057273864746,53.3340339660645,160.633071899414,206.58625793457,273.391815185547,350.737915039062,267.375244140625,354.096771240234,161.56282043457,135.923278808594,86.1065292358398,25.7050285339355,43.1963882446289,66.6011810302734,127.721672058105,185.470428466797,272.247802734375,277.824951171875,218.651733398438,341.090576171875,268.990264892578,99.9090576171875,68.4841156005859,20.3605785369873,38.0823211669922,38.1516990661621,139.68391418457,196.824569702148,204.014999389648,266.830200195312,214.489242553711,274.534240722656,193.11750793457,138.416793823242,58.3698806762695,18.4097309112549,37.1352767944336,65.583740234375,106.850280761719,116.467422485352,241.705780029297,220.779113769531,230.111846923828,319.459655761719,170.76448059082,106.200134277344,46.6354789733887,42.3870468139648,34.7017860412598,73.643684387207,120.053100585938,161.893096923828,268.925476074219,257.164428710938,215.760238647461,261.748291015625,153.326171875,97.2323913574219,63.5113105773926,20.4133796691895,36.4806137084961,112.712455749512,112.600067138672,182.003219604492,255.462890625,242.952758789062,245.107208251953,352.56982421875,196.960021972656,110.198776245117,63.3897171020508,15.3269329071045,38.9634284973145,64.6953582763672,98.8239364624023,217.880996704102,333.660766601562
7,281.75,-5,342.970031738281,310.029602050781,272.647033691406,118.263916015625,125.238822937012,32.0212440490723,19.9010677337646,47.7465133666992,73.6564025878906,123.075035095215,235.249664306641,284.371551513672,315.129058837891,296.529602050781,274.173034667969,105.53929901123,127.704383850098,62.9707717895508,26.8861484527588,44.6559867858887,96.1094818115234,121.294219970703,129.67041015625,257.171752929688,231.013641357422,193.767074584961,275.465301513672,135.904876708984,116.750694274902,72.8835830688477,27.676139831543,44.5015754699707,66.9989166259766,126.793472290039,160.289489746094,212.516464233398,232.694076538086,127.362342834473,155.634704589844,156.885894775391,138.010787963867,53.713264465332,33.1375579833984,32.312614440918,59.8134803771973,141.548721313477,203.870788574219,299.291015625,274.556732177734,257.99560546875,247.026397705078,154.038543701172,133.426971435547,59.7185821533203,16.4660053253174,37.697395324707,51.6780624389648,147.480087280273,199.812927246094,264.886688232422,318.215484619141,255.609786987305,327.718231201172,156.540390014648,140.367126464844,85.3560104370117,27.1105155944824,44.1706657409668,66.3229370117188,121.545600891113,175.638275146484,267.359497070312,265.017944335938,212.537078857422,329.208160400391,251.992858886719,106.246803283691,70.5113677978516,21.0579586029053,39.3510627746582,38.3154411315918,131.195922851562,193.110931396484,201.331176757812,250.874099731445,200.679229736328,266.775543212891,183.300827026367,140.920852661133,61.2037353515625,20.1447448730469,37.0227546691895,65.9789428710938,102.808235168457,112.175415039062,237.273986816406,202.053558349609,218.739791870117,304.028839111328,170.382415771484,111.492576599121,47.8337898254395,43.6411552429199,34.6500968933105,71.0836334228516,115.274826049805,158.936096191406,251.937637329102,243.129379272461,208.137283325195,239.01171875,148.374847412109,100.715744018555,66.8102111816406,20.7297096252441,37.6956253051758,107.385971069336,109.246696472168,180.807357788086,251.223190307617,237.659057617188,222.773056030273,335.541900634766,187.522689819336,115.816963195801,66.3452987670898,15.9684057235718,39.8562965393066,63.4216346740723,104.144386291504,209.352737426758,320.653930664062
8,282,-5,320.396118164062,288.785034179688,260.304840087891,118.900749206543,127.582778930664,32.8943481445312,20.0569629669189,50.3011817932129,70.2535934448242,113.782936096191,241.488204956055,280.910919189453,306.193481445312,273.107147216797,246.4111328125,105.258567810059,131.791122436523,65.0839233398438,28.3683567047119,44.7041282653809,93.1570053100586,112.721725463867,126.636909484863,249.147552490234,222.678176879883,183.820541381836,261.894470214844,128.01936340332,124.369926452637,75.2145614624023,28.2798728942871,43.524097442627,61.9449691772461,122.281784057617,157.388168334961,204.599670410156,219.488159179688,118.51065826416,149.603149414062,155.875228881836,138.188735961914,57.0034980773926,34.2021446228027,32.8522682189941,60.3209648132324,131.052520751953,206.010772705078,288.078735351562,263.779815673828,236.176330566406,225.694778442383,147.223068237305,136.586410522461,61.3198699951172,17.2206649780273,38.4890632629395,50.022087097168,134.327117919922,193.039611816406,256.381561279297,285.693054199219,243.844329833984,301.339721679688,151.517959594727,144.810974121094,84.6054840087891,28.5160007476807,45.144947052002,66.0447006225586,115.369537353516,165.806137084961,262.47119140625,252.210906982422,206.422424316406,317.325744628906,234.995452880859,112.584541320801,72.5386199951172,21.7553386688232,40.6198081970215,38.4791831970215,122.707946777344,189.397308349609,198.647354125977,234.917999267578,186.869232177734,259.016845703125,173.484130859375,143.424911499023,64.0375900268555,21.8797588348389,36.9102325439453,66.374137878418,98.7661895751953,107.883407592773,232.842208862305,183.327987670898,207.367721557617,288.597991943359,170.000350952148,116.785026550293,49.0321044921875,44.8952598571777,34.5984039306641,68.5235748291016,110.496559143066,155.979095458984,234.949798583984,229.094360351562,200.514312744141,216.275146484375,143.423538208008,104.199089050293,70.1091156005859,21.0460395812988,38.9106369018555,102.059478759766,105.893325805664,179.61149597168,246.983505249023,232.365356445312,200.438903808594,318.513977050781,178.085357666016,121.435150146484,69.3008728027344,16.6098785400391,40.7491683959961,62.1479072570801,109.464836120605,200.824462890625,307.647125244141
9,282.25,-5,297.822235107422,267.540496826172,247.962677001953,119.537582397461,129.926742553711,33.7674522399902,20.2128562927246,52.8558540344238,66.8507919311523,104.490837097168,247.726745605469,277.450256347656,297.257904052734,249.684707641602,218.649200439453,104.977844238281,135.877868652344,67.1970748901367,29.8505668640137,44.7522735595703,90.2045288085938,104.149230957031,123.603401184082,241.123352050781,214.342727661133,173.873992919922,248.323669433594,120.133857727051,131.989151000977,77.5455322265625,28.8836040496826,42.5466194152832,56.8910217285156,117.77010345459,154.486831665039,196.682876586914,206.282257080078,109.658981323242,143.571594238281,154.86457824707,138.366683959961,60.2937278747559,35.2667274475098,33.3919219970703,60.8284530639648,120.556327819824,208.150741577148,276.866485595703,253.002899169922,214.357055664062,204.363159179688,140.407608032227,139.745849609375,62.9211578369141,17.9753246307373,39.2807312011719,48.3661117553711,121.174133300781,186.26628112793,247.876403808594,253.170639038086,232.078887939453,274.961181640625,146.495513916016,149.254821777344,83.8549652099609,29.9214878082275,46.1192245483398,65.7664566040039,109.193466186523,155.973983764648,257.582916259766,239.403884887695,200.307769775391,305.443328857422,217.998046875,118.922286987305,74.5658798217773,22.4527187347412,41.8885536193848,38.6429290771484,114.21996307373,185.683670043945,195.963531494141,218.9619140625,173.059219360352,251.258148193359,163.667449951172,145.928955078125,66.8714447021484,23.6147747039795,36.7977104187012,66.7693405151367,94.7241439819336,103.591400146484,228.410415649414,164.602432250977,195.995666503906,273.167175292969,169.618286132812,122.077476501465,50.2304191589355,46.1493682861328,34.5467147827148,65.9635162353516,105.718284606934,153.022094726562,217.961944580078,215.059326171875,192.891342163086,193.538558959961,138.472213745117,107.682441711426,73.4080200195312,21.3623695373535,40.1256446838379,96.7329940795898,102.53995513916,178.415634155273,242.743804931641,227.071670532227,178.104751586914,301.486022949219,168.648025512695,127.053337097168,72.2564544677734,17.2513523101807,41.6420364379883,60.8741836547852,114.785278320312,192.296188354492,294.640289306641
10,282.5,-5,275.248352050781,246.295944213867,235.620498657227,120.174423217773,132.270690917969,34.6405601501465,20.3687515258789,55.4105224609375,63.4479827880859,95.19873046875,253.965286254883,273.989624023438,288.322326660156,226.262252807617,190.887283325195,104.697113037109,139.964599609375,69.3102264404297,31.3327770233154,44.8004150390625,87.2520446777344,95.5767440795898,120.569885253906,233.099151611328,206.007263183594,163.927459716797,234.752853393555,112.248344421387,139.608383178711,79.8765106201172,29.4873371124268,41.5691375732422,51.8370742797852,113.258415222168,151.585510253906,188.766082763672,193.07633972168,100.80729675293,137.5400390625,153.853912353516,138.544631958008,63.5839576721191,36.3313140869141,33.9315757751465,61.3359375,110.060134887695,210.290725708008,265.654235839844,242.225982666016,192.53776550293,183.031524658203,133.592132568359,142.905288696289,64.5224456787109,18.7299861907959,40.0723991394043,46.7101364135742,108.021148681641,179.492950439453,239.37126159668,220.648208618164,220.313446044922,248.582641601562,141.473083496094,153.698669433594,83.1044387817383,31.3269748687744,47.0935020446777,65.4882202148438,103.017402648926,146.141845703125,252.694610595703,226.596862792969,194.193115234375,293.560913085938,201.000625610352,125.260032653809,76.593132019043,23.1500988006592,43.157299041748,38.8066711425781,105.731979370117,181.970031738281,193.279708862305,203.005813598633,159.249206542969,243.499450683594,153.850769042969,148.433013916016,69.7052917480469,25.3497886657715,36.685188293457,67.1645431518555,90.6821060180664,99.2993927001953,223.978637695312,145.876861572266,184.623596191406,257.736358642578,169.236221313477,127.369918823242,51.4287300109863,47.4034729003906,34.4950218200684,63.4034538269043,100.940010070801,150.065093994141,200.974105834961,201.024307250977,185.268371582031,170.801986694336,133.520889282227,111.165794372559,76.7069244384766,21.6786994934082,41.3406562805176,91.4065093994141,99.1865844726562,177.219772338867,238.504119873047,221.777969360352,155.770599365234,284.458099365234,159.210693359375,132.671524047852,75.2120361328125,17.8928241729736,42.5349044799805,59.600456237793,120.105728149414,183.767929077148,281.633483886719
