,x,y,2000-01-01,2000-02-01,2000-03-01,2000-04-01,2000-05-01,2000-06-01,2000-07-01,2000-08-01,2000-09-01,2000-10-01,2000-11-01,2000-12-01,2001-01-01,2001-02-01,2001-03-01,2001-04-01,2001-05-01,2001-06-01,2001-07-01,2001-08-01,2001-09-01,2001-10-01,2001-11-01,2001-12-01,2002-01-01,2002-02-01,2002-03-01,2002-04-01,2002-05-01,2002-06-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01
1,280.25,-5,666.421752929688,1095.51281738281,1328.94311523438,1158.07458496094,448.935424804688,208.733947753906,60.8323402404785,133.030899047852,246.018432617188,529.586242675781,588.913757324219,719.163024902344,761.693176269531,909.323852539062,1054.26489257812,1206.705078125,569.361022949219,323.541229248047,85.9501342773438,169.846649169922,277.963104248047,494.175994873047,710.788208007812,826.569763183594,766.0693359375,1260.65600585938,1281.89770507812,1125.36010742188,534.142700195312,123.846015930176,121.124977111816,130.426422119141,181.100280761719,415.793823242188,599.063598632812,464.056427001953,1012.91070556641,1207.29748535156,1191.49841308594,954.284545898438,437.813201904297,217.149047851562,203.531814575195,95.5033493041992,365.009674072266,455.675689697266,512.994750976562,807.6357421875,647.622497558594,971.329650878906,1167.63256835938,956.767883300781,530.815856933594,143.267440795898,129.042861938477,152.923309326172,185.819488525391,423.104095458984,666.213073730469,678.604675292969,835.817443847656,870.581298828125,1126.33483886719,1207.44396972656,502.934539794922,215.192245483398,157.59992980957,136.683303833008,237.158111572266,371.467803955078,577.886352539062,692.084106445312,995.230102539062,938.239440917969,1110.39611816406,1033.41296386719,543.781860351562,210.761581420898,61.543643951416,136.203186035156,279.532592773438,579.224609375,641.598266601562,494.065216064453,642.491455078125,973.088500976562,1165.82580566406,772.3125,264.027069091797,203.460662841797,124.478584289551,124.78450012207,335.942565917969,489.994659423828,613.224792480469,803.37841796875,813.17724609375,1086.97473144531,1256.98901367188,1050.52368164062,395.938873291016,235.853500366211,116.110229492188,146.016540527344,212.149398803711,530.822204589844,612.019165039062,539.98779296875,456.26904296875,638.969604492188,948.57861328125,700.650024414062,287.748321533203,206.928375244141,187.013610839844,142.895614624023,309.975738525391,464.492736816406,538.590454101562,697.393127441406,683.539245605469,1078.61755371094,1047.59228515625,1215.19177246094,265.886474609375,209.313446044922,70.9552993774414,65.4670181274414,364.118408203125,479.469512939453,601.385620117188,760.763427734375
2,280.5,-5,596.826110839844,861.034301757812,991.64599609375,843.294006347656,399.41455078125,239.615097045898,89.6735992431641,210.850143432617,359.277801513672,661.372192382812,646.575988769531,680.019470214844,666.671997070312,769.147583007812,864.495544433594,927.876586914062,514.636474609375,353.478057861328,130.062347412109,268.663665771484,433.518951416016,637.604675292969,768.563293457031,778.401672363281,618.458251953125,975.949279785156,858.483337402344,849.74365234375,500.134216308594,163.878128051758,168.406524658203,209.283782958984,285.7431640625,553.406372070312,678.082763671875,549.177185058594,841.151672363281,951.027587890625,844.428771972656,731.271362304688,383.570587158203,244.048614501953,247.973434448242,137.158065795898,482.176055908203,595.286926269531,642.646728515625,796.501403808594,620.96435546875,797.245422363281,870.646606445312,745.663757324219,515.090942382812,173.932281494141,186.29508972168,218.300277709961,290.6142578125,557.794677734375,759.884338378906,726.443908691406,766.980590820312,612.488403320312,774.637573242188,902.876647949219,490.298431396484,250.472457885742,217.93212890625,219.005081176758,358.049865722656,580.5673828125,710.398681640625,710.568115234375,861.769775390625,748.829833984375,724.356750488281,750.514404296875,488.917175292969,242.047637939453,93.5342254638672,197.687835693359,419.270080566406,715.098205566406,717.328552246094,531.086364746094,589.123107910156,718.509216308594,1014.64642333984,638.946044921875,291.730651855469,251.264572143555,187.314590454102,199.555511474609,513.392333984375,656.794250488281,638.437316894531,773.258605957031,680.207458496094,825.000183105469,877.758728027344,800.007629394531,370.2470703125,294.924285888672,166.860061645508,215.870468139648,303.552551269531,653.479125976562,710.4150390625,617.960998535156,492.734802246094,584.0380859375,831.616882324219,596.685546875,306.630706787109,229.696685791016,258.545562744141,224.624282836914,466.596099853516,634.628234863281,624.289855957031,724.120056152344,597.534790039062,907.326416015625,681.664001464844,963.869995117188,282.917510986328,271.479675292969,107.450340270996,102.996086120605,490.582885742188,615.409729003906,616.954711914062,772.952270507812
3,280.75,-5,489.523162841797,693.734985351562,745.328063964844,627.617614746094,348.502319335938,246.044357299805,117.619483947754,228.954895019531,359.033264160156,571.28125,561.321655273438,565.023803710938,525.04833984375,615.853393554688,671.503234863281,692.505859375,450.291168212891,329.413452148438,193.392990112305,288.151489257812,382.354766845703,559.077331542969,663.018676757812,667.217224121094,491.078979492188,786.820495605469,621.432434082031,654.945129394531,458.944274902344,219.249145507812,190.936660766602,221.770309448242,295.3193359375,527.482971191406,594.3056640625,495.536895751953,685.549621582031,762.8271484375,638.404418945312,562.925659179688,344.409362792969,251.580825805664,241.461547851562,150.618881225586,414.475128173828,489.215270996094,555.255310058594,665.154663085938,520.953125,623.792846679688,660.231384277344,576.118896484375,452.185699462891,188.73112487793,201.965438842773,216.262832641602,314.675262451172,490.936614990234,664.084106445312,628.329284667969,640.525512695312,456.892639160156,570.395446777344,686.625244140625,431.085601806641,263.143157958984,247.054534912109,238.632034301758,333.290496826172,556.921325683594,631.956420898438,632.615905761719,706.044799804688,581.657653808594,518.436401367188,557.673034667969,416.147247314453,246.04460144043,137.770874023438,212.711364746094,392.990112304688,572.290161132812,602.291076660156,457.502685546875,486.346649169922,544.600524902344,805.353088378906,519.739807128906,297.763885498047,261.801971435547,195.290710449219,207.463653564453,462.473327636719,568.532043457031,522.609436035156,650.879821777344,558.915161132812,648.174438476562,636.508728027344,625.722595214844,337.498474121094,326.741180419922,223.528030395508,222.916107177734,290.547943115234,555.032043457031,617.510131835938,546.919738769531,405.994659423828,464.438659667969,645.923828125,493.960815429688,315.603240966797,220.373077392578,253.314712524414,228.477294921875,422.122039794922,530.793823242188,541.583984375,604.1259765625,491.019226074219,735.547790527344,495.660278320312,745.161071777344,320.953308105469,295.580352783203,161.415344238281,134.596984863281,444.097045898438,515.823425292969,518.901000976562,650.465881347656
4,281,-5,373.518524169922,541.938537597656,520.005310058594,434.811401367188,297.269012451172,246.83088684082,145.358734130859,233.279373168945,332.595489501953,429.987976074219,443.086639404297,432.523712158203,372.670288085938,459.531982421875,477.767181396484,467.163818359375,383.725677490234,292.886932373047,261.158660888672,289.332580566406,283.485931396484,429.329406738281,519.784973144531,541.490539550781,368.368591308594,619.748107910156,427.388549804688,478.796844482422,416.097076416016,278.159912109375,207.754943847656,218.940505981445,282.95703125,463.820526123047,472.960144042969,409.874877929688,533.676147460938,590.335144042969,464.929046630859,407.195556640625,308.728424072266,254.643646240234,223.191177368164,157.573425292969,304.112487792969,326.447601318359,417.777038574219,506.066558837891,404.014221191406,450.486022949219,469.794036865234,416.164642333984,378.392730712891,199.868606567383,208.039978027344,198.668197631836,320.105407714844,377.567291259766,524.559753417969,496.532989501953,500.773895263672,324.950103759766,400.181518554688,490.754333496094,361.124267578125,270.596282958984,268.974670410156,243.790939331055,274.919281005859,479.564819335938,504.832305908203,532.4091796875,545.181762695312,419.617248535156,354.081939697266,385.614105224609,339.245361328125,243.744079589844,184.833526611328,217.013076782227,328.3984375,365.170867919922,443.230194091797,358.394866943359,372.168304443359,389.30810546875,582.648864746094,403.801330566406,298.796295166016,263.739410400391,190.606842041016,199.941909790039,358.853820800781,421.409332275391,374.233734130859,507.21044921875,440.317718505859,490.998443603516,427.100402832031,469.029357910156,303.121398925781,352.268676757812,281.561706542969,215.467544555664,253.449264526367,405.560974121094,480.458953857422,441.490600585938,290.822387695312,329.915893554688,444.369689941406,391.522216796875,322.288879394531,203.643646240234,230.369369506836,214.359024047852,331.241577148438,363.735656738281,420.015411376953,450.273193359375,379.770385742188,563.65673828125,351.177612304688,533.978149414062,363.836364746094,310.896636962891,219.411865234375,164.829849243164,357.699645996094,361.884826660156,394.626678466797,496.900573730469
5,281.25,-5,257.513885498047,390.14208984375,294.682525634766,242.005187988281,246.035675048828,247.617416381836,173.098007202148,237.603851318359,306.15771484375,288.694671630859,324.851623535156,300.023651123047,220.292205810547,303.210571289062,284.031127929688,241.821792602539,317.16015625,256.360443115234,328.92431640625,290.513671875,184.617095947266,299.581481933594,376.551208496094,415.763793945312,245.658203125,452.67578125,233.344665527344,302.648559570312,373.249908447266,337.070678710938,224.573226928711,216.110687255859,270.5947265625,400.158050537109,351.614624023438,324.212829589844,381.802612304688,417.843109130859,291.453674316406,251.465423583984,273.047515869141,257.706481933594,204.920806884766,164.527969360352,193.749847412109,163.679916381836,280.298767089844,346.978454589844,287.075286865234,277.17919921875,279.356689453125,256.210388183594,304.599731445312,211.006072998047,214.114501953125,181.07356262207,325.535552978516,264.197998046875,385.035369873047,364.736694335938,361.022277832031,193.007537841797,229.967544555664,294.883453369141,291.162963867188,278.049407958984,290.894805908203,248.949844360352,216.548095703125,402.208282470703,377.708160400391,432.202484130859,384.318786621094,257.576812744141,189.727462768555,213.555160522461,262.343475341797,241.443557739258,231.896179199219,221.314804077148,263.806732177734,158.051620483398,284.169342041016,259.287017822266,257.989959716797,234.015686035156,359.944641113281,287.862854003906,299.828704833984,265.676849365234,185.922988891602,192.420166015625,255.234283447266,274.286651611328,225.858032226562,363.541076660156,321.720275878906,333.822448730469,217.692047119141,312.336090087891,268.744323730469,377.796203613281,339.595428466797,208.018966674805,216.350570678711,256.089874267578,343.407745361328,336.061401367188,175.650115966797,195.393142700195,242.815551757812,289.083618164062,328.974517822266,186.914215087891,207.424041748047,200.240737915039,240.361114501953,196.677490234375,298.446838378906,296.420440673828,268.521514892578,391.765686035156,206.694961547852,322.795196533203,406.719421386719,326.212951660156,277.408386230469,195.062713623047,271.302215576172,207.946228027344,270.352325439453,343.335266113281
6,281.5,-5,352.868041992188,454.351196289062,380.710571289062,326.184478759766,334.787811279297,283.538116455078,214.031021118164,273.932922363281,346.295684814453,345.4716796875,398.048553466797,387.463165283203,290.661163330078,410.496337890625,399.301086425781,351.531066894531,383.339965820312,314.177276611328,324.706939697266,324.865539550781,238.777526855469,329.214416503906,430.269561767578,484.079650878906,315.584594726562,512.06201171875,358.809600830078,426.777221679688,420.555786132812,328.598175048828,250.895004272461,243.233047485352,310.435760498047,401.379791259766,407.730834960938,356.758209228516,454.726348876953,509.538543701172,392.966735839844,348.710662841797,326.3681640625,289.411865234375,244.816360473633,192.097564697266,291.751953125,276.863830566406,335.785797119141,420.729339599609,376.657409667969,349.374084472656,396.033996582031,358.908477783203,431.000701904297,271.41796875,238.139022827148,234.767669677734,383.889068603516,306.251586914062,410.646453857422,466.698486328125,421.496368408203,296.867462158203,314.076812744141,401.914367675781,337.355987548828,320.2177734375,305.782440185547,266.819854736328,270.745758056641,417.986602783203,428.3212890625,482.526092529297,457.198577880859,302.793762207031,327.947418212891,375.536651611328,332.158294677734,291.894348144531,251.175430297852,251.615539550781,323.714172363281,247.695083618164,336.019256591797,385.775085449219,350.151123046875,292.557037353516,433.992095947266,387.523956298828,326.390563964844,307.851898193359,205.247940063477,238.636016845703,298.41748046875,353.839782714844,306.066131591797,469.401519775391,382.242248535156,371.631622314453,345.490966796875,419.017974853516,336.412750244141,399.822479248047,347.324188232422,266.687194824219,287.804443359375,355.718444824219,397.499176025391,431.931182861328,242.463973999023,279.62646484375,339.542755126953,370.589080810547,356.266326904297,224.568618774414,254.861862182617,261.390594482422,308.697052001953,263.720031738281,374.522766113281,400.344635009766,355.128112792969,497.428497314453,317.547576904297,413.5107421875,423.999572753906,345.842926025391,290.950561523438,229.116302490234,322.258911132812,267.534881591797,353.168975830078,426.49365234375
7,281.75,-5,448.222198486328,518.560302734375,466.738586425781,410.363800048828,423.539978027344,319.458831787109,254.964050292969,310.261993408203,386.433685302734,402.248718261719,471.245513916016,474.902709960938,361.030120849609,517.782104492188,514.571044921875,461.240356445312,449.519775390625,371.994140625,320.489562988281,359.217407226562,292.937957763672,358.847351074219,483.987945556641,552.3955078125,385.510986328125,571.4482421875,484.274505615234,550.905883789062,467.861663818359,320.125701904297,277.216796875,270.355407714844,350.276824951172,402.601501464844,463.847076416016,389.303588867188,527.650085449219,601.234008789062,494.479766845703,445.955932617188,379.688812255859,321.117248535156,284.7119140625,219.667175292969,389.754058837891,390.047760009766,391.272857666016,494.480194091797,466.239532470703,421.568939208984,512.711303710938,461.606567382812,557.401672363281,331.829864501953,262.163543701172,288.461761474609,442.242584228516,348.30517578125,436.257507324219,568.660278320312,481.970489501953,400.727355957031,398.186065673828,508.9453125,383.549011230469,362.386138916016,320.670074462891,284.689849853516,324.943450927734,433.764923095703,478.934387207031,532.849731445312,530.078369140625,348.0107421875,466.167388916016,537.518127441406,401.97314453125,342.345153808594,270.454681396484,281.916290283203,383.621612548828,337.338562011719,387.869201660156,512.26318359375,442.312286376953,351.098388671875,508.03955078125,487.185089111328,352.952423095703,350.026947021484,224.572891235352,284.851867675781,341.600677490234,433.392944335938,386.274261474609,575.261901855469,442.764251708984,409.440795898438,473.289886474609,525.699829101562,404.081146240234,421.848754882812,355.052917480469,325.355377197266,359.258331298828,455.346984863281,451.590637207031,527.800903320312,309.27783203125,363.859771728516,436.269927978516,452.094512939453,383.55810546875,262.223022460938,302.299682617188,322.540435791016,377.032989501953,330.762573242188,450.598693847656,504.268859863281,441.734680175781,603.091369628906,428.400207519531,504.226318359375,441.279754638672,365.472900390625,304.492736816406,263.169891357422,373.215637207031,327.12353515625,435.985656738281,509.652008056641
8,282,-5,522.3388671875,569.881713867188,536.773132324219,478.187408447266,490.173370361328,350.499847412109,284.588806152344,340.900268554688,416.074157714844,453.304931640625,538.259155273438,550.251159667969,421.602111816406,599.825317382812,603.972961425781,551.62158203125,499.847839355469,418.946533203125,322.354431152344,389.358947753906,346.042755126953,387.759033203125,536.27587890625,611.283081054688,438.974548339844,614.585144042969,581.7158203125,643.750244140625,502.593353271484,315.561676025391,299.501403808594,295.535003662109,381.522369384766,407.739318847656,518.215393066406,426.499206542969,582.521484375,671.3603515625,582.830627441406,524.050720214844,422.828308105469,346.843627929688,319.988861083984,243.311859130859,467.322204589844,476.272094726562,445.584503173828,555.497985839844,536.026550292969,474.868774414062,603.663391113281,540.965270996094,656.434387207031,379.026062011719,280.713745117188,330.807525634766,488.468170166016,389.008972167969,468.223419189453,658.737426757812,527.232299804688,483.641387939453,461.588012695312,597.608093261719,419.080352783203,398.936889648438,334.473724365234,303.895751953125,372.710144042969,452.233306884766,525.714904785156,578.280090332031,589.560119628906,382.527038574219,570.55078125,662.698364257812,458.772277832031,381.198425292969,287.619598388672,307.746520996094,434.686767578125,408.931854248047,439.118682861328,617.35595703125,512.673645019531,398.062438964844,559.079406738281,566.620849609375,385.314758300781,381.679748535156,244.25439453125,321.458038330078,373.882141113281,493.89306640625,457.282653808594,668.848815917969,489.072540283203,434.0283203125,574.622253417969,607.35302734375,460.252288818359,435.240661621094,362.442108154297,371.888031005859,415.614074707031,534.505432128906,499.481414794922,602.526000976562,363.179534912109,426.503601074219,513.964172363281,515.039794921875,405.347595214844,295.206298828125,341.704681396484,370.681457519531,430.806091308594,388.690856933594,527.010009765625,589.649963378906,505.981414794922,680.118347167969,516.636901855469,572.324340820312,455.581756591797,381.437896728516,315.070861816406,287.889404296875,413.071166992188,377.431945800781,508.309814453125,581.096984863281
9,282.25,-5,504.426452636719,565.356750488281,537.502563476562,475.136352539062,460.958984375,360.395538330078,265.211029052734,346.878326416016,400.225433349609,479.570861816406,578.478454589844,573.205017089844,439.720764160156,572.484069824219,581.280151367188,558.247802734375,481.485046386719,418.819641113281,350.575714111328,401.255889892578,394.573028564453,413.545257568359,582.365478515625,629.314575195312,421.099243164062,587.308288574219,557.721618652344,601.029235839844,482.836883544922,327.934417724609,304.291717529297,312.295776367188,375.520751953125,429.846710205078,565.009338378906,483.845886230469,559.166137695312,648.020568847656,614.145324707031,519.16015625,421.849426269531,346.660980224609,335.251953125,249.948623657227,456.34326171875,445.671600341797,494.802795410156,561.339050292969,520.034851074219,446.290069580078,583.139404296875,519.186828613281,636.871154785156,368.954284667969,275.541961669922,323.977264404297,482.139312744141,423.86376953125,527.727111816406,697.314086914062,506.574066162109,475.789825439453,435.258178710938,606.675598144531,408.411041259766,411.14453125,343.580139160156,328.890472412109,392.609222412109,482.358825683594,555.887634277344,602.506286621094,590.983764648438,370.673828125,528.30908203125,628.406494140625,459.169921875,369.795684814453,295.622467041016,314.204620361328,447.435302734375,402.307678222656,487.766235351562,629.735961914062,488.569152832031,394.858184814453,510.41943359375,558.413269042969,442.812561035156,367.736267089844,265.481018066406,316.422332763672,358.922607421875,471.830230712891,488.425750732422,709.250305175781,473.787994384766,401.322021484375,561.266296386719,580.54833984375,466.601806640625,411.216949462891,368.359771728516,365.833312988281,406.544494628906,524.960144042969,520.502807617188,585.623962402344,361.128570556641,395.593017578125,509.182312011719,497.557861328125,403.293792724609,307.948089599609,346.300811767578,362.450988769531,421.473449707031,407.124206542969,604.874633789062,594.677734375,473.335296630859,633.056762695312,506.871154785156,542.413208007812,456.978363037109,381.521209716797,312.804901123047,272.161285400391,404.821472167969,387.525939941406,535.166442871094,601.78369140625
10,282.5,-5,486.514007568359,560.831787109375,538.23193359375,472.085296630859,431.744567871094,370.291198730469,245.833221435547,352.856384277344,384.376678466797,505.836761474609,618.697814941406,596.158874511719,457.839385986328,545.142822265625,558.587280273438,564.8740234375,463.122222900391,418.692779541016,378.796997070312,413.152801513672,443.103332519531,439.331481933594,628.455078125,647.346130371094,403.223937988281,560.031494140625,533.727355957031,558.308288574219,463.080383300781,340.307159423828,309.082061767578,329.056579589844,369.519134521484,451.954132080078,611.803344726562,541.192565917969,535.810791015625,624.680847167969,645.460021972656,514.269592285156,420.870574951172,346.478302001953,350.515045166016,256.585388183594,445.364318847656,415.071105957031,544.021118164062,567.180053710938,504.043151855469,417.711364746094,562.615417480469,497.408355712891,617.307922363281,358.882476806641,270.370178222656,317.147003173828,475.810424804688,458.718566894531,587.230773925781,735.890808105469,485.915863037109,467.938262939453,408.928344726562,615.743103027344,397.741729736328,423.352172851562,352.686553955078,353.885223388672,412.50830078125,512.484313964844,586.060363769531,626.732482910156,592.407409667969,358.820648193359,486.067413330078,594.114685058594,459.567596435547,358.392913818359,303.625305175781,320.662719726562,460.183837890625,395.683532714844,536.413818359375,642.115966796875,464.464691162109,391.653961181641,461.759521484375,550.205688476562,500.310333251953,353.792755126953,286.707611083984,311.386627197266,343.963104248047,449.767395019531,519.56884765625,749.651794433594,458.503448486328,368.61572265625,547.910278320312,553.74365234375,472.951324462891,387.193237304688,374.277435302734,359.778564453125,397.474884033203,515.414855957031,541.524169921875,568.721923828125,359.077606201172,364.682403564453,504.400451660156,480.075897216797,401.239959716797,320.689849853516,350.896942138672,354.220520019531,412.140808105469,425.557556152344,682.739196777344,599.705444335938,440.689178466797,585.995239257812,497.105438232422,512.502075195312,458.374938964844,381.604522705078,310.538940429688,256.433166503906,396.57177734375,397.619903564453,562.023071289062,622.470458984375
