,x,y,2000-01-01,2000-02-01,2000-03-01,2000-04-01,2000-05-01,2000-06-01,2000-07-01,2000-08-01,2000-09-01,2000-10-01,2000-11-01,2000-12-01,2001-01-01,2001-02-01,2001-03-01,2001-04-01,2001-05-01,2001-06-01,2001-07-01,2001-08-01,2001-09-01,2001-10-01,2001-11-01,2001-12-01,2002-01-01,2002-02-01,2002-03-01,2002-04-01,2002-05-01,2002-06-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01
1,280.25,-5,113.837913513184,345.533325195312,502.378845214844,152.07585144043,92.195686340332,33.8172416687012,24.0924777984619,12.961802482605,17.9210891723633,92.0165863037109,129.613632202148,173.189804077148,177.610046386719,415.562316894531,430.832641601562,293.388580322266,77.4966812133789,10.3613691329956,7.06999015808105,6.02791404724121,21.84157371521,83.1086959838867,94.7130126953125,240.208786010742,95.8643798828125,266.043273925781,385.649871826172,455.696228027344,105.623626708984,38.0460090637207,20.3537998199463,5.34970331192017,26.2018737792969,83.4689865112305,104.043167114258,82.5084838867188,99.4908294677734,366.729553222656,338.715637207031,419.856903076172,89.1066055297852,14.9214706420898,28.3863353729248,12.3356246948242,52.392261505127,182.073165893555,156.950393676758,70.6018142700195,100.13761138916,285.284729003906,423.930969238281,329.308258056641,149.916748046875,16.287956237793,7.92358827590942,9.378098487854,37.8146705627441,82.9433441162109,109.08935546875,125.96501159668,198.521301269531,242.072647094727,496.775787353516,253.198593139648,99.511589050293,17.2824153900146,8.39741516113281,8.63032150268555,24.8223266601562,59.2732963562012,89.1411895751953,289.458984375,185.345947265625,407.088623046875,347.138336181641,376.802978515625,92.6887512207031,13.9846277236938,8.57275485992432,5.50384140014648,31.6249198913574,88.2798538208008,105.241027832031,235.462783813477,307.224487304688,433.58154296875,541.587219238281,312.048400878906,104.202667236328,37.8502388000488,12.2432069778442,11.8530054092407,53.2469253540039,63.2188339233398,78.6980438232422,201.819961547852,420.360809326172,339.717956542969,545.619140625,259.085174560547,45.2692985534668,44.6539535522461,6.40658235549927,6.63751935958862,9.95382022857666,139.638244628906,210.41650390625,124.019683837891,175.880249023438,453.357025146484,450.202819824219,198.687835693359,119.343170166016,45.1177825927734,8.75807571411133,12.0522260665894,23.1983375549316,35.8998222351074,237.945068359375,179.306427001953,146.329742431641,259.19775390625,357.505584716797,164.989685058594,78.6918716430664,27.4745941162109,15.2757234573364,26.9873142242432,14.7198581695557,125.356254577637,114.770355224609,95.9722137451172
2,280.5,-5,117.348602294922,311.383972167969,454.273529052734,158.665222167969,101.10391998291,35.6942024230957,27.2732353210449,15.4124002456665,21.0767002105713,112.34349822998,144.762832641602,196.541915893555,187.596740722656,391.879913330078,438.052947998047,254.092910766602,82.1439819335938,12.2664632797241,8.47686100006104,7.18057489395142,26.9819641113281,98.4314651489258,112.17741394043,273.093994140625,107.601860046387,267.890228271484,356.695190429688,438.839630126953,113.303405761719,44.0596809387207,23.8157005310059,6.28491878509521,31.2335968017578,101.581764221191,123.920654296875,96.4001235961914,112.029098510742,359.115905761719,329.915100097656,417.054962158203,100.792007446289,17.731632232666,31.8707542419434,15.1820306777954,63.4526672363281,209.55696105957,176.718673706055,83.925651550293,110.530303955078,272.573486328125,402.914886474609,330.990356445312,168.48649597168,17.8941802978516,9.59737968444824,10.9894094467163,44.7067108154297,101.898483276367,124.593269348145,141.804885864258,205.464202880859,242.437042236328,473.437866210938,280.251403808594,110.179443359375,19.2729301452637,9.97396945953369,10.3913040161133,30.5700416564941,73.6044311523438,104.737411499023,321.592803955078,199.528335571289,360.903259277344,349.937866210938,350.634246826172,97.171501159668,16.5667686462402,10.3671646118164,6.48212814331055,37.3735694885254,105.59659576416,121.546836853027,261.9501953125,303.688293457031,375.531951904297,470.079620361328,286.130004882812,114.387413024902,46.3355979919434,14.8259286880493,14.3235301971436,62.0417060852051,77.2397613525391,96.952018737793,231.869247436523,390.308258056641,337.455841064453,494.664916992188,261.723022460938,51.0956573486328,48.4040107727051,7.50951337814331,7.9408130645752,12.3987474441528,160.796920776367,240.059234619141,135.911056518555,174.203857421875,403.802215576172,422.244293212891,195.187301635742,133.607391357422,50.7480316162109,10.4048442840576,14.5458421707153,27.5056953430176,41.0322113037109,259.277679443359,195.048278808594,153.034698486328,234.874862670898,302.399993896484,156.747772216797,88.9704132080078,32.0175857543945,18.4802417755127,30.6503734588623,18.2771186828613,142.392608642578,140.914108276367,113.383728027344
3,280.75,-5,115.477897644043,283.737213134766,417.47216796875,163.280319213867,109.948402404785,38.5020637512207,29.9865875244141,18.9183082580566,25.8944492340088,129.790466308594,154.020492553711,207.903457641602,189.739486694336,370.135070800781,428.418853759766,232.763626098633,87.8441009521484,14.3861246109009,10.2149848937988,8.51253795623779,33.1462135314941,110.21118927002,124.362602233887,294.990356445312,110.432708740234,264.805572509766,327.986236572266,414.535461425781,121.300666809082,49.8405609130859,26.322135925293,7.50662183761597,37.3338775634766,119.099250793457,142.733337402344,107.042747497559,123.478439331055,339.100433349609,310.349182128906,416.920989990234,116.34920501709,20.7061767578125,34.2194747924805,18.0620555877686,72.3801040649414,227.112869262695,191.351638793945,91.0619354248047,112.901985168457,257.005859375,378.390655517578,329.362945556641,188.235153198242,20.3031539916992,11.0466346740723,12.957914352417,50.3596839904785,118.376678466797,140.919067382812,147.151138305664,202.881637573242,239.464080810547,450.771423339844,296.297607421875,121.062141418457,22.4563903808594,11.3746109008789,12.925651550293,36.3143730163574,83.8917083740234,116.91259765625,343.869750976562,198.822998046875,317.921325683594,347.038879394531,330.345764160156,104.597717285156,20.3725261688232,12.5192766189575,7.74124813079834,47.6809005737305,118.827270507812,131.679168701172,272.404968261719,295.582885742188,326.093017578125,428.674652099609,271.169036865234,121.245071411133,54.9311714172363,17.2523307800293,17.4105987548828,69.7321624755859,91.8228225708008,113.267250061035,247.459609985352,365.034088134766,330.256805419922,451.916564941406,270.108306884766,56.8227882385254,53.3492393493652,8.3533239364624,9.78329086303711,16.0480899810791,177.200042724609,256.625,144.621429443359,168.36474609375,362.320129394531,388.395050048828,191.775039672852,143.447219848633,56.3171424865723,11.9506187438965,17.5153560638428,33.7327651977539,44.2711791992188,269.814025878906,199.496047973633,151.678268432617,212.094543457031,266.321014404297,154.228637695312,98.2843322753906,37.9472694396973,22.1986751556396,35.1390838623047,22.1686954498291,168.108215332031,161.674209594727,122.752449035645
4,281,-5,108.225799560547,262.592987060547,391.974731445312,165.921142578125,118.729125976562,42.2408294677734,32.2325325012207,23.4795265197754,32.3743362426758,144.357498168945,157.386596679688,207.2744140625,184.038284301758,350.327819824219,401.930358886719,229.40071105957,94.5970458984375,16.7203521728516,12.2843618392944,10.0238046646118,40.3343200683594,118.447875976562,131.268600463867,305.897857666016,104.35693359375,256.789306640625,299.523010253906,382.78369140625,129.615386962891,55.3886489868164,27.873104095459,9.01481246948242,44.5027160644531,136.021469116211,160.481216430664,114.43635559082,133.838851928711,306.683044433594,280.017822265625,419.455017089844,135.778198242188,23.845100402832,35.4324913024902,20.975700378418,79.1745834350586,234.740905761719,200.849273681641,92.0106658935547,107.252655029297,238.58186340332,350.358215332031,324.425964355469,209.162719726562,23.5148811340332,12.2713527679443,15.2836132049561,54.7735862731934,132.3779296875,158.06672668457,142.003784179688,190.773635864258,233.153778076172,428.776489257812,301.337158203125,132.159683227539,26.832799911499,12.5993413925171,16.2333641052246,42.0553207397461,90.135139465332,125.66675567627,356.289886474609,183.229904174805,278.142822265625,338.441314697266,315.9375,114.967399597168,25.4018993377686,15.0290908813477,9.28120136260986,62.5469169616699,127.971893310547,135.638031005859,266.827087402344,282.908203125,285.264739990234,417.372344970703,267.165557861328,124.775634765625,63.6369590759277,19.5224132537842,21.1142101287842,76.3182907104492,106.968002319336,127.64372253418,248.591064453125,344.538330078125,318.120819091797,417.374053955078,284.241027832031,62.4506912231445,59.4896392822266,8.93801403045654,12.1649522781372,20.9018478393555,188.847610473633,260.113800048828,150.150787353516,158.362915039062,328.910797119141,348.655090332031,188.45100402832,148.862655639648,61.8251190185547,13.3954010009766,20.9607677459717,41.8795471191406,45.6167182922363,269.554077148438,192.64973449707,142.260467529297,190.856796264648,249.268615722656,157.432266235352,106.63362121582,45.2636489868164,26.4310245513916,40.4534454345703,26.3945903778076,202.503067016602,177.050643920898,124.078369140625
5,281.25,-5,100.973701477051,241.448760986328,366.477294921875,168.561950683594,127.509857177734,45.9795913696289,34.4784774780273,28.0407447814941,38.8542213439941,158.924514770508,160.752700805664,206.645370483398,178.33708190918,330.520568847656,375.441864013672,226.037780761719,101.349990844727,19.0545806884766,14.35373878479,11.5350713729858,47.5224266052246,126.684562683105,138.174591064453,316.805389404297,98.2811584472656,248.773056030273,271.059783935547,351.031921386719,137.930114746094,60.9367408752441,29.4240741729736,10.5230026245117,51.6715545654297,152.94367980957,178.229110717773,121.829956054688,144.199264526367,274.265686035156,249.686462402344,421.989013671875,155.20719909668,26.9840240478516,36.6455116271973,23.8893432617188,85.9690551757812,242.368942260742,210.346923828125,92.9593963623047,101.603317260742,220.157867431641,322.325775146484,319.488983154297,230.090286254883,26.7266063690186,13.4960708618164,17.6093120574951,59.1874847412109,146.379165649414,175.214401245117,136.8564453125,178.665618896484,226.843475341797,406.781555175781,306.376708984375,143.257232666016,31.2092094421387,13.8240718841553,19.5410766601562,47.7962684631348,96.3785781860352,134.420913696289,368.710021972656,167.636810302734,238.364349365234,329.843780517578,301.529235839844,125.33708190918,30.4312705993652,17.5389060974121,10.8211536407471,77.4129333496094,137.116516113281,139.596878051758,261.249237060547,270.233520507812,244.436462402344,406.070037841797,263.162078857422,128.306198120117,72.3427429199219,21.7924957275391,24.8178234100342,82.9044189453125,122.113182067871,142.020202636719,249.722518920898,324.042572021484,305.98486328125,382.83154296875,298.373718261719,68.0785903930664,65.6300430297852,9.522705078125,14.5466136932373,25.7556037902832,200.495178222656,263.602600097656,155.680160522461,148.361083984375,295.501495361328,308.915130615234,185.126983642578,154.278106689453,67.3330917358398,14.8401832580566,24.4061794281006,50.0263290405273,46.9622573852539,269.294189453125,185.803405761719,132.842666625977,169.619049072266,232.216201782227,160.635894775391,114.982917785645,52.5800285339355,30.6633739471436,45.7678108215332,30.6204853057861,236.897918701172,192.427093505859,125.404289245605
6,281.5,-5,93.7216033935547,220.304534912109,340.979858398438,171.202758789062,136.290588378906,49.7183532714844,36.7244186401367,32.6019630432129,45.3341064453125,173.491546630859,164.118804931641,206.016342163086,172.635879516602,310.713348388672,348.953369140625,222.674865722656,108.102935791016,21.3888072967529,16.42311668396,13.0463380813599,54.7105369567871,134.921249389648,145.080581665039,327.712890625,92.2053909301758,240.756790161133,242.596572875977,319.280120849609,146.244842529297,66.4848251342773,30.9750442504883,12.0311937332153,58.8403968811035,169.86589050293,195.976989746094,129.223571777344,154.559677124023,241.848342895508,219.355102539062,424.523010253906,174.636184692383,30.1229496002197,37.858528137207,26.8029880523682,92.7635269165039,249.996978759766,219.84455871582,93.9081344604492,95.953987121582,201.73388671875,294.293334960938,314.552001953125,251.017852783203,29.9383335113525,14.7207880020142,19.9350128173828,63.6013870239258,160.380416870117,192.362075805664,131.709091186523,166.5576171875,220.533187866211,384.78662109375,311.416290283203,154.354766845703,35.5856170654297,15.0488023757935,22.8487911224365,53.5372161865234,102.622009277344,143.175064086914,381.130126953125,152.043716430664,198.585861206055,321.246215820312,287.121002197266,135.706756591797,35.4606437683105,20.0487194061279,12.3611068725586,92.2789535522461,146.261138916016,143.555740356445,255.671371459961,257.558837890625,203.608184814453,394.767730712891,259.158569335938,131.836761474609,81.0485305786133,24.0625762939453,28.5214347839355,89.4905548095703,137.258361816406,156.396682739258,250.853973388672,303.546783447266,293.848907470703,348.289031982422,312.506439208984,73.7064971923828,71.7704467773438,10.1073951721191,16.9282741546631,30.6093616485596,212.142761230469,267.091400146484,161.209518432617,138.359252929688,262.092163085938,269.175170898438,181.802978515625,159.693542480469,72.8410720825195,16.2849655151367,27.8515911102295,58.1731109619141,48.3077964782715,269.034240722656,178.957092285156,123.424865722656,148.381301879883,215.163803100586,163.839538574219,123.332214355469,59.8964080810547,34.8957214355469,51.0821723937988,34.846378326416,271.292785644531,207.803527832031,126.730209350586
7,281.75,-5,86.4695053100586,199.160308837891,315.482421875,173.84358215332,145.071304321289,53.4571151733398,38.9703636169434,37.1631813049316,51.8139915466309,188.058563232422,167.484909057617,205.387298583984,166.934677124023,290.906097412109,322.464874267578,219.311950683594,114.855880737305,23.7230358123779,18.4924926757812,14.5576047897339,61.8986434936523,143.157943725586,151.986572265625,338.620422363281,86.1296157836914,232.740524291992,214.133346557617,287.528350830078,154.5595703125,72.0329208374023,32.5260124206543,13.5393838882446,66.0092315673828,186.788101196289,213.724868774414,136.617172241211,164.92008972168,209.43098449707,189.023742675781,427.057037353516,194.065185546875,33.2618713378906,39.0715484619141,29.7166328430176,99.5580062866211,257.625030517578,229.342208862305,94.8568649291992,90.3046493530273,183.30989074707,266.260925292969,309.615020751953,271.945434570312,33.1500587463379,15.9455060958862,22.2607116699219,68.0152893066406,174.38166809082,209.509750366211,126.561752319336,154.449615478516,214.222885131836,362.791687011719,316.455841064453,165.45231628418,39.962028503418,16.2735328674316,26.1565036773682,59.2781639099121,108.865440368652,151.929229736328,393.550262451172,136.450622558594,158.807373046875,312.648681640625,272.712738037109,146.076446533203,40.4900169372559,22.5585346221924,13.9010591506958,107.144966125488,155.40576171875,147.514587402344,250.093521118164,244.884155273438,162.779907226562,383.465423583984,255.155090332031,135.367324829102,89.7543182373047,26.3326587677002,32.2250480651855,96.0766830444336,152.403533935547,170.773162841797,251.985427856445,283.051025390625,281.712921142578,313.746520996094,326.63916015625,79.3343963623047,77.9108505249023,10.6920852661133,19.3099365234375,35.4631195068359,223.790328979492,270.580200195312,166.738876342773,128.357421875,228.682846069336,229.435195922852,178.478958129883,165.108978271484,78.3490447998047,17.7297477722168,31.2970027923584,66.3198928833008,49.6533355712891,268.774353027344,172.110778808594,114.007064819336,127.143562316895,198.111404418945,167.043167114258,131.681503295898,67.2127838134766,39.1280708312988,56.3965377807617,39.0722732543945,305.687622070312,223.179962158203,128.056137084961
8,282,-5,80.5757827758789,191.421203613281,295.027862548828,181.41796875,160.627151489258,58.5249710083008,41.3402900695801,42.8728942871094,58.4705009460449,194.792373657227,169.643371582031,205.893341064453,159.586273193359,278.268249511719,296.752716064453,223.689849853516,125.311904907227,25.6086330413818,20.4241046905518,16.2629680633545,68.135627746582,149.102172851562,157.606338500977,340.340423583984,84.4401168823242,223.974334716797,194.647659301758,270.22021484375,169.395858764648,76.9250640869141,34.3706398010254,15.5287628173828,72.1767730712891,195.009704589844,227.260131835938,142.26042175293,172.987106323242,189.226776123047,172.562316894531,422.598327636719,212.898056030273,36.007942199707,41.4724159240723,32.9098815917969,106.01530456543,261.591766357422,238.368301391602,92.7596893310547,83.3753356933594,169.861801147461,247.853942871094,306.927551269531,294.312408447266,36.87060546875,16.6656150817871,24.9296989440918,72.185791015625,181.440994262695,224.34619140625,125.105583190918,147.186874389648,207.675064086914,343.172058105469,322.974182128906,182.561752319336,46.5086326599121,18.1778240203857,31.2918682098389,64.1002349853516,113.111190795898,162.698486328125,398.529388427734,123.905288696289,137.001281738281,302.882568359375,261.740386962891,156.968414306641,45.1233062744141,24.4260005950928,15.3410301208496,117.871284484863,158.772186279297,149.889007568359,246.77099609375,237.175552368164,141.998992919922,379.901824951172,251.914489746094,137.94465637207,96.4242858886719,29.8665523529053,36.6988067626953,104.715744018555,160.910507202148,176.342636108398,247.858047485352,275.011657714844,276.609832763672,287.573059082031,335.370635986328,84.004508972168,83.7988128662109,12.327826499939,22.0875797271729,39.9527816772461,226.149322509766,272.905822753906,179.612655639648,126.431205749512,211.282852172852,201.344436645508,177.427322387695,173.603439331055,84.8303985595703,19.7342014312744,36.602367401123,74.7567291259766,51.5626525878906,269.557312011719,167.58772277832,116.356185913086,112.002388000488,185.660934448242,172.424652099609,138.601531982422,74.4629592895508,44.3226051330566,61.7019958496094,42.9861297607422,317.053009033203,230.348052978516,125.130958557129
9,282.25,-5,76.0404281616211,197.08723449707,279.616180419922,193.925964355469,182.958099365234,64.9219207763672,43.8341941833496,49.7310981750488,65.3036422729492,193.692962646484,170.594192504883,207.534454345703,150.590682983398,272.799835205078,271.816925048828,235.808547973633,139.471008300781,27.045597076416,22.2179527282715,18.162425994873,73.4214859008789,152.753967285156,161.939910888672,332.872955322266,87.1368942260742,214.458221435547,184.139495849609,267.355682373047,190.753707885742,81.1612701416016,36.5089263916016,17.9993305206299,77.3430023193359,194.530731201172,236.582763671875,146.153305053711,178.760726928711,181.235717773438,169.970825195312,411.146942138672,231.134811401367,38.3611526489258,45.0611381530762,36.382740020752,112.135437011719,261.897247314453,246.9228515625,87.6166000366211,75.1660461425781,161.389602661133,239.072448730469,306.489624023438,318.118774414062,41.0999755859375,16.8811149597168,27.9419746398926,76.1128921508789,181.558395385742,236.87141418457,127.340599060059,144.769424438477,200.889709472656,325.927764892578,330.971282958984,205.68310546875,55.2254333496094,20.7616786956787,38.2548828125,68.0034332275391,115.359252929688,175.482864379883,396.067535400391,114.407699584961,133.167587280273,291.947906494141,254.203979492188,168.382675170898,49.3605079650879,25.6511173248291,16.6810169219971,124.457901000977,156.360427856445,150.678985595703,245.703796386719,234.433044433594,141.265472412109,384.076904296875,249.436782836914,139.568756103516,101.05842590332,34.6642608642578,41.9427108764648,115.407737731934,162.779266357422,173.105102539062,238.47184753418,279.428649902344,278.539642333984,269.768676757812,338.700897216797,87.7168350219727,89.4343490600586,15.0146179199219,25.2612056732178,44.0783462524414,219.219757080078,274.068298339844,199.830825805664,132.580596923828,209.892211914062,184.902893066406,178.648071289062,185.17692565918,92.2851181030273,22.2983245849609,43.7676849365234,83.4836120605469,54.0357475280762,271.383148193359,165.387954711914,130.472213745117,102.957794189453,177.812423706055,179.983978271484,144.092315673828,81.6469345092773,50.4793243408203,66.9985504150391,46.5879516601562,305.388946533203,229.30778503418,117.954689025879
10,282.5,-5,71.5050735473633,202.75325012207,264.204467773438,206.433944702148,205.289047241211,71.3188705444336,46.3281021118164,56.5893058776855,72.1367797851562,192.593536376953,171.545013427734,209.175567626953,141.595092773438,267.331390380859,246.881134033203,247.927261352539,153.630126953125,28.4825611114502,24.0118007659912,20.0618839263916,78.7073440551758,156.40576171875,166.273468017578,325.405487060547,89.8336715698242,204.942108154297,173.63134765625,264.491180419922,212.111541748047,85.3974685668945,38.6472129821777,20.4698963165283,82.5092315673828,194.051742553711,245.905395507812,150.046188354492,184.534332275391,173.244659423828,167.379333496094,399.695556640625,249.371566772461,40.7143630981445,48.6498603820801,39.855598449707,118.255569458008,262.202697753906,255.477386474609,82.4735107421875,66.9567565917969,152.917419433594,230.290954589844,306.051696777344,341.925170898438,45.3293418884277,17.0966148376465,30.954252243042,80.0399932861328,181.675796508789,249.396636962891,129.575622558594,142.351974487305,194.104370117188,308.683471679688,338.968414306641,228.804443359375,63.9422340393066,23.345531463623,45.2178993225098,71.9066314697266,117.607322692871,188.267227172852,393.605682373047,104.910110473633,129.333892822266,281.013244628906,246.667572021484,179.796936035156,53.5977172851562,26.8762340545654,18.0210056304932,131.044509887695,153.948654174805,151.468963623047,244.636611938477,231.690521240234,140.531936645508,388.252014160156,246.959075927734,141.192840576172,105.692565917969,39.4619674682617,47.1866149902344,126.099731445312,164.648040771484,169.867584228516,229.085647583008,283.845672607422,280.469451904297,251.964248657227,342.031127929688,91.4291687011719,95.0698852539062,17.7014102935791,28.4348316192627,48.2039108276367,212.290176391602,275.230773925781,220.04899597168,138.72998046875,208.501556396484,168.461334228516,179.86882019043,196.750396728516,99.7398376464844,24.8624496459961,50.9330024719238,92.2105026245117,56.5088424682617,273.208984375,163.188186645508,144.588256835938,93.9131927490234,169.963897705078,187.543304443359,149.583084106445,88.8309020996094,56.6360397338867,72.2951126098633,50.189769744873,293.724884033203,228.267517089844,110.778427124023
