,x,y,2000-01-01,2000-02-01,2000-03-01,2000-04-01,2000-05-01,2000-06-01,2000-07-01,2000-08-01,2000-09-01,2000-10-01,2000-11-01,2000-12-01,2001-01-01,2001-02-01,2001-03-01,2001-04-01,2001-05-01,2001-06-01,2001-07-01,2001-08-01,2001-09-01,2001-10-01,2001-11-01,2001-12-01,2002-01-01,2002-02-01,2002-03-01,2002-04-01,2002-05-01,2002-06-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01
1,280.25,-5,62.016716003418,81.9173355102539,220.077819824219,171.804244995117,40.8230667114258,20.512975692749,2.20572876930237,2.44287538528442,25.7019443511963,64.5168533325195,58.376392364502,59.9566192626953,163.072647094727,213.388412475586,237.32861328125,49.2451553344727,30.8090724945068,8.61917591094971,12.1438474655151,4.51880216598511,5.61286592483521,32.4832420349121,37.6376876831055,18.2170028686523,25.6574668884277,77.3899383544922,215.972549438477,48.6515235900879,38.4470176696777,5.01164197921753,0.642098426818848,1.32916212081909,14.6293087005615,38.2643547058105,22.6286525726318,56.4461059570312,123.928192138672,88.7179183959961,179.935836791992,91.4415969848633,35.3761444091797,5.18886089324951,6.45236539840698,1.88220870494843,10.0440940856934,54.8523330688477,33.9570388793945,89.0035400390625,48.2696418762207,49.4867134094238,183.696441650391,169.277297973633,15.0735015869141,9.43191242218018,5.06122732162476,3.34571146965027,6.60751342773438,15.5692930221558,36.3584327697754,93.2717895507812,130.178558349609,66.9676284790039,89.5888900756836,88.1739807128906,98.5251541137695,4.60063886642456,6.36923599243164,6.58391094207764,8.50404262542725,41.1662178039551,16.9529781341553,9.20102119445801,54.5846748352051,206.331649780273,128.197616577148,120.323226928711,32.2724685668945,7.46294641494751,0.396453946828842,0.272756159305573,5.91717672348022,18.9606418609619,24.4257965087891,41.4304695129395,91.879020690918,146.243087768555,150.862548828125,71.0602569580078,23.9358692169189,7.81405448913574,9.09197044372559,1.50552344322205,16.498363494873,27.8189163208008,6.7179069519043,37.6029014587402,120.355026245117,46.9456443786621,174.520080566406,171.413101196289,11.1408834457397,4.88094520568848,1.3774254322052,4.83157444000244,5.16600465774536,18.4460563659668,11.7976760864258,53.7403373718262,34.2738914489746,89.6630477905273,126.59391784668,205.812713623047,25.2675876617432,7.14214897155762,2.72537779808044,5.60327768325806,6.69169569015503,8.49245834350586,27.3103733062744,15.6166954040527,125.890655517578,161.885452270508,67.1728668212891,63.5439071655273,39.8498306274414,5.38835096359253,12.5715188980103,2.77601909637451,15.1821737289429,52.0180816650391,18.4713153839111,42.8109741210938
2,280.5,-5,83.7006607055664,97.4025802612305,241.934173583984,195.599807739258,57.6818351745605,30.1136074066162,4.39642667770386,4.80963850021362,33.1796722412109,87.3232192993164,77.233283996582,82.5651092529297,179.301010131836,219.422271728516,251.780670166016,71.002067565918,45.5969429016113,16.3266143798828,19.650260925293,8.5554780960083,10.9140024185181,45.8953437805176,64.1748199462891,33.3989105224609,36.9200019836426,95.6514282226562,237.768264770508,60.6811714172363,51.5902481079102,9.98419952392578,1.27028715610504,2.64513897895813,22.3259391784668,57.3869934082031,35.3388061523438,79.5957412719727,139.578018188477,101.003860473633,182.056518554688,110.706390380859,48.0145721435547,10.3293714523315,11.1414041519165,3.7341160774231,16.9138317108154,79.2685928344727,56.6173439025879,113.89266204834,65.8990783691406,63.0077629089355,198.021377563477,175.213790893555,25.4626865386963,17.4892864227295,10.0862560272217,6.66470432281494,13.1492528915405,29.0987319946289,50.4205017089844,113.352928161621,141.840469360352,80.4315872192383,116.115196228027,103.055038452148,107.490821838379,8.27637004852295,12.5421915054321,13.084813117981,14.7869510650635,62.4345169067383,28.7865428924561,12.1387615203857,65.7081146240234,222.988800048828,149.769973754883,142.451187133789,42.7727127075195,13.4115810394287,0.786022484302521,0.541554510593414,11.4683208465576,29.0086002349854,37.2667846679688,61.0348854064941,104.357269287109,159.970794677734,163.805816650391,82.9860229492188,40.3458213806152,12.0293455123901,15.1792402267456,2.99217247962952,27.9389533996582,50.0082740783691,12.4353790283203,54.7359085083008,145.124954223633,52.0579528808594,209.438461303711,195.798263549805,19.5002670288086,9.69135189056396,2.73607349395752,8.87496852874756,10.2146120071411,27.9757862091064,19.7799644470215,81.2299194335938,49.3159408569336,110.636291503906,147.581207275391,218.057968139648,37.1281318664551,13.6075534820557,5.40822839736938,10.9258766174316,12.6225681304932,15.2113132476807,46.2232551574707,21.9617042541504,145.536407470703,167.952301025391,85.8779220581055,89.7619705200195,63.0573883056641,9.62738132476807,22.7184524536133,5.51463270187378,24.6090126037598,70.0028381347656,28.4454765319824,68.5218200683594
3,280.75,-5,105.384605407715,112.887825012207,263.79052734375,219.395370483398,74.5406036376953,39.7142372131348,6.58712482452393,7.17640209197998,40.6574020385742,110.129585266113,96.0901794433594,105.17359161377,195.529373168945,225.456115722656,266.232727050781,92.7589797973633,60.3848114013672,24.0340538024902,27.1566734313965,12.5921535491943,16.2151374816895,59.307445526123,90.7119522094727,48.5808181762695,48.1825408935547,113.912925720215,259.56396484375,72.7108154296875,64.7334747314453,14.9567565917969,1.89847576618195,3.96111583709717,30.0225715637207,76.5096282958984,48.0489616394043,102.745376586914,155.227828979492,113.28980255127,184.177200317383,129.971176147461,60.6529998779297,15.4698829650879,15.8304414749146,5.58602333068848,23.7835693359375,103.684844970703,79.2776489257812,138.781799316406,83.5285186767578,76.52880859375,212.346313476562,181.150299072266,35.8518714904785,25.5466613769531,15.1112852096558,9.98369693756104,19.6909923553467,42.6281700134277,64.4825744628906,133.434051513672,153.502380371094,93.8955459594727,142.641510009766,117.936096191406,116.456481933594,11.9521007537842,18.7151470184326,19.58571434021,21.069860458374,83.7028121948242,40.6201095581055,15.0765018463135,76.8315505981445,239.645950317383,171.342330932617,164.579147338867,53.2729530334473,19.3602142333984,1.17559099197388,0.810352861881256,17.0194644927979,39.0565567016602,50.1077728271484,80.6393051147461,116.835517883301,173.698501586914,176.749084472656,94.9117965698242,56.7557754516602,16.2446365356445,21.266508102417,4.47882127761841,39.3795433044434,72.1976318359375,18.1528511047363,71.8689117431641,169.894882202148,57.1702613830566,244.356842041016,220.18342590332,27.8596515655518,14.5017585754395,4.09472131729126,12.9183626174927,15.2632188796997,37.5055160522461,27.7622528076172,108.719497680664,64.3579864501953,131.609527587891,168.568511962891,230.303207397461,48.9886817932129,20.0729579925537,8.09107875823975,16.2484760284424,18.5534400939941,21.9301662445068,65.1361312866211,28.306713104248,165.182144165039,174.019149780273,104.582984924316,115.980041503906,86.2649459838867,13.8664121627808,32.8653831481934,8.25324630737305,34.0358505249023,87.9875869750977,38.4196357727051,94.2326583862305
4,281,-5,127.068542480469,128.373077392578,285.646881103516,243.19091796875,91.3993682861328,49.3148651123047,8.77782249450684,9.54316520690918,48.1351318359375,132.935958862305,114.947067260742,127.782081604004,211.757736206055,231.489974975586,280.684783935547,114.515892028809,75.1726837158203,31.7414932250977,34.6630859375,16.6288299560547,21.5162754058838,72.7195434570312,117.249084472656,63.7627258300781,59.4450759887695,132.174423217773,281.359680175781,84.7404632568359,77.8767013549805,19.929313659668,2.52666449546814,5.27709293365479,37.7192039489746,95.6322631835938,60.7591133117676,125.895011901855,170.877655029297,125.575736999512,186.297882080078,149.235977172852,73.2914276123047,20.6103935241699,20.5194797515869,7.43793058395386,30.6533069610596,128.101104736328,101.937950134277,163.670928955078,101.157958984375,90.0498580932617,226.671249389648,187.086807250977,46.2410545349121,33.6040344238281,20.1363143920898,13.3026895523071,26.2327308654785,56.1576080322266,78.5446395874023,153.515182495117,165.164291381836,107.359497070312,169.167816162109,132.817153930664,125.422142028809,15.6278324127197,24.8881015777588,26.0866165161133,27.3527679443359,104.971115112305,52.4536743164062,18.0142421722412,87.9549865722656,256.303100585938,192.914688110352,186.707107543945,63.7731971740723,25.3088493347168,1.56515955924988,1.07915127277374,22.5706100463867,49.1045150756836,62.9487609863281,100.243721008301,129.313766479492,187.426208496094,189.692352294922,106.83757019043,73.1657333374023,20.4599266052246,27.3537769317627,5.96547079086304,50.8201332092285,94.3869857788086,23.8703231811523,89.0019226074219,194.664810180664,62.2825698852539,279.275207519531,244.568588256836,36.2190361022949,19.3121643066406,5.45336961746216,16.9617557525635,20.3118267059326,47.0352478027344,35.7445411682129,136.209075927734,79.400032043457,152.582763671875,189.555801391602,242.548461914062,60.8492279052734,26.5383644104004,10.7739295959473,21.5710754394531,24.4843120574951,28.6490211486816,84.0490112304688,34.6517219543457,184.827880859375,180.086013793945,123.288040161133,142.198104858398,109.472503662109,18.1054420471191,43.0123176574707,10.9918594360352,43.4626922607422,105.972343444824,48.3937950134277,119.943504333496
5,281.25,-5,148.752487182617,143.858322143555,307.503234863281,266.986480712891,108.25813293457,58.9154968261719,10.9685201644897,11.9099292755127,55.6128616333008,155.742324829102,133.803955078125,150.390563964844,227.986099243164,237.523818969727,295.136840820312,136.272796630859,89.9605560302734,39.4489326477051,42.1694984436035,20.6655044555664,26.8174114227295,86.1316452026367,143.786224365234,78.9446334838867,70.7076110839844,150.435913085938,303.155395507812,96.7701110839844,91.0199356079102,24.9018707275391,3.15485334396362,6.59306955337524,45.4158325195312,114.754898071289,73.4692687988281,149.044647216797,186.527481079102,137.861679077148,188.418563842773,168.500762939453,85.9298553466797,25.7509059906006,25.208517074585,9.28983783721924,37.5230445861816,152.517349243164,124.598251342773,188.560043334961,118.787399291992,103.570907592773,240.996185302734,193.023300170898,56.6302375793457,41.6614074707031,25.1613426208496,16.6216831207275,32.774471282959,69.6870422363281,92.6067123413086,173.596313476562,176.826202392578,120.823455810547,195.694137573242,147.698211669922,134.387802124023,19.3035640716553,31.061056137085,32.587516784668,33.6356773376465,126.239418029785,64.287239074707,20.9519824981689,99.0784225463867,272.960235595703,214.487030029297,208.835067749023,74.2734375,31.2574844360352,1.95472812652588,1.34794962406158,28.121753692627,59.152473449707,75.7897491455078,119.848136901855,141.792007446289,201.153915405273,202.635620117188,118.763336181641,89.57568359375,24.6752166748047,33.441047668457,7.45211982727051,62.2607192993164,116.576347351074,29.5877933502197,106.134925842285,219.43473815918,67.3948822021484,314.193603515625,268.953765869141,44.5784187316895,24.1225719451904,6.8120174407959,21.0051498413086,25.3604335784912,56.5649757385254,43.7268295288086,163.698654174805,94.4420776367188,173.555999755859,210.543106079102,254.793701171875,72.7097778320312,33.0037689208984,13.4567804336548,26.8936748504639,30.4151859283447,35.3678741455078,102.961891174316,40.9967308044434,204.4736328125,186.152862548828,141.993103027344,168.416168212891,132.680068969727,22.3444728851318,53.159252166748,13.7304735183716,52.8895301818848,123.957099914551,58.3679580688477,145.654342651367
6,281.5,-5,164.465515136719,157.311065673828,324.103271484375,268.246917724609,120.757392883301,68.9848403930664,13.2327346801758,11.7502212524414,58.536865234375,169.00080871582,144.861038208008,165.735244750977,239.195068359375,254.374862670898,296.427093505859,152.420913696289,96.8347320556641,39.8841171264648,41.4205093383789,21.1528835296631,32.3358917236328,97.0566253662109,163.471405029297,100.030662536621,81.27880859375,169.161117553711,300.683898925781,98.1069869995117,93.9146118164062,26.7024002075195,3.40624117851257,9.02293109893799,56.921573638916,127.363647460938,104.757263183594,155.078887939453,192.47639465332,150.366302490234,198.918441772461,178.950057983398,97.6266174316406,30.3609485626221,29.7994937896729,11.7210350036621,42.9260864257812,144.215469360352,153.844421386719,192.274871826172,140.258239746094,114.588668823242,241.973510742188,189.203125,66.6985321044922,42.6719551086426,29.0916557312012,18.4825668334961,34.1234703063965,88.1495971679688,99.7810745239258,186.125869750977,173.000396728516,136.645935058594,221.913681030273,152.37971496582,135.086547851562,20.4579429626465,34.9402923583984,34.387638092041,36.98388671875,136.803665161133,76.3754577636719,34.0374717712402,121.091194152832,272.700622558594,224.070556640625,206.77799987793,82.8447189331055,36.631233215332,2.07925510406494,1.29032611846924,34.7098007202148,81.6579818725586,105.196136474609,138.238021850586,152.075546264648,193.251235961914,204.369079589844,128.827911376953,92.1887054443359,23.9574279785156,32.8019218444824,8.23602485656738,66.6965560913086,145.242950439453,54.7860908508301,125.169494628906,234.29817199707,70.3335647583008,321.877380371094,269.039947509766,44.6741790771484,24.1134128570557,6.70524787902832,22.0700092315674,27.6156787872314,68.862174987793,58.9350357055664,183.378799438477,102.050170898438,181.919830322266,222.362289428711,261.081909179688,74.5096588134766,36.7500495910645,14.2070369720459,29.1002578735352,31.3603038787842,55.0358123779297,125.577545166016,64.7895202636719,217.909332275391,197.106506347656,155.662643432617,174.657806396484,140.260070800781,24.060998916626,53.0922431945801,13.0135736465454,58.0609283447266,132.855865478516,70.7271270751953,167.744903564453
7,281.75,-5,180.178527832031,170.763824462891,340.703308105469,269.507354736328,133.256652832031,79.0541763305664,15.4969482421875,11.5905141830444,61.460865020752,182.259307861328,155.918106079102,181.079925537109,250.404052734375,271.225921630859,297.717346191406,168.569046020508,103.708915710449,40.3193054199219,40.6715202331543,21.6402626037598,37.8543701171875,107.981597900391,183.156600952148,121.116683959961,91.8499984741211,187.886322021484,298.212432861328,99.4438705444336,96.8092956542969,28.5029296875,3.6576292514801,11.4527931213379,68.4273071289062,139.972396850586,136.045257568359,161.113128662109,198.425308227539,162.87092590332,209.418319702148,189.399353027344,109.323379516602,34.9709930419922,34.3904724121094,14.1522312164307,48.3291244506836,135.91357421875,183.090591430664,195.989715576172,161.729080200195,125.606430053711,242.95085144043,185.382934570312,76.7668228149414,43.6824989318848,33.0219650268555,20.3434524536133,35.472469329834,106.612152099609,106.955436706543,198.655410766602,169.174591064453,152.468399047852,248.133239746094,157.06120300293,135.785293579102,21.6123237609863,38.8195304870605,36.1877632141113,40.3320960998535,147.367919921875,88.4636688232422,47.1229629516602,143.103973388672,272.440979003906,233.654083251953,204.720932006836,91.4159927368164,42.0049819946289,2.20378184318542,1.23270273208618,41.2978477478027,104.16349029541,134.602523803711,156.627899169922,162.359085083008,185.348541259766,206.102554321289,138.892501831055,94.8017272949219,23.2396373748779,32.1627922058105,9.01993083953857,71.1323928833008,173.909561157227,79.9843826293945,144.204055786133,249.161590576172,73.2722549438477,329.561126708984,269.126159667969,44.7699394226074,24.1042537689209,6.59847784042358,23.1348705291748,29.8709239959717,81.1593704223633,74.1432418823242,203.058959960938,109.658264160156,190.283645629883,234.181457519531,267.370147705078,76.3095397949219,40.4963340759277,14.957293510437,31.3068408966064,32.3054237365723,74.7037506103516,148.19319152832,88.5823059082031,231.34504699707,208.060150146484,169.332183837891,180.899444580078,147.840072631836,25.7775249481201,53.0252380371094,12.2966747283936,63.2323226928711,141.754623413086,83.0863037109375,189.835464477539
8,282,-5,195.891555786133,184.216567993164,357.303344726562,270.767761230469,145.755920410156,89.1235198974609,17.7611618041992,11.4308071136475,64.3848648071289,195.517791748047,166.975189208984,196.424606323242,261.613037109375,288.076965332031,299.007629394531,184.717163085938,110.58309173584,40.7544898986816,39.9225311279297,22.1276416778564,43.3728523254395,118.906578063965,202.841796875,142.202713012695,102.421195983887,206.611526489258,295.740936279297,100.780754089355,99.7039794921875,30.3034591674805,3.90901732444763,13.8826541900635,79.9330520629883,152.581146240234,167.333236694336,167.147369384766,204.374237060547,175.375549316406,219.918197631836,199.848648071289,121.020133972168,39.5810356140137,38.9814491271973,16.5834274291992,53.7321662902832,127.611686706543,212.33674621582,199.704544067383,183.199920654297,136.62419128418,243.928192138672,181.562759399414,86.8351135253906,44.693042755127,36.952278137207,22.2043361663818,36.8214683532715,125.07470703125,114.12979888916,211.184951782227,165.348785400391,168.290878295898,274.352783203125,161.742706298828,136.484039306641,22.7667045593262,42.6987686157227,37.9878845214844,43.680305480957,157.932174682617,100.551887512207,60.2084579467773,165.116744995117,272.181335449219,243.237609863281,202.663848876953,99.9872665405273,47.3787307739258,2.32830882072449,1.17507922649384,47.8858947753906,126.668991088867,164.008911132812,175.017776489258,172.642623901367,177.445846557617,207.836013793945,148.957077026367,97.4147491455078,22.5218486785889,31.5236663818359,9.80383682250977,75.568229675293,202.576171875,105.182678222656,163.238616943359,264.025024414062,76.2109375,337.244903564453,269.212341308594,44.8656997680664,24.0950927734375,6.49170780181885,24.1997299194336,32.1261672973633,93.4565658569336,89.351448059082,222.739105224609,117.26634979248,198.647476196289,246.000640869141,273.658355712891,78.1094284057617,44.2426147460938,15.7075500488281,33.5134239196777,33.2505416870117,94.3716812133789,170.808837890625,112.375091552734,244.780746459961,219.013793945312,183.001739501953,187.141067504883,155.420074462891,27.4940509796143,52.9582328796387,11.5797748565674,68.4037246704102,150.653396606445,95.4454727172852,211.926025390625
9,282.25,-5,211.604583740234,197.669326782227,373.903381347656,272.028198242188,158.255172729492,99.1928558349609,20.0253772735596,11.2711000442505,67.3088684082031,208.776290893555,178.032257080078,211.769287109375,272.822021484375,304.928009033203,300.297882080078,200.865280151367,117.45726776123,41.1896743774414,39.1735382080078,22.6150207519531,48.8913307189941,129.831558227539,222.526977539062,163.28874206543,112.992393493652,225.336730957031,293.269470214844,102.117637634277,102.598663330078,32.1039886474609,4.16040563583374,16.3125152587891,91.4387893676758,165.189880371094,198.621231079102,173.181610107422,210.323150634766,187.880172729492,230.418090820312,210.297943115234,132.716903686523,44.1910781860352,43.5724258422852,19.0146236419678,59.1352081298828,119.309791564941,241.582916259766,203.419372558594,204.670761108398,147.641952514648,244.905532836914,177.742568969727,96.9034118652344,45.7035903930664,40.8825912475586,24.065221786499,38.170467376709,143.537261962891,121.304168701172,223.714508056641,161.522994995117,184.113342285156,300.572357177734,166.424194335938,137.18278503418,23.921085357666,46.5780029296875,39.7880058288574,47.0285148620605,168.496429443359,112.640106201172,73.2939453125,187.129516601562,271.921722412109,252.821136474609,200.606781005859,108.558540344238,52.7524833679199,2.45283555984497,1.11745572090149,54.4739418029785,149.174499511719,193.415298461914,193.407653808594,182.926162719727,169.543167114258,209.569488525391,159.021667480469,100.027770996094,21.8040580749512,30.8845405578613,10.5877418518066,80.0040664672852,231.242782592773,130.380981445312,182.273193359375,278.888458251953,79.1496200561523,344.928649902344,269.298553466797,44.9614601135254,24.0859336853027,6.38493824005127,25.2645893096924,34.3814125061035,105.753761291504,104.559646606445,242.419250488281,124.874443054199,207.011291503906,257.81982421875,279.946563720703,79.909309387207,47.9888954162598,16.4578056335449,35.7200050354004,34.1956596374512,114.039619445801,193.42448425293,136.167877197266,258.216461181641,229.967437744141,196.671279907227,193.382705688477,163.000076293945,29.210578918457,52.8912239074707,10.8628749847412,73.5751190185547,159.552154541016,107.804641723633,234.016571044922
10,282.5,-5,227.317596435547,211.1220703125,390.50341796875,273.288635253906,170.754440307617,109.262199401855,22.2895908355713,11.1113929748535,70.2328720092773,222.034774780273,189.089324951172,227.113967895508,284.031005859375,321.779052734375,301.588134765625,217.013397216797,124.331451416016,41.6248588562012,38.4245491027832,23.1023998260498,54.4098129272461,140.756530761719,242.212173461914,184.374755859375,123.563591003418,244.061935424805,290.797973632812,103.454513549805,105.493347167969,33.9045181274414,4.41179370880127,18.7423782348633,102.944526672363,177.798629760742,229.909225463867,179.215866088867,216.272064208984,200.384796142578,240.91796875,220.74723815918,144.413665771484,48.8011245727539,48.1633987426758,21.4458198547363,64.5382461547852,111.007904052734,270.829071044922,207.134201049805,226.141586303711,158.659713745117,245.882873535156,173.922378540039,106.971702575684,46.7141342163086,44.8129005432129,25.9261054992676,39.5194664001465,161.999816894531,128.478530883789,236.244049072266,157.697189331055,199.935821533203,326.791900634766,171.105697631836,137.881546020508,25.0754661560059,50.4572410583496,41.5881271362305,50.3767242431641,179.060668945312,124.728324890137,86.3794403076172,209.142288208008,271.662078857422,262.404663085938,198.549713134766,117.129821777344,58.1262321472168,2.57736253738403,1.05983233451843,61.0619888305664,171.68000793457,222.821685791016,211.79753112793,193.209701538086,161.640472412109,211.302947998047,169.086242675781,102.64079284668,21.0862693786621,30.2454147338867,11.3716478347778,84.4399032592773,259.909393310547,155.57926940918,201.307754516602,293.751861572266,82.0883102416992,352.612426757812,269.384765625,45.0572204589844,24.076774597168,6.27816820144653,26.3294506072998,36.6366577148438,118.050964355469,119.767852783203,262.099395751953,132.482528686523,215.375122070312,269.639007568359,286.234771728516,81.7091903686523,51.735179901123,17.2080631256104,37.9265899658203,35.1407814025879,133.707550048828,216.040145874023,159.960662841797,271.652160644531,240.92106628418,210.3408203125,199.62434387207,170.580078125,30.9271049499512,52.82421875,10.1459760665894,78.7465133666992,168.450927734375,120.163818359375,256.107147216797
