;Mes;tx;tm;pp;etp
1;1;19.8917655;6.399009058;4.683645978;3.027156591
2;1;18.79278215;6.401214439;3.596064698;2.960371102
3;1;18.35421438;7.125093868;9.86036796;2.235631261
4;1;18.30519398;7.415638228;8.078904334;2.486999831
5;1;17.16277727;7.361895626;7.664550761;1.69351438
6;1;16.955744;7.175755722;9.574972847;1.726141983
7;1;17.76570311;8.007367141;6.309030242;1.74223285
8;1;16.34889172;7.50719872;3.099080141;1.670293091
9;1;17.3532031;7.161603846;3.372607418;1.646659162
10;1;18.08188658;7.426021913;3.117644084;1.608833577
11;1;19.61562021;6.084958281;4.953351615;1.563008846
12;1;18.8353611;5.926003234;13.52370157;1.551811867
13;1;17.38359377;6.473667681;8.110685924;1.516264736
14;1;17.92862008;7.445963936;9.191664696;1.457599953
15;1;17.02044337;7.717780585;7.311857856;2.454454611
16;1;18.83317639;5.783621689;3.258311388;1.461994947
17;1;18.57331508;6.030315807;8.521424059;1.412943234
18;1;17.12459103;6.700338409;10.22253211;1.456305349
19;1;17.7399631;6.806371787;7.06081008;1.396394046
20;1;17.74519413;7.242662765;8.279170584;1.47665607
21;1;15.63503799;7.410766116;18.09295574;1.531785043
22;1;16.42310469;6.064215714;11.53620127;1.443937999
23;1;16.9330164;6.408323556;10.85530068;1.438501111
24;1;16.85784376;6.456979821;4.569846947;1.450568895
25;1;17.45029721;6.986466667;4.584065066;1.461431476
26;1;18.0781659;7.442522973;10.20148718;2.382213018
27;1;17.36407251;7.830830783;19.20055202;1.516584861
28;1;16.27995303;7.023816956;9.224421361;1.514965898
29;1;17.02765936;6.985878642;3.928793216;1.475181359
30;1;18.31744392;6.582595465;10.37229226;1.53160446
31;1;17.5557415;6.892772406;2.676779239;1.628269441
32;2;18.51255979;6.939217131;1.770608414;1.571076053
33;2;18.77529261;7.295751966;3.912752281;1.491730132
34;2;16.63233009;7.228524478;8.42697131;1.493263005
35;2;17.77622364;7.687986444;11.57487128;1.616628994
36;2;17.76130919;7.131810876;9.663316186;1.570353372
37;2;17.00893318;7.52642643;7.580813396;2.453645424
38;2;16.31185991;7.679028719;15.84245509;1.574633393
39;2;15.92628317;7.395701426;16.05924039;1.617069506
40;2;15.77358984;6.884521832;17.02132957;1.62722577
41;2;16.73973365;6.866741286;13.73286618;1.669738931
42;2;18.207299;6.493902384;7.372674347;1.581090791
43;2;19.01046567;5.518749992;3.969064964;1.439861777
44;2;18.13655326;6.848488504;13.76965976;1.411830689
45;2;16.89278865;7.168852902;10.00998951;1.440741487
46;2;16.2979409;7.75390816;9.212603068;1.496993355
47;2;15.80336319;7.303414325;10.49969005;1.53065429
48;2;17.8014953;6.96268396;2.569431456;2.459554466
49;2;17.67326741;7.687709065;4.038366871;1.433286862
50;2;18.37249191;7.210173136;4.078677613;1.484870401
51;2;17.28152765;7.088553607;8.799044119;1.45796584
52;2;17.78119132;6.793594236;7.638615675;1.485753414
53;2;17.19347026;7.341311442;7.633563711;1.467122419
54;2;17.69942388;7.276244935;11.469327;1.43380158
55;2;17.70739346;7.011782518;11.29562386;1.437355497
56;2;16.62271435;6.716853261;14.02637339;1.397160694
57;2;17.10697824;7.060812575;12.68657318;1.439937534
58;2;17.64336204;6.748768319;4.530465576;1.429529424
59;2;18.33319047;6.095622527;2.955748825;2.401277892
60;3;18.85995895;6.309622045;5.162487725;1.468199024
61;3;19.25736602;6.484368318;7.603077077;1.475696769
62;3;19.30480447;5.561042022;10.29057063;1.547447885
63;3;17.15805119;7.761588816;11.35576984;1.536571503
64;3;18.95821913;7.100640356;7.06412787;1.566805296
65;3;17.92462558;7.733830168;4.22280029;1.490838173
66;3;17.42347519;7.4123778;5.34624539;1.508652622
