tiempo;temp
00Z01JAN1981;290.056
00Z01FEB1981;289.679
00Z01MAR1981;290.253
00Z01APR1981;289.933
00Z01MAY1981;289.665
00Z01JUN1981;288.968
00Z01JUL1981;288.228
00Z01AUG1981;288.785
00Z01SEP1981;289.111
00Z01OCT1981;289.681
00Z01NOV1981;290.07
00Z01DEC1981;289.981
00Z01JAN1982;290.022
00Z01FEB1982;289.967
00Z01MAR1982;289.973
00Z01APR1982;289.678
00Z01MAY1982;289.436
00Z01JUN1982;288.991
00Z01JUL1982;288.64
00Z01AUG1982;288.86
00Z01SEP1982;289.517
00Z01OCT1982;289.374
00Z01NOV1982;289.959
00Z01DEC1982;290.193
00Z01JAN1983;290.92
00Z01FEB1983;290.874
00Z01MAR1983;290.99
00Z01APR1983;290.543
00Z01MAY1983;290.448
00Z01JUN1983;289.712
00Z01JUL1983;289.64
00Z01AUG1983;289.568
00Z01SEP1983;289.579
00Z01OCT1983;289.427
00Z01NOV1983;289.683
00Z01DEC1983;289.388
00Z01JAN1984;289.487
00Z01FEB1984;289.155
00Z01MAR1984;289.686
00Z01APR1984;289.362
00Z01MAY1984;289.214
00Z01JUN1984;288.549
00Z01JUL1984;288.048
00Z01AUG1984;288.583
00Z01SEP1984;288.893
00Z01OCT1984;289.546
00Z01NOV1984;289.453
00Z01DEC1984;289.489
00Z01JAN1985;289.658
00Z01FEB1985;289.505
00Z01MAR1985;290.048
00Z01APR1985;289.461
00Z01MAY1985;288.818
00Z01JUN1985;288.242
00Z01JUL1985;287.875
00Z01AUG1985;288.33
00Z01SEP1985;288.978
00Z01OCT1985;289.421
00Z01NOV1985;289.413
00Z01DEC1985;289.694
00Z01JAN1986;289.48
00Z01FEB1986;289.468
00Z01MAR1986;289.478
00Z01APR1986;289.638
00Z01MAY1986;289.481
00Z01JUN1986;288.499
00Z01JUL1986;287.917
00Z01AUG1986;288.882
00Z01SEP1986;289.088
00Z01OCT1986;289.364
00Z01NOV1986;289.565
00Z01DEC1986;289.803
00Z01JAN1987;289.952
00Z01FEB1987;290.303
00Z01MAR1987;290.485
00Z01APR1987;290.423
00Z01MAY1987;289.83
00Z01JUN1987;289.428
00Z01JUL1987;289.327
00Z01AUG1987;289.279
00Z01SEP1987;289.858
00Z01OCT1987;290.209
00Z01NOV1987;290.271
00Z01DEC1987;290.39
00Z01JAN1988;290.178
00Z01FEB1988;290.433
00Z01MAR1988;290.239
00Z01APR1988;290.069
00Z01MAY1988;289.597
00Z01JUN1988;288.604
00Z01JUL1988;288.221
00Z01AUG1988;288.958
00Z01SEP1988;289.189
00Z01OCT1988;289.504
00Z01NOV1988;289.473
00Z01DEC1988;289.354
00Z01JAN1989;289.094
00Z01FEB1989;289.207
00Z01MAR1989;289.284
00Z01APR1989;289.319
00Z01MAY1989;288.913
00Z01JUN1989;288.619
00Z01JUL1989;288.066
00Z01AUG1989;288.692
00Z01SEP1989;289.152
00Z01OCT1989;289.242
00Z01NOV1989;290.15
00Z01DEC1989;290.614
00Z01JAN1990;289.922
00Z01FEB1990;290.356
00Z01MAR1990;290.449
00Z01APR1990;290.184
00Z01MAY1990;289.72
00Z01JUN1990;288.995
00Z01JUL1990;288.378
00Z01AUG1990;288.896
00Z01SEP1990;289.398
00Z01OCT1990;289.773
